,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,81061000000.0,2330290.0,35.0,VNINDEX,36.7,35.0,140130.0,34.15,217.0,BID,14:46:02,2020-03-13
1,stock,76157000000.0,2190160.0,35.9,VNINDEX,36.7,35.9,1500.0,34.15,217.0,BID,14:29:52,2020-03-13
2,stock,76103000000.0,2188660.0,36.0,VNINDEX,36.7,36.0,100.0,34.15,217.0,BID,14:29:50,2020-03-13
3,stock,76099000000.0,2188560.0,35.9,VNINDEX,36.7,35.9,400.0,34.15,217.0,BID,14:29:43,2020-03-13
4,stock,76085000000.0,2188160.0,35.9,VNINDEX,36.7,35.9,1100.0,34.15,217.0,BID,14:29:22,2020-03-13
5,stock,76046000000.0,2187060.0,35.9,VNINDEX,36.7,35.9,200.0,34.15,217.0,BID,14:28:33,2020-03-13
6,stock,76038000000.0,2186860.0,35.9,VNINDEX,36.7,35.9,1000.0,34.15,217.0,BID,14:28:25,2020-03-13
7,stock,76002000000.0,2185860.0,35.6,VNINDEX,36.7,35.6,5000.0,34.15,217.0,BID,14:28:18,2020-03-13
8,stock,75824000000.0,2180860.0,35.9,VNINDEX,36.7,35.9,1500.0,34.15,217.0,BID,14:28:16,2020-03-13
9,stock,75770000000.0,2179360.0,35.8,VNINDEX,36.7,35.8,980.0,34.15,217.0,BID,14:28:05,2020-03-13
10,stock,75735000000.0,2178380.0,35.7,VNINDEX,36.7,35.7,500.0,34.15,217.0,BID,14:27:50,2020-03-13
11,stock,75717000000.0,2177880.0,35.9,VNINDEX,36.7,35.9,1120.0,34.15,217.0,BID,14:27:21,2020-03-13
12,stock,75677000000.0,2176760.0,35.7,VNINDEX,36.7,35.7,6000.0,34.15,217.0,BID,14:27:12,2020-03-13
13,stock,75462000000.0,2170760.0,35.8,VNINDEX,36.7,35.8,90.0,34.15,217.0,BID,14:27:09,2020-03-13
14,stock,75459000000.0,2170670.0,35.8,VNINDEX,36.7,35.8,150.0,34.15,217.0,BID,14:27:03,2020-03-13
15,stock,75454000000.0,2170520.0,35.8,VNINDEX,36.7,35.8,3000.0,34.15,217.0,BID,14:26:49,2020-03-13
16,stock,75346000000.0,2167520.0,35.7,VNINDEX,36.7,35.7,2000.0,34.15,217.0,BID,14:26:13,2020-03-13
17,stock,75275000000.0,2165520.0,36.0,VNINDEX,36.7,36.0,1200.0,34.15,217.0,BID,14:25:39,2020-03-13
