,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,30574000000.0,771590.0,40.45,VNINDEX,42.0,40.45,10610.0,39.5,209.0,BVH,14:46:01,2020-03-13
1,stock,30145000000.0,760980.0,41.0,VNINDEX,42.0,41.0,450.0,39.5,209.0,BVH,14:29:33,2020-03-13
2,stock,30126000000.0,760530.0,41.0,VNINDEX,42.0,41.0,360.0,39.5,209.0,BVH,14:28:42,2020-03-13
3,stock,30112000000.0,760170.0,41.0,VNINDEX,42.0,41.0,40.0,39.5,209.0,BVH,14:28:38,2020-03-13
4,stock,30110000000.0,760130.0,41.0,VNINDEX,42.0,41.0,50.0,39.5,209.0,BVH,14:26:38,2020-03-13
5,stock,30108000000.0,760080.0,41.0,VNINDEX,42.0,41.0,5420.0,39.5,209.0,BVH,14:26:22,2020-03-13
6,stock,29886000000.0,754660.0,41.0,VNINDEX,42.0,41.0,4130.0,39.5,209.0,BVH,14:24:23,2020-03-13
7,stock,29715000000.0,750530.0,42.0,VNINDEX,42.0,42.0,30.0,39.5,209.0,BVH,14:23:16,2020-03-13
8,stock,29714000000.0,750500.0,41.7,VNINDEX,42.0,41.7,150.0,39.5,209.0,BVH,14:23:04,2020-03-13
9,stock,29707000000.0,750350.0,42.0,VNINDEX,42.0,42.0,50.0,39.5,209.0,BVH,14:22:23,2020-03-13
10,stock,29705000000.0,750300.0,41.7,VNINDEX,42.0,41.7,10.0,39.5,209.0,BVH,14:22:04,2020-03-13
11,stock,29705000000.0,750290.0,41.7,VNINDEX,42.0,41.7,50.0,39.5,209.0,BVH,14:20:48,2020-03-13
12,stock,29703000000.0,750240.0,42.0,VNINDEX,42.0,42.0,2000.0,39.5,209.0,BVH,14:20:41,2020-03-13
13,stock,29619000000.0,748240.0,42.0,VNINDEX,42.0,42.0,10.0,39.5,209.0,BVH,14:20:35,2020-03-13
14,stock,29618000000.0,748230.0,41.7,VNINDEX,41.7,41.7,220.0,39.5,209.0,BVH,14:20:26,2020-03-13
15,stock,29609000000.0,748010.0,41.7,VNINDEX,41.7,41.7,4330.0,39.5,209.0,BVH,14:19:26,2020-03-13
16,stock,29429000000.0,743680.0,41.5,VNINDEX,41.7,41.5,50.0,39.5,209.0,BVH,14:19:21,2020-03-13
17,stock,29427000000.0,743630.0,41.7,VNINDEX,41.7,41.7,1000.0,39.5,209.0,BVH,14:18:35,2020-03-13
18,stock,29385000000.0,742630.0,41.7,VNINDEX,41.7,41.7,500.0,39.5,209.0,BVH,14:17:39,2020-03-13
19,stock,29364000000.0,742130.0,41.0,VNINDEX,41.7,41.0,20.0,39.5,209.0,BVH,14:16:35,2020-03-13
20,stock,29363000000.0,742110.0,41.0,VNINDEX,41.7,41.0,150.0,39.5,209.0,BVH,14:16:23,2020-03-13
21,stock,29357000000.0,741960.0,41.0,VNINDEX,41.7,41.0,500.0,39.5,209.0,BVH,14:15:07,2020-03-13
22,stock,29337000000.0,741460.0,41.6,VNINDEX,41.7,41.6,80.0,39.5,209.0,BVH,14:14:04,2020-03-13
23,stock,29333000000.0,741380.0,41.7,VNINDEX,41.7,41.7,20.0,39.5,209.0,BVH,14:12:55,2020-03-13
24,stock,29332000000.0,741360.0,41.0,VNINDEX,41.0,41.0,730.0,39.5,209.0,BVH,14:10:13,2020-03-13
25,stock,29302000000.0,740630.0,41.0,VNINDEX,41.0,41.0,1260.0,39.5,209.0,BVH,14:09:42,2020-03-13
26,stock,29251000000.0,739370.0,41.0,VNINDEX,41.0,41.0,1000.0,39.5,209.0,BVH,14:09:27,2020-03-13
27,stock,29210000000.0,738370.0,40.9,VNINDEX,40.9,40.9,20.0,39.5,209.0,BVH,14:09:24,2020-03-13
28,stock,29209000000.0,738350.0,40.9,VNINDEX,40.9,40.9,670.0,39.5,209.0,BVH,14:09:15,2020-03-13
29,stock,29182000000.0,737680.0,40.9,VNINDEX,40.9,40.9,300.0,39.5,209.0,BVH,14:07:59,2020-03-13
30,stock,29169000000.0,737380.0,40.9,VNINDEX,40.9,40.9,260.0,39.5,209.0,BVH,14:07:30,2020-03-13
31,stock,29159000000.0,737120.0,40.6,VNINDEX,40.7,40.6,210.0,39.5,209.0,BVH,14:07:12,2020-03-13
32,stock,29150000000.0,736910.0,40.4,VNINDEX,40.7,40.4,130.0,39.5,209.0,BVH,14:06:06,2020-03-13
33,stock,29145000000.0,736780.0,40.6,VNINDEX,40.7,40.6,300.0,39.5,209.0,BVH,14:05:58,2020-03-13
34,stock,29133000000.0,736480.0,40.6,VNINDEX,40.7,40.6,1000.0,39.5,209.0,BVH,14:05:47,2020-03-13
35,stock,29092000000.0,735480.0,40.4,VNINDEX,40.7,40.4,50.0,39.5,209.0,BVH,14:03:20,2020-03-13
36,stock,29090000000.0,735430.0,40.4,VNINDEX,40.7,40.4,100.0,39.5,209.0,BVH,14:02:44,2020-03-13
