,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,4875000000.0,266530.0,18.5,VNINDEX,19.1,18.5,6200.0,18.0,603.0,CSV,14:46:03,2020-03-13
1,stock,4761000000.0,260330.0,18.9,VNINDEX,19.1,18.9,100.0,18.0,603.0,CSV,14:29:45,2020-03-13
2,stock,4759000000.0,260230.0,18.9,VNINDEX,19.1,18.9,2000.0,18.0,603.0,CSV,14:28:56,2020-03-13
3,stock,4721000000.0,258230.0,18.9,VNINDEX,19.1,18.9,1000.0,18.0,603.0,CSV,14:26:23,2020-03-13
4,stock,4702000000.0,257230.0,18.9,VNINDEX,19.1,18.9,10.0,18.0,603.0,CSV,14:24:04,2020-03-13
5,stock,4702000000.0,257220.0,18.5,VNINDEX,19.1,18.5,59890.0,18.0,603.0,CSV,14:21:46,2020-03-13
6,stock,3594000000.0,197330.0,18.5,VNINDEX,19.1,18.5,60.0,18.0,603.0,CSV,14:21:25,2020-03-13
7,stock,3593000000.0,197270.0,18.5,VNINDEX,19.1,18.5,500.0,18.0,603.0,CSV,14:21:01,2020-03-13
8,stock,3584000000.0,196770.0,18.5,VNINDEX,19.1,18.5,1400.0,18.0,603.0,CSV,14:20:46,2020-03-13
9,stock,3558000000.0,195370.0,18.5,VNINDEX,19.1,18.5,10000.0,18.0,603.0,CSV,14:20:40,2020-03-13
10,stock,3373000000.0,185370.0,18.5,VNINDEX,19.1,18.5,15000.0,18.0,603.0,CSV,14:20:16,2020-03-13
11,stock,3095000000.0,170370.0,18.5,VNINDEX,19.1,18.5,300.0,18.0,603.0,CSV,14:19:02,2020-03-13
12,stock,3090000000.0,170070.0,18.5,VNINDEX,19.1,18.5,80.0,18.0,603.0,CSV,14:15:33,2020-03-13
13,stock,3088000000.0,169990.0,18.5,VNINDEX,19.1,18.5,2000.0,18.0,603.0,CSV,14:15:11,2020-03-13
14,stock,3051000000.0,167990.0,18.5,VNINDEX,19.1,18.5,20.0,18.0,603.0,CSV,14:14:21,2020-03-13
15,stock,3051000000.0,167970.0,18.5,VNINDEX,19.1,18.5,120.0,18.0,603.0,CSV,14:13:56,2020-03-13
16,stock,3049000000.0,167850.0,18.5,VNINDEX,19.1,18.5,700.0,18.0,603.0,CSV,14:12:14,2020-03-13
17,stock,3036000000.0,167150.0,18.5,VNINDEX,19.1,18.5,500.0,18.0,603.0,CSV,14:09:00,2020-03-13
18,stock,3026000000.0,166650.0,18.5,VNINDEX,19.1,18.5,10.0,18.0,603.0,CSV,14:07:54,2020-03-13
19,stock,3026000000.0,166640.0,18.5,VNINDEX,19.1,18.5,2000.0,18.0,603.0,CSV,14:06:10,2020-03-13
20,stock,2989000000.0,164640.0,18.4,VNINDEX,19.1,18.4,100.0,18.0,603.0,CSV,14:06:10,2020-03-13
21,stock,2987000000.0,164540.0,18.4,VNINDEX,19.1,18.4,1000.0,18.0,603.0,CSV,14:05:31,2020-03-13
22,stock,2969000000.0,163540.0,18.5,VNINDEX,19.1,18.5,170.0,18.0,603.0,CSV,13:54:06,2020-03-13
23,stock,2966000000.0,163370.0,18.5,VNINDEX,19.1,18.5,3250.0,18.0,603.0,CSV,13:53:11,2020-03-13
