,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,14012000000.0,263780.0,54.7,VNINDEX,56.0,54.7,9760.0,52.4,582.0,CTD,14:46:02,2020-03-13
1,stock,13478000000.0,254020.0,55.4,VNINDEX,56.0,55.4,50.0,52.4,582.0,CTD,14:29:57,2020-03-13
2,stock,13475000000.0,253970.0,55.4,VNINDEX,56.0,55.4,1000.0,52.4,582.0,CTD,14:29:24,2020-03-13
3,stock,13345000000.0,251620.0,55.3,VNINDEX,56.0,55.3,100.0,52.4,582.0,CTD,14:28:58,2020-03-13
4,stock,13420000000.0,252970.0,55.4,VNINDEX,56.0,55.4,1350.0,52.4,582.0,CTD,14:28:58,2020-03-13
5,stock,13339000000.0,251520.0,55.0,VNINDEX,56.0,55.0,1000.0,52.4,582.0,CTD,14:28:56,2020-03-13
6,stock,13284000000.0,250520.0,55.1,VNINDEX,56.0,55.1,1150.0,52.4,582.0,CTD,14:28:19,2020-03-13
7,stock,13221000000.0,249370.0,55.1,VNINDEX,56.0,55.1,20.0,52.4,582.0,CTD,14:27:52,2020-03-13
8,stock,13220000000.0,249350.0,55.4,VNINDEX,56.0,55.4,100.0,52.4,582.0,CTD,14:26:28,2020-03-13
9,stock,13214000000.0,249250.0,55.4,VNINDEX,56.0,55.4,1000.0,52.4,582.0,CTD,14:26:18,2020-03-13
10,stock,13159000000.0,248250.0,55.3,VNINDEX,56.0,55.3,2000.0,52.4,582.0,CTD,14:26:00,2020-03-13
11,stock,13048000000.0,246250.0,55.1,VNINDEX,56.0,55.1,20.0,52.4,582.0,CTD,14:25:40,2020-03-13
12,stock,13047000000.0,246230.0,55.4,VNINDEX,56.0,55.4,200.0,52.4,582.0,CTD,14:25:22,2020-03-13
13,stock,13036000000.0,246030.0,55.4,VNINDEX,56.0,55.4,200.0,52.4,582.0,CTD,14:24:29,2020-03-13
14,stock,13025000000.0,245830.0,55.5,VNINDEX,56.0,55.5,20.0,52.4,582.0,CTD,14:23:29,2020-03-13
15,stock,13024000000.0,245810.0,55.5,VNINDEX,56.0,55.5,100.0,52.4,582.0,CTD,14:22:37,2020-03-13
16,stock,13018000000.0,245710.0,55.5,VNINDEX,56.0,55.5,20.0,52.4,582.0,CTD,14:21:18,2020-03-13
17,stock,13017000000.0,245690.0,55.5,VNINDEX,56.0,55.5,60.0,52.4,582.0,CTD,14:20:59,2020-03-13
18,stock,13014000000.0,245630.0,55.4,VNINDEX,56.0,55.4,50.0,52.4,582.0,CTD,14:20:44,2020-03-13
19,stock,13011000000.0,245580.0,55.5,VNINDEX,56.0,55.5,50.0,52.4,582.0,CTD,14:20:38,2020-03-13
20,stock,13008000000.0,245530.0,55.5,VNINDEX,56.0,55.5,410.0,52.4,582.0,CTD,14:20:35,2020-03-13
21,stock,12986000000.0,245120.0,55.4,VNINDEX,56.0,55.4,300.0,52.4,582.0,CTD,14:20:10,2020-03-13
22,stock,12969000000.0,244820.0,55.5,VNINDEX,56.0,55.5,40.0,52.4,582.0,CTD,14:19:50,2020-03-13
23,stock,12967000000.0,244780.0,55.4,VNINDEX,56.0,55.4,120.0,52.4,582.0,CTD,14:19:40,2020-03-13
24,stock,12960000000.0,244660.0,55.4,VNINDEX,56.0,55.4,100.0,52.4,582.0,CTD,14:19:17,2020-03-13
25,stock,12955000000.0,244560.0,55.4,VNINDEX,56.0,55.4,20.0,52.4,582.0,CTD,14:19:07,2020-03-13
26,stock,12953000000.0,244540.0,55.5,VNINDEX,56.0,55.5,500.0,52.4,582.0,CTD,14:18:33,2020-03-13
27,stock,12926000000.0,244040.0,55.0,VNINDEX,56.0,55.0,20.0,52.4,582.0,CTD,14:16:55,2020-03-13
28,stock,12920000000.0,243940.0,55.4,VNINDEX,56.0,55.4,100.0,52.4,582.0,CTD,14:16:24,2020-03-13
29,stock,12925000000.0,244020.0,55.0,VNINDEX,56.0,55.0,80.0,52.4,582.0,CTD,14:16:24,2020-03-13
30,stock,12915000000.0,243840.0,55.0,VNINDEX,56.0,55.0,20.0,52.4,582.0,CTD,14:14:44,2020-03-13
31,stock,12914000000.0,243820.0,55.4,VNINDEX,56.0,55.4,1000.0,52.4,582.0,CTD,14:13:50,2020-03-13
32,stock,12858000000.0,242820.0,55.0,VNINDEX,56.0,55.0,20.0,52.4,582.0,CTD,14:12:32,2020-03-13
33,stock,12857000000.0,242800.0,55.0,VNINDEX,56.0,55.0,2060.0,52.4,582.0,CTD,14:11:35,2020-03-13
34,stock,12744000000.0,240740.0,54.6,VNINDEX,56.0,54.6,20.0,52.4,582.0,CTD,14:10:22,2020-03-13
