,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,13592000000.0,855780.0,16.4,VNINDEX,16.65,16.4,80370.0,15.55,792.0,EIB,14:46:10,2020-03-13
1,stock,12274000000.0,775410.0,16.4,VNINDEX,16.65,16.4,620.0,15.55,792.0,EIB,14:27:38,2020-03-13
2,stock,12264000000.0,774790.0,16.55,VNINDEX,16.65,16.55,10.0,15.55,792.0,EIB,14:25:46,2020-03-13
3,stock,12264000000.0,774780.0,16.55,VNINDEX,16.65,16.55,10.0,15.55,792.0,EIB,14:25:44,2020-03-13
4,stock,12264000000.0,774770.0,16.5,VNINDEX,16.65,16.5,10.0,15.55,792.0,EIB,14:25:26,2020-03-13
5,stock,12264000000.0,774760.0,16.55,VNINDEX,16.65,16.55,10.0,15.55,792.0,EIB,14:24:50,2020-03-13
6,stock,12263000000.0,774750.0,16.5,VNINDEX,16.65,16.5,150.0,15.55,792.0,EIB,14:24:35,2020-03-13
7,stock,12261000000.0,774600.0,16.5,VNINDEX,16.65,16.5,3540.0,15.55,792.0,EIB,14:24:29,2020-03-13
8,stock,12203000000.0,771060.0,16.45,VNINDEX,16.65,16.45,10.0,15.55,792.0,EIB,14:24:12,2020-03-13
9,stock,12202000000.0,771050.0,16.45,VNINDEX,16.65,16.45,10.0,15.55,792.0,EIB,14:23:51,2020-03-13
10,stock,12202000000.0,771040.0,16.4,VNINDEX,16.65,16.4,32680.0,15.55,792.0,EIB,14:23:42,2020-03-13
11,stock,11666000000.0,738350.0,16.35,VNINDEX,16.65,16.35,10.0,15.55,792.0,EIB,14:22:04,2020-03-13
12,stock,11666000000.0,738360.0,16.35,VNINDEX,16.65,16.35,10.0,15.55,792.0,EIB,14:22:04,2020-03-13
13,stock,11666000000.0,738340.0,15.8,VNINDEX,16.65,15.8,10.0,15.55,792.0,EIB,14:21:51,2020-03-13
14,stock,11666000000.0,738330.0,16.35,VNINDEX,16.65,16.35,10.0,15.55,792.0,EIB,14:20:42,2020-03-13
15,stock,11666000000.0,738320.0,15.8,VNINDEX,16.65,15.8,280.0,15.55,792.0,EIB,14:20:32,2020-03-13
