,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,54473000000.0,975880.0,57.0,VNINDEX,58.5,57.0,50600.0,55.3,1152.0,GAS,14:46:11,2020-03-13
1,stock,51588000000.0,925280.0,56.8,VNINDEX,58.5,56.8,80.0,55.3,1152.0,GAS,14:29:57,2020-03-13
2,stock,51584000000.0,925200.0,56.8,VNINDEX,58.5,56.8,10.0,55.3,1152.0,GAS,14:29:45,2020-03-13
3,stock,51583000000.0,925190.0,56.8,VNINDEX,58.5,56.8,30.0,55.3,1152.0,GAS,14:29:33,2020-03-13
4,stock,51582000000.0,925160.0,56.8,VNINDEX,58.5,56.8,510.0,55.3,1152.0,GAS,14:29:32,2020-03-13
5,stock,51553000000.0,924650.0,56.8,VNINDEX,58.5,56.8,10.0,55.3,1152.0,GAS,14:29:31,2020-03-13
6,stock,51552000000.0,924640.0,56.8,VNINDEX,58.5,56.8,150.0,55.3,1152.0,GAS,14:29:19,2020-03-13
7,stock,51543000000.0,924490.0,56.8,VNINDEX,58.5,56.8,50.0,55.3,1152.0,GAS,14:28:45,2020-03-13
8,stock,51541000000.0,924440.0,56.8,VNINDEX,58.5,56.8,20.0,55.3,1152.0,GAS,14:28:37,2020-03-13
9,stock,51539000000.0,924420.0,56.8,VNINDEX,58.5,56.8,30.0,55.3,1152.0,GAS,14:28:14,2020-03-13
10,stock,51538000000.0,924390.0,56.8,VNINDEX,58.5,56.8,350.0,55.3,1152.0,GAS,14:27:55,2020-03-13
11,stock,51518000000.0,924040.0,56.7,VNINDEX,58.5,56.7,90.0,55.3,1152.0,GAS,14:27:52,2020-03-13
12,stock,51513000000.0,923950.0,56.7,VNINDEX,58.5,56.7,590.0,55.3,1152.0,GAS,14:27:51,2020-03-13
13,stock,51479000000.0,923360.0,56.8,VNINDEX,58.5,56.8,600.0,55.3,1152.0,GAS,14:27:34,2020-03-13
14,stock,51445000000.0,922760.0,56.8,VNINDEX,58.5,56.8,1000.0,55.3,1152.0,GAS,14:27:13,2020-03-13
15,stock,51388000000.0,921760.0,56.7,VNINDEX,58.5,56.7,2000.0,55.3,1152.0,GAS,14:26:37,2020-03-13
16,stock,51275000000.0,919760.0,56.8,VNINDEX,58.5,56.8,590.0,55.3,1152.0,GAS,14:26:21,2020-03-13
17,stock,51241000000.0,919170.0,56.8,VNINDEX,58.5,56.8,710.0,55.3,1152.0,GAS,14:26:21,2020-03-13
18,stock,51201000000.0,918460.0,56.8,VNINDEX,58.5,56.8,60.0,55.3,1152.0,GAS,14:26:09,2020-03-13
19,stock,51198000000.0,918400.0,56.8,VNINDEX,58.5,56.8,90.0,55.3,1152.0,GAS,14:25:39,2020-03-13
20,stock,51193000000.0,918310.0,56.7,VNINDEX,58.5,56.7,590.0,55.3,1152.0,GAS,14:24:54,2020-03-13
21,stock,51159000000.0,917720.0,57.0,VNINDEX,58.5,57.0,10.0,55.3,1152.0,GAS,14:24:49,2020-03-13
22,stock,51159000000.0,917710.0,57.0,VNINDEX,58.5,57.0,100.0,55.3,1152.0,GAS,14:24:44,2020-03-13
23,stock,51153000000.0,917610.0,57.0,VNINDEX,58.5,57.0,1000.0,55.3,1152.0,GAS,14:24:36,2020-03-13
24,stock,51096000000.0,916610.0,57.0,VNINDEX,58.5,57.0,7510.0,55.3,1152.0,GAS,14:24:02,2020-03-13
25,stock,50668000000.0,909100.0,56.6,VNINDEX,58.5,56.6,6000.0,55.3,1152.0,GAS,14:24:01,2020-03-13
26,stock,50328000000.0,903100.0,57.0,VNINDEX,58.5,57.0,5300.0,55.3,1152.0,GAS,14:23:38,2020-03-13
27,stock,50026000000.0,897800.0,56.7,VNINDEX,58.5,56.7,3100.0,55.3,1152.0,GAS,14:23:35,2020-03-13
28,stock,49851000000.0,894700.0,56.6,VNINDEX,58.5,56.6,90.0,55.3,1152.0,GAS,14:23:28,2020-03-13
29,stock,49846000000.0,894610.0,56.7,VNINDEX,58.5,56.7,590.0,55.3,1152.0,GAS,14:23:25,2020-03-13
