,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,73109000000.0,3270420.0,23.0,VNINDEX,23.45,23.0,115510.0,21.25,1386.0,HDB,14:46:14,2020-03-13
1,stock,70453000000.0,3154910.0,23.0,VNINDEX,23.45,23.0,10.0,21.25,1386.0,HDB,14:29:51,2020-03-13
2,stock,70452000000.0,3154900.0,22.9,VNINDEX,23.45,22.9,990.0,21.25,1386.0,HDB,14:29:35,2020-03-13
3,stock,70430000000.0,3153910.0,23.0,VNINDEX,23.45,23.0,10.0,21.25,1386.0,HDB,14:28:40,2020-03-13
4,stock,70429000000.0,3153900.0,22.9,VNINDEX,23.45,22.9,2250.0,21.25,1386.0,HDB,14:28:22,2020-03-13
5,stock,70378000000.0,3151650.0,22.85,VNINDEX,23.45,22.85,700.0,21.25,1386.0,HDB,14:28:01,2020-03-13
6,stock,70362000000.0,3150950.0,22.85,VNINDEX,23.45,22.85,1170.0,21.25,1386.0,HDB,14:27:51,2020-03-13
7,stock,70335000000.0,3149780.0,22.9,VNINDEX,23.45,22.9,10.0,21.25,1386.0,HDB,14:27:10,2020-03-13
8,stock,70335000000.0,3149770.0,22.85,VNINDEX,23.45,22.85,900.0,21.25,1386.0,HDB,14:26:48,2020-03-13
9,stock,70314000000.0,3148870.0,22.9,VNINDEX,23.45,22.9,2740.0,21.25,1386.0,HDB,14:26:39,2020-03-13
10,stock,70252000000.0,3146130.0,22.9,VNINDEX,23.45,22.9,3230.0,21.25,1386.0,HDB,14:26:34,2020-03-13
11,stock,70178000000.0,3142900.0,22.9,VNINDEX,23.45,22.9,3690.0,21.25,1386.0,HDB,14:26:28,2020-03-13
12,stock,70093000000.0,3139210.0,22.9,VNINDEX,23.45,22.9,1170.0,21.25,1386.0,HDB,14:26:21,2020-03-13
13,stock,70066000000.0,3138040.0,23.05,VNINDEX,23.45,23.05,10.0,21.25,1386.0,HDB,14:25:52,2020-03-13
14,stock,69837000000.0,3128030.0,23.1,VNINDEX,23.45,23.1,200.0,21.25,1386.0,HDB,14:25:37,2020-03-13
15,stock,70066000000.0,3138030.0,22.9,VNINDEX,23.45,22.9,10000.0,21.25,1386.0,HDB,14:25:37,2020-03-13
16,stock,69832000000.0,3127830.0,23.1,VNINDEX,23.45,23.1,4010.0,21.25,1386.0,HDB,14:25:36,2020-03-13
17,stock,69739000000.0,3123820.0,23.1,VNINDEX,23.45,23.1,2700.0,21.25,1386.0,HDB,14:25:32,2020-03-13
18,stock,69677000000.0,3121120.0,23.1,VNINDEX,23.45,23.1,6450.0,21.25,1386.0,HDB,14:25:25,2020-03-13
19,stock,69528000000.0,3114670.0,23.15,VNINDEX,23.45,23.15,10.0,21.25,1386.0,HDB,14:25:06,2020-03-13
20,stock,69528000000.0,3114660.0,23.1,VNINDEX,23.45,23.1,5000.0,21.25,1386.0,HDB,14:25:05,2020-03-13
21,stock,69412000000.0,3109660.0,23.1,VNINDEX,23.45,23.1,1170.0,21.25,1386.0,HDB,14:24:52,2020-03-13
22,stock,69385000000.0,3108490.0,23.2,VNINDEX,23.45,23.2,4430.0,21.25,1386.0,HDB,14:24:40,2020-03-13
23,stock,69282000000.0,3104060.0,23.2,VNINDEX,23.45,23.2,3290.0,21.25,1386.0,HDB,14:24:36,2020-03-13
