,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,181458000000.0,3783330.0,49.85,VNINDEX,49.95,49.85,955010.0,46.5,2024.0,MSN,14:46:17,2020-03-13
1,stock,133850000000.0,2828320.0,49.0,VNINDEX,49.95,49.0,2000.0,46.5,2024.0,MSN,14:29:40,2020-03-13
2,stock,133752000000.00002,2826320.0,49.0,VNINDEX,49.95,49.0,500.0,46.5,2024.0,MSN,14:29:31,2020-03-13
3,stock,133728000000.00002,2825820.0,49.0,VNINDEX,49.95,49.0,10.0,46.5,2024.0,MSN,14:29:28,2020-03-13
4,stock,133727000000.0,2825810.0,49.0,VNINDEX,49.95,49.0,10.0,46.5,2024.0,MSN,14:29:13,2020-03-13
5,stock,133727000000.0,2825800.0,49.0,VNINDEX,49.95,49.0,30.0,46.5,2024.0,MSN,14:29:03,2020-03-13
6,stock,133725000000.0,2825770.0,49.0,VNINDEX,49.95,49.0,900.0,46.5,2024.0,MSN,14:29:02,2020-03-13
7,stock,133681000000.00002,2824870.0,49.0,VNINDEX,49.95,49.0,100.0,46.5,2024.0,MSN,14:29:01,2020-03-13
8,stock,133675999999.99998,2824770.0,49.2,VNINDEX,49.95,49.2,1040.0,46.5,2024.0,MSN,14:28:51,2020-03-13
9,stock,133625000000.0,2823730.0,49.0,VNINDEX,49.95,49.0,6000.0,46.5,2024.0,MSN,14:28:50,2020-03-13
10,stock,133330999999.99998,2817730.0,49.0,VNINDEX,49.95,49.0,3140.0,46.5,2024.0,MSN,14:28:45,2020-03-13
11,stock,133178000000.0,2814590.0,49.0,VNINDEX,49.95,49.0,320.0,46.5,2024.0,MSN,14:28:41,2020-03-13
12,stock,133162000000.0,2814270.0,49.0,VNINDEX,49.95,49.0,400.0,46.5,2024.0,MSN,14:28:38,2020-03-13
13,stock,133142000000.0,2813870.0,49.0,VNINDEX,49.95,49.0,600.0,46.5,2024.0,MSN,14:28:11,2020-03-13
14,stock,133113000000.0,2813270.0,48.9,VNINDEX,49.95,48.9,5000.0,46.5,2024.0,MSN,14:28:00,2020-03-13
15,stock,132868000000.0,2808270.0,48.9,VNINDEX,49.95,48.9,1020.0,46.5,2024.0,MSN,14:27:52,2020-03-13
16,stock,132818000000.00002,2807250.0,49.0,VNINDEX,49.95,49.0,70.0,46.5,2024.0,MSN,14:27:31,2020-03-13
17,stock,132815000000.0,2807180.0,49.0,VNINDEX,49.95,49.0,200.0,46.5,2024.0,MSN,14:27:12,2020-03-13
