,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,276690000000.0,3610700.0,79.0,VNINDEX,86.0,79.0,141350.0,75.7,2028.0,MWG,14:46:17,2020-03-13
1,stock,265523000000.00003,3469350.0,79.2,VNINDEX,86.0,79.2,1680.0,75.7,2028.0,MWG,14:29:57,2020-03-13
2,stock,265390000000.0,3467670.0,79.1,VNINDEX,86.0,79.1,20.0,75.7,2028.0,MWG,14:29:52,2020-03-13
3,stock,265389000000.0,3467650.0,79.2,VNINDEX,86.0,79.2,30.0,75.7,2028.0,MWG,14:29:50,2020-03-13
4,stock,265386000000.00003,3467620.0,79.2,VNINDEX,86.0,79.2,60.0,75.7,2028.0,MWG,14:29:47,2020-03-13
5,stock,265380999999.99997,3467560.0,79.2,VNINDEX,86.0,79.2,100.0,75.7,2028.0,MWG,14:29:41,2020-03-13
6,stock,265373000000.0,3467460.0,79.2,VNINDEX,86.0,79.2,50.0,75.7,2028.0,MWG,14:29:39,2020-03-13
7,stock,265369000000.00003,3467410.0,79.2,VNINDEX,86.0,79.2,80.0,75.7,2028.0,MWG,14:29:28,2020-03-13
8,stock,265363000000.0,3467330.0,79.1,VNINDEX,86.0,79.1,2000.0,75.7,2028.0,MWG,14:29:17,2020-03-13
9,stock,265204999999.99997,3465330.0,79.1,VNINDEX,86.0,79.1,820.0,75.7,2028.0,MWG,14:29:12,2020-03-13
10,stock,265140000000.0,3464510.0,79.2,VNINDEX,86.0,79.2,20.0,75.7,2028.0,MWG,14:28:58,2020-03-13
11,stock,265139000000.0,3464490.0,79.2,VNINDEX,86.0,79.2,10.0,75.7,2028.0,MWG,14:28:53,2020-03-13
12,stock,265137999999.99997,3464480.0,79.2,VNINDEX,86.0,79.2,10.0,75.7,2028.0,MWG,14:28:53,2020-03-13
13,stock,265137000000.0,3464470.0,79.2,VNINDEX,86.0,79.2,1850.0,75.7,2028.0,MWG,14:28:44,2020-03-13
14,stock,264990000000.0,3462620.0,79.2,VNINDEX,86.0,79.2,890.0,75.7,2028.0,MWG,14:28:40,2020-03-13
15,stock,264920000000.00003,3461730.0,79.1,VNINDEX,86.0,79.1,2000.0,75.7,2028.0,MWG,14:28:29,2020-03-13
16,stock,264762000000.0,3459730.0,79.1,VNINDEX,86.0,79.1,3330.0,75.7,2028.0,MWG,14:28:17,2020-03-13
17,stock,264498000000.0,3456400.0,79.2,VNINDEX,86.0,79.2,150.0,75.7,2028.0,MWG,14:28:13,2020-03-13
18,stock,264486000000.0,3456250.0,79.1,VNINDEX,86.0,79.1,5100.0,75.7,2028.0,MWG,14:28:04,2020-03-13
19,stock,264083000000.00003,3451150.0,79.1,VNINDEX,86.0,79.1,300.0,75.7,2028.0,MWG,14:28:01,2020-03-13
20,stock,264059000000.00003,3450850.0,79.2,VNINDEX,86.0,79.2,1000.0,75.7,2028.0,MWG,14:27:59,2020-03-13
21,stock,263980000000.00003,3449850.0,79.1,VNINDEX,86.0,79.1,200.0,75.7,2028.0,MWG,14:27:53,2020-03-13
22,stock,263964000000.0,3449650.0,79.2,VNINDEX,86.0,79.2,1000.0,75.7,2028.0,MWG,14:27:49,2020-03-13
23,stock,263885000000.0,3448650.0,79.1,VNINDEX,86.0,79.1,600.0,75.7,2028.0,MWG,14:27:42,2020-03-13
24,stock,263837000000.0,3448050.0,79.1,VNINDEX,86.0,79.1,100.0,75.7,2028.0,MWG,14:27:39,2020-03-13
25,stock,263829999999.99997,3447950.0,79.1,VNINDEX,86.0,79.1,250.0,75.7,2028.0,MWG,14:27:16,2020-03-13
26,stock,263810000000.0,3447700.0,79.2,VNINDEX,86.0,79.2,10.0,75.7,2028.0,MWG,14:27:12,2020-03-13
27,stock,263809000000.00003,3447690.0,79.1,VNINDEX,86.0,79.1,250.0,75.7,2028.0,MWG,14:27:04,2020-03-13
28,stock,263789000000.0,3447440.0,79.2,VNINDEX,86.0,79.2,10.0,75.7,2028.0,MWG,14:26:46,2020-03-13
29,stock,263788000000.0,3447430.0,79.2,VNINDEX,86.0,79.2,10.0,75.7,2028.0,MWG,14:26:44,2020-03-13
30,stock,263788000000.0,3447420.0,79.2,VNINDEX,86.0,79.2,220.0,75.7,2028.0,MWG,14:26:44,2020-03-13
31,stock,263769999999.99997,3447200.0,79.2,VNINDEX,86.0,79.2,40.0,75.7,2028.0,MWG,14:26:22,2020-03-13
32,stock,263767000000.0,3447160.0,79.2,VNINDEX,86.0,79.2,760.0,75.7,2028.0,MWG,14:26:22,2020-03-13
33,stock,263707000000.0,3446400.0,79.2,VNINDEX,86.0,79.2,2000.0,75.7,2028.0,MWG,14:26:05,2020-03-13
34,stock,263548000000.0,3444400.0,79.2,VNINDEX,86.0,79.2,3000.0,75.7,2028.0,MWG,14:25:52,2020-03-13
35,stock,263310999999.99997,3441400.0,79.2,VNINDEX,86.0,79.2,7750.0,75.7,2028.0,MWG,14:25:40,2020-03-13
36,stock,262696000000.00003,3433650.0,79.5,VNINDEX,86.0,79.5,50.0,75.7,2028.0,MWG,14:25:31,2020-03-13
37,stock,262692999999.99997,3433600.0,79.5,VNINDEX,86.0,79.5,1000.0,75.7,2028.0,MWG,14:25:03,2020-03-13
38,stock,262613000000.0,3432600.0,79.8,VNINDEX,86.0,79.8,10.0,75.7,2028.0,MWG,14:24:59,2020-03-13
39,stock,262608000000.0,3432540.0,79.5,VNINDEX,86.0,79.5,90.0,75.7,2028.0,MWG,14:24:43,2020-03-13
40,stock,262612000000.00003,3432590.0,79.5,VNINDEX,86.0,79.5,50.0,75.7,2028.0,MWG,14:24:43,2020-03-13
41,stock,262601000000.0,3432450.0,79.5,VNINDEX,86.0,79.5,410.0,75.7,2028.0,MWG,14:24:39,2020-03-13
42,stock,262567999999.99997,3432040.0,80.0,VNINDEX,86.0,80.0,20.0,75.7,2028.0,MWG,14:24:26,2020-03-13
43,stock,262567000000.0,3432020.0,79.5,VNINDEX,86.0,79.5,5000.0,75.7,2028.0,MWG,14:24:19,2020-03-13
44,stock,262168999999.99997,3427020.0,80.0,VNINDEX,86.0,80.0,40.0,75.7,2028.0,MWG,14:24:14,2020-03-13
45,stock,262166000000.0,3426980.0,80.0,VNINDEX,86.0,80.0,1000.0,75.7,2028.0,MWG,14:24:09,2020-03-13
46,stock,262086000000.0,3425980.0,80.0,VNINDEX,86.0,80.0,240.0,75.7,2028.0,MWG,14:23:02,2020-03-13
47,stock,262067000000.0,3425740.0,79.5,VNINDEX,86.0,79.5,30.0,75.7,2028.0,MWG,14:22:58,2020-03-13
48,stock,262065000000.0,3425710.0,80.0,VNINDEX,86.0,80.0,1500.0,75.7,2028.0,MWG,14:22:44,2020-03-13
49,stock,261945000000.0,3424210.0,80.0,VNINDEX,86.0,80.0,100.0,75.7,2028.0,MWG,14:22:33,2020-03-13
50,stock,261937000000.0,3424110.0,80.0,VNINDEX,86.0,80.0,700.0,75.7,2028.0,MWG,14:22:30,2020-03-13
51,stock,261880999999.99997,3423410.0,80.0,VNINDEX,86.0,80.0,110.0,75.7,2028.0,MWG,14:22:16,2020-03-13
52,stock,261872000000.0,3423300.0,79.1,VNINDEX,86.0,79.1,1640.0,75.7,2028.0,MWG,14:21:53,2020-03-13
53,stock,261742000000.00003,3421660.0,80.1,VNINDEX,86.0,80.1,20.0,75.7,2028.0,MWG,14:21:47,2020-03-13
54,stock,261740000000.0,3421640.0,80.4,VNINDEX,86.0,80.4,10.0,75.7,2028.0,MWG,14:21:41,2020-03-13
55,stock,261738999999.99997,3421630.0,80.1,VNINDEX,86.0,80.1,30.0,75.7,2028.0,MWG,14:21:32,2020-03-13
56,stock,261737000000.00003,3421600.0,79.1,VNINDEX,86.0,79.1,10000.0,75.7,2028.0,MWG,14:21:20,2020-03-13
57,stock,260942000000.0,3411600.0,80.4,VNINDEX,86.0,80.4,10.0,75.7,2028.0,MWG,14:21:17,2020-03-13
58,stock,260940999999.99997,3411590.0,80.0,VNINDEX,86.0,80.0,460.0,75.7,2028.0,MWG,14:21:08,2020-03-13
59,stock,260904000000.0,3411130.0,80.0,VNINDEX,86.0,80.0,50.0,75.7,2028.0,MWG,14:20:52,2020-03-13
60,stock,260899999999.99997,3411080.0,80.0,VNINDEX,86.0,80.0,100.0,75.7,2028.0,MWG,14:20:42,2020-03-13
61,stock,260892000000.0,3410980.0,80.0,VNINDEX,86.0,80.0,100.0,75.7,2028.0,MWG,14:20:37,2020-03-13
62,stock,260884000000.0,3410880.0,80.4,VNINDEX,86.0,80.4,10.0,75.7,2028.0,MWG,14:20:20,2020-03-13
63,stock,260882999999.99997,3410870.0,80.0,VNINDEX,86.0,80.0,20.0,75.7,2028.0,MWG,14:20:11,2020-03-13
64,stock,260882000000.0,3410850.0,80.0,VNINDEX,86.0,80.0,1000.0,75.7,2028.0,MWG,14:20:05,2020-03-13
65,stock,260802000000.00003,3409850.0,80.0,VNINDEX,86.0,80.0,21060.0,75.7,2028.0,MWG,14:19:53,2020-03-13
66,stock,259117000000.00003,3388790.0,80.5,VNINDEX,86.0,80.5,100.0,75.7,2028.0,MWG,14:19:43,2020-03-13
67,stock,259108999999.99997,3388690.0,80.5,VNINDEX,86.0,80.5,10.0,75.7,2028.0,MWG,14:19:38,2020-03-13
68,stock,259108000000.0,3388680.0,80.5,VNINDEX,86.0,80.5,120.0,75.7,2028.0,MWG,14:19:35,2020-03-13
69,stock,259098000000.0,3388560.0,80.5,VNINDEX,86.0,80.5,2000.0,75.7,2028.0,MWG,14:19:34,2020-03-13
70,stock,258937000000.0,3386560.0,80.5,VNINDEX,86.0,80.5,20.0,75.7,2028.0,MWG,14:19:33,2020-03-13
71,stock,258935000000.0,3386540.0,80.8,VNINDEX,86.0,80.8,50.0,75.7,2028.0,MWG,14:19:33,2020-03-13
72,stock,258930999999.99997,3386490.0,80.5,VNINDEX,86.0,80.5,2870.0,75.7,2028.0,MWG,14:19:30,2020-03-13
73,stock,258700000000.0,3383620.0,80.5,VNINDEX,86.0,80.5,100.0,75.7,2028.0,MWG,14:19:19,2020-03-13
74,stock,258692000000.0,3383520.0,80.8,VNINDEX,86.0,80.8,3560.0,75.7,2028.0,MWG,14:19:12,2020-03-13
75,stock,258404999999.99997,3379960.0,81.0,VNINDEX,86.0,81.0,100.0,75.7,2028.0,MWG,14:19:08,2020-03-13
76,stock,258397000000.0,3379860.0,80.8,VNINDEX,86.0,80.8,5000.0,75.7,2028.0,MWG,14:19:07,2020-03-13
77,stock,257993000000.0,3374860.0,80.8,VNINDEX,86.0,80.8,1500.0,75.7,2028.0,MWG,14:19:05,2020-03-13
78,stock,257870999999.99997,3373360.0,80.9,VNINDEX,86.0,80.9,200.0,75.7,2028.0,MWG,14:19:03,2020-03-13
79,stock,257855000000.00003,3373160.0,81.0,VNINDEX,86.0,81.0,100.0,75.7,2028.0,MWG,14:18:47,2020-03-13
80,stock,257846999999.99997,3373060.0,81.0,VNINDEX,86.0,81.0,50.0,75.7,2028.0,MWG,14:18:40,2020-03-13
81,stock,257843000000.00003,3373010.0,81.0,VNINDEX,86.0,81.0,16530.0,75.7,2028.0,MWG,14:18:38,2020-03-13
82,stock,256504000000.00003,3356480.0,81.1,VNINDEX,86.0,81.1,500.0,75.7,2028.0,MWG,14:18:23,2020-03-13
83,stock,256464000000.0,3355980.0,81.1,VNINDEX,86.0,81.1,1480.0,75.7,2028.0,MWG,14:18:13,2020-03-13
84,stock,256344000000.0,3354500.0,81.3,VNINDEX,86.0,81.3,20.0,75.7,2028.0,MWG,14:17:54,2020-03-13
85,stock,256341999999.99997,3354480.0,81.3,VNINDEX,86.0,81.3,100.0,75.7,2028.0,MWG,14:17:54,2020-03-13
86,stock,256334000000.0,3354380.0,81.3,VNINDEX,86.0,81.3,10.0,75.7,2028.0,MWG,14:17:47,2020-03-13
87,stock,256333000000.00003,3354370.0,81.1,VNINDEX,86.0,81.1,20.0,75.7,2028.0,MWG,14:17:34,2020-03-13
88,stock,256331000000.00003,3354350.0,81.3,VNINDEX,86.0,81.3,5000.0,75.7,2028.0,MWG,14:17:32,2020-03-13
89,stock,255925000000.0,3349350.0,81.3,VNINDEX,86.0,81.3,10.0,75.7,2028.0,MWG,14:17:25,2020-03-13
90,stock,255883000000.0,3348840.0,81.3,VNINDEX,86.0,81.3,10.0,75.7,2028.0,MWG,14:17:19,2020-03-13
91,stock,255924000000.0,3349340.0,81.1,VNINDEX,86.0,81.1,500.0,75.7,2028.0,MWG,14:17:19,2020-03-13
92,stock,255883000000.0,3348830.0,81.3,VNINDEX,86.0,81.3,150.0,75.7,2028.0,MWG,14:17:16,2020-03-13
93,stock,255870000000.0,3348680.0,81.3,VNINDEX,86.0,81.3,100.0,75.7,2028.0,MWG,14:17:09,2020-03-13
94,stock,255862000000.0,3348580.0,81.3,VNINDEX,86.0,81.3,1000.0,75.7,2028.0,MWG,14:16:51,2020-03-13
95,stock,255781000000.0,3347580.0,81.0,VNINDEX,86.0,81.0,12950.0,75.7,2028.0,MWG,14:16:47,2020-03-13
96,stock,254732000000.0,3334630.0,81.3,VNINDEX,86.0,81.3,1000.0,75.7,2028.0,MWG,14:16:43,2020-03-13
97,stock,254651000000.0,3333630.0,81.2,VNINDEX,86.0,81.2,100.0,75.7,2028.0,MWG,14:16:42,2020-03-13
98,stock,254643000000.0,3333530.0,81.3,VNINDEX,86.0,81.3,5000.0,75.7,2028.0,MWG,14:16:36,2020-03-13
99,stock,254236000000.0,3328530.0,81.2,VNINDEX,86.0,81.2,550.0,75.7,2028.0,MWG,14:16:28,2020-03-13
100,stock,254191000000.0,3327980.0,81.3,VNINDEX,86.0,81.3,10.0,75.7,2028.0,MWG,14:16:21,2020-03-13
101,stock,254191000000.0,3327970.0,81.2,VNINDEX,86.0,81.2,650.0,75.7,2028.0,MWG,14:16:20,2020-03-13
