,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,18621000000.0,357570.0,53.0,VNINDEX,53.0,53.0,73980.0,51.2,2200.0,NVL,14:46:18,2020-03-13
1,stock,14700000000.0,283590.0,52.9,VNINDEX,52.9,52.9,2000.0,51.2,2200.0,NVL,14:26:54,2020-03-13
2,stock,14594000000.0,281590.0,52.9,VNINDEX,52.9,52.9,700.0,51.2,2200.0,NVL,14:26:00,2020-03-13
3,stock,14557000000.0,280890.0,52.9,VNINDEX,52.9,52.9,10.0,51.2,2200.0,NVL,14:23:25,2020-03-13
4,stock,14556000000.0,280880.0,52.8,VNINDEX,52.9,52.8,2960.0,51.2,2200.0,NVL,14:23:06,2020-03-13
5,stock,14400000000.0,277920.0,52.8,VNINDEX,52.9,52.8,1230.0,51.2,2200.0,NVL,14:21:17,2020-03-13
6,stock,14335000000.0,276690.0,52.9,VNINDEX,52.9,52.9,230.0,51.2,2200.0,NVL,14:19:54,2020-03-13
7,stock,14323000000.0,276460.0,52.8,VNINDEX,52.9,52.8,1770.0,51.2,2200.0,NVL,14:19:47,2020-03-13
8,stock,14230000000.0,274690.0,52.8,VNINDEX,52.9,52.8,700.0,51.2,2200.0,NVL,14:19:16,2020-03-13
9,stock,14193000000.0,273990.0,52.8,VNINDEX,52.9,52.8,10.0,51.2,2200.0,NVL,14:18:40,2020-03-13
10,stock,14192000000.0,273980.0,52.7,VNINDEX,52.9,52.7,500.0,51.2,2200.0,NVL,14:17:42,2020-03-13
11,stock,14166000000.0,273480.0,52.8,VNINDEX,52.9,52.8,560.0,51.2,2200.0,NVL,14:17:17,2020-03-13
12,stock,14136000000.0,272920.0,52.8,VNINDEX,52.9,52.8,10.0,51.2,2200.0,NVL,14:17:03,2020-03-13
13,stock,14136000000.0,272910.0,52.8,VNINDEX,52.9,52.8,1990.0,51.2,2200.0,NVL,14:17:00,2020-03-13
14,stock,14031000000.0,270920.0,52.8,VNINDEX,52.9,52.8,1410.0,51.2,2200.0,NVL,14:16:42,2020-03-13
15,stock,13956000000.0,269510.0,52.8,VNINDEX,52.9,52.8,2000.0,51.2,2200.0,NVL,14:16:34,2020-03-13
16,stock,13850000000.0,267510.0,52.8,VNINDEX,52.9,52.8,680.0,51.2,2200.0,NVL,14:16:01,2020-03-13
17,stock,13815000000.0,266830.0,52.8,VNINDEX,52.9,52.8,1000.0,51.2,2200.0,NVL,14:14:14,2020-03-13
18,stock,13762000000.0,265830.0,52.8,VNINDEX,52.9,52.8,1600.0,51.2,2200.0,NVL,14:13:49,2020-03-13
19,stock,13677000000.0,264230.0,52.8,VNINDEX,52.9,52.8,500.0,51.2,2200.0,NVL,14:13:37,2020-03-13
20,stock,13651000000.0,263730.0,52.8,VNINDEX,52.9,52.8,320.0,51.2,2200.0,NVL,14:13:29,2020-03-13
