,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,30105000000.0,845640.0,36.15,VNINDEX,38.0,36.15,24210.0,35.4,2576.0,PLX,14:46:19,2020-03-13
1,stock,29229000000.0,821430.0,36.5,VNINDEX,38.0,36.5,2000.0,35.4,2576.0,PLX,14:29:52,2020-03-13
2,stock,29156000000.0,819430.0,36.1,VNINDEX,38.0,36.1,40.0,35.4,2576.0,PLX,14:27:52,2020-03-13
3,stock,29155000000.0,819390.0,36.1,VNINDEX,38.0,36.1,90.0,35.4,2576.0,PLX,14:27:50,2020-03-13
4,stock,29152000000.0,819300.0,36.1,VNINDEX,38.0,36.1,1970.0,35.4,2576.0,PLX,14:27:36,2020-03-13
5,stock,29081000000.0,817330.0,36.5,VNINDEX,38.0,36.5,2000.0,35.4,2576.0,PLX,14:26:41,2020-03-13
6,stock,29008000000.0,815330.0,36.1,VNINDEX,38.0,36.1,1300.0,35.4,2576.0,PLX,14:26:40,2020-03-13
7,stock,28961000000.0,814030.0,36.5,VNINDEX,38.0,36.5,500.0,35.4,2576.0,PLX,14:26:18,2020-03-13
8,stock,28942000000.0,813530.0,36.5,VNINDEX,38.0,36.5,980.0,35.4,2576.0,PLX,14:26:01,2020-03-13
9,stock,28907000000.0,812550.0,36.1,VNINDEX,38.0,36.1,100.0,35.4,2576.0,PLX,14:25:47,2020-03-13
10,stock,28903000000.0,812450.0,36.1,VNINDEX,38.0,36.1,40.0,35.4,2576.0,PLX,14:25:40,2020-03-13
11,stock,28902000000.0,812410.0,36.1,VNINDEX,38.0,36.1,2000.0,35.4,2576.0,PLX,14:24:17,2020-03-13
12,stock,28829000000.0,810410.0,36.1,VNINDEX,38.0,36.1,40.0,35.4,2576.0,PLX,14:23:30,2020-03-13
13,stock,28828000000.0,810370.0,36.1,VNINDEX,38.0,36.1,100.0,35.4,2576.0,PLX,14:22:47,2020-03-13
14,stock,28824000000.0,810270.0,36.5,VNINDEX,38.0,36.5,10.0,35.4,2576.0,PLX,14:22:41,2020-03-13
15,stock,28824000000.0,810260.0,36.0,VNINDEX,38.0,36.0,40.0,35.4,2576.0,PLX,14:21:19,2020-03-13
16,stock,28823000000.0,810220.0,36.5,VNINDEX,38.0,36.5,500.0,35.4,2576.0,PLX,14:20:46,2020-03-13
17,stock,28804000000.0,809720.0,36.5,VNINDEX,38.0,36.5,1230.0,35.4,2576.0,PLX,14:20:31,2020-03-13
18,stock,28759000000.0,808490.0,36.6,VNINDEX,38.0,36.6,30.0,35.4,2576.0,PLX,14:20:15,2020-03-13
19,stock,28758000000.0,808460.0,36.5,VNINDEX,38.0,36.5,10.0,35.4,2576.0,PLX,14:20:09,2020-03-13
20,stock,28758000000.0,808450.0,36.0,VNINDEX,38.0,36.0,1000.0,35.4,2576.0,PLX,14:19:57,2020-03-13
21,stock,28722000000.0,807450.0,36.5,VNINDEX,38.0,36.5,1000.0,35.4,2576.0,PLX,14:19:31,2020-03-13
22,stock,28685000000.0,806450.0,36.4,VNINDEX,38.0,36.4,40.0,35.4,2576.0,PLX,14:19:09,2020-03-13
23,stock,28684000000.0,806410.0,36.4,VNINDEX,38.0,36.4,20.0,35.4,2576.0,PLX,14:19:01,2020-03-13
24,stock,28683000000.0,806390.0,36.5,VNINDEX,38.0,36.5,1000.0,35.4,2576.0,PLX,14:18:22,2020-03-13
25,stock,28647000000.0,805390.0,36.7,VNINDEX,38.0,36.7,5000.0,35.4,2576.0,PLX,14:17:55,2020-03-13
26,stock,28463000000.0,800390.0,36.7,VNINDEX,38.0,36.7,1500.0,35.4,2576.0,PLX,14:17:42,2020-03-13
27,stock,28408000000.0,798890.0,36.7,VNINDEX,38.0,36.7,40.0,35.4,2576.0,PLX,14:16:58,2020-03-13
28,stock,28407000000.0,798850.0,36.7,VNINDEX,38.0,36.7,2160.0,35.4,2576.0,PLX,14:16:35,2020-03-13
29,stock,28327000000.0,796690.0,36.7,VNINDEX,38.0,36.7,2840.0,35.4,2576.0,PLX,14:16:31,2020-03-13
30,stock,28223000000.0,793850.0,36.7,VNINDEX,38.0,36.7,240.0,35.4,2576.0,PLX,14:16:23,2020-03-13
31,stock,28214000000.0,793610.0,36.7,VNINDEX,38.0,36.7,4340.0,35.4,2576.0,PLX,14:16:08,2020-03-13
32,stock,28056000000.0,789270.0,36.3,VNINDEX,38.0,36.3,30.0,35.4,2576.0,PLX,14:15:36,2020-03-13
33,stock,28055000000.0,789240.0,36.3,VNINDEX,38.0,36.3,470.0,35.4,2576.0,PLX,14:15:27,2020-03-13
34,stock,28038000000.0,788770.0,36.3,VNINDEX,38.0,36.3,10.0,35.4,2576.0,PLX,14:14:50,2020-03-13
