,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,92671000000.0,1549920.0,61.6,VNINDEX,62.7,61.6,38270.0,59.4,2557.0,PNJ,14:46:19,2020-03-13
1,stock,90313000000.0,1511650.0,62.0,VNINDEX,62.7,62.0,1000.0,59.4,2557.0,PNJ,14:29:46,2020-03-13
2,stock,90251000000.0,1510650.0,62.0,VNINDEX,62.7,62.0,30.0,59.4,2557.0,PNJ,14:29:33,2020-03-13
3,stock,90250000000.0,1510620.0,62.0,VNINDEX,62.7,62.0,2460.0,59.4,2557.0,PNJ,14:29:18,2020-03-13
4,stock,90097000000.0,1508160.0,62.0,VNINDEX,62.7,62.0,50.0,59.4,2557.0,PNJ,14:29:09,2020-03-13
5,stock,89940000000.0,1505620.0,62.0,VNINDEX,62.7,62.0,50.0,59.4,2557.0,PNJ,14:29:03,2020-03-13
6,stock,90094000000.0,1508110.0,62.0,VNINDEX,62.7,62.0,2490.0,59.4,2557.0,PNJ,14:29:03,2020-03-13
7,stock,89936000000.0,1505570.0,61.9,VNINDEX,62.7,61.9,160.0,59.4,2557.0,PNJ,14:28:32,2020-03-13
8,stock,89927000000.0,1505410.0,61.9,VNINDEX,62.7,61.9,650.0,59.4,2557.0,PNJ,14:27:56,2020-03-13
9,stock,89886000000.0,1504760.0,61.9,VNINDEX,62.7,61.9,100.0,59.4,2557.0,PNJ,14:27:42,2020-03-13
10,stock,89880000000.0,1504660.0,61.9,VNINDEX,62.7,61.9,550.0,59.4,2557.0,PNJ,14:27:34,2020-03-13
11,stock,89846000000.0,1504110.0,62.5,VNINDEX,62.7,62.5,5000.0,59.4,2557.0,PNJ,14:27:25,2020-03-13
12,stock,89536000000.0,1499110.0,61.9,VNINDEX,62.7,61.9,550.0,59.4,2557.0,PNJ,14:27:23,2020-03-13
13,stock,89501000000.0,1498560.0,61.9,VNINDEX,62.7,61.9,100.0,59.4,2557.0,PNJ,14:27:21,2020-03-13
14,stock,89495000000.0,1498460.0,61.9,VNINDEX,62.7,61.9,100.0,59.4,2557.0,PNJ,14:27:12,2020-03-13
15,stock,89489000000.0,1498360.0,61.9,VNINDEX,62.7,61.9,50.0,59.4,2557.0,PNJ,14:27:11,2020-03-13
16,stock,89486000000.0,1498310.0,61.9,VNINDEX,62.7,61.9,1800.0,59.4,2557.0,PNJ,14:27:09,2020-03-13
17,stock,89375000000.0,1496510.0,61.9,VNINDEX,62.7,61.9,100.0,59.4,2557.0,PNJ,14:26:43,2020-03-13
18,stock,89368000000.0,1496410.0,62.0,VNINDEX,62.7,62.0,100.0,59.4,2557.0,PNJ,14:26:33,2020-03-13
19,stock,89362000000.0,1496310.0,62.0,VNINDEX,62.7,62.0,10.0,59.4,2557.0,PNJ,14:26:24,2020-03-13
20,stock,89362000000.0,1496300.0,62.0,VNINDEX,62.7,62.0,50.0,59.4,2557.0,PNJ,14:26:23,2020-03-13
21,stock,89358000000.0,1496250.0,61.9,VNINDEX,62.7,61.9,200.0,59.4,2557.0,PNJ,14:26:23,2020-03-13
22,stock,89346000000.0,1496050.0,62.0,VNINDEX,62.7,62.0,330.0,59.4,2557.0,PNJ,14:25:52,2020-03-13
23,stock,89326000000.0,1495720.0,62.0,VNINDEX,62.7,62.0,170.0,59.4,2557.0,PNJ,14:25:49,2020-03-13
24,stock,89315000000.0,1495550.0,62.0,VNINDEX,62.7,62.0,1830.0,59.4,2557.0,PNJ,14:25:48,2020-03-13
25,stock,89202000000.0,1493720.0,62.1,VNINDEX,62.7,62.1,10.0,59.4,2557.0,PNJ,14:25:12,2020-03-13
26,stock,89201000000.0,1493710.0,62.0,VNINDEX,62.7,62.0,200.0,59.4,2557.0,PNJ,14:25:08,2020-03-13
27,stock,89189000000.0,1493510.0,62.0,VNINDEX,62.7,62.0,100.0,59.4,2557.0,PNJ,14:24:50,2020-03-13
28,stock,89182000000.0,1493410.0,62.0,VNINDEX,62.7,62.0,3220.0,59.4,2557.0,PNJ,14:24:49,2020-03-13
29,stock,88983000000.0,1490190.0,62.0,VNINDEX,62.7,62.0,100.0,59.4,2557.0,PNJ,14:24:48,2020-03-13
30,stock,88977000000.0,1490090.0,62.0,VNINDEX,62.7,62.0,480.0,59.4,2557.0,PNJ,14:24:33,2020-03-13
31,stock,88947000000.0,1489610.0,62.0,VNINDEX,62.7,62.0,1000.0,59.4,2557.0,PNJ,14:24:08,2020-03-13
