,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,36410000000.0,4570810.0,8.9,VNINDEX,8.9,8.9,268110.0,7.81,66.0,POW,14:46:20,2020-03-13
1,stock,34023000000.000004,4302700.0,8.39,VNINDEX,8.39,8.39,100000.0,7.81,66.0,POW,14:29:42,2020-03-13
2,stock,33197000000.000004,4202700.0,8.19,VNINDEX,8.3,8.19,4000.0,7.81,66.0,POW,14:29:34,2020-03-13
3,stock,33164000000.0,4198700.0,8.15,VNINDEX,8.3,8.15,10000.0,7.81,66.0,POW,14:29:07,2020-03-13
4,stock,33082000000.0,4188700.0,8.19,VNINDEX,8.3,8.19,6200.0,7.81,66.0,POW,14:28:52,2020-03-13
5,stock,33031000000.0,4182500.0,8.19,VNINDEX,8.3,8.19,500.0,7.81,66.0,POW,14:28:42,2020-03-13
6,stock,33027000000.0,4182000.0,8.19,VNINDEX,8.3,8.19,800.0,7.81,66.0,POW,14:28:21,2020-03-13
7,stock,33021000000.0,4181200.0,8.2,VNINDEX,8.3,8.2,2000.0,7.81,66.0,POW,14:26:53,2020-03-13
8,stock,33003999999.999996,4179200.0,8.2,VNINDEX,8.3,8.2,500.0,7.81,66.0,POW,14:26:04,2020-03-13
9,stock,33000000000.0,4178700.0,8.2,VNINDEX,8.3,8.2,60.0,7.81,66.0,POW,14:25:57,2020-03-13
10,stock,33000000000.0,4178640.0,8.2,VNINDEX,8.3,8.2,1000.0,7.81,66.0,POW,14:25:48,2020-03-13
11,stock,32991999999.999996,4177640.0,8.2,VNINDEX,8.3,8.2,100.0,7.81,66.0,POW,14:25:16,2020-03-13
12,stock,32991000000.0,4177540.0,8.2,VNINDEX,8.3,8.2,2000.0,7.81,66.0,POW,14:25:05,2020-03-13
13,stock,32973999999.999996,4175540.0,8.2,VNINDEX,8.3,8.2,40.0,7.81,66.0,POW,14:25:00,2020-03-13
14,stock,32973999999.999996,4175500.0,8.2,VNINDEX,8.3,8.2,100.0,7.81,66.0,POW,14:24:54,2020-03-13
15,stock,32973000000.0,4175400.0,8.13,VNINDEX,8.3,8.13,3280.0,7.81,66.0,POW,14:24:53,2020-03-13
16,stock,32945999999.999996,4172120.0,8.2,VNINDEX,8.3,8.2,1000.0,7.81,66.0,POW,14:24:39,2020-03-13
17,stock,32938000000.000004,4171120.0,8.2,VNINDEX,8.3,8.2,20.0,7.81,66.0,POW,14:24:24,2020-03-13
18,stock,32938000000.000004,4171100.0,8.2,VNINDEX,8.3,8.2,100.0,7.81,66.0,POW,14:23:47,2020-03-13
19,stock,32936999999.999996,4171000.0,8.2,VNINDEX,8.3,8.2,1000.0,7.81,66.0,POW,14:23:41,2020-03-13
20,stock,32929000000.000004,4170000.0,8.2,VNINDEX,8.3,8.2,780.0,7.81,66.0,POW,14:23:38,2020-03-13
21,stock,32923000000.0,4169220.0,8.21,VNINDEX,8.3,8.21,870.0,7.81,66.0,POW,14:23:22,2020-03-13
22,stock,32915999999.999996,4168350.0,8.2,VNINDEX,8.3,8.2,950.0,7.81,66.0,POW,14:23:01,2020-03-13
23,stock,32908000000.0,4167400.0,8.2,VNINDEX,8.3,8.2,50.0,7.81,66.0,POW,14:22:59,2020-03-13
24,stock,32906999999.999996,4167350.0,8.12,VNINDEX,8.3,8.12,5000.0,7.81,66.0,POW,14:22:53,2020-03-13
25,stock,32866999999.999996,4162350.0,8.12,VNINDEX,8.3,8.12,15000.0,7.81,66.0,POW,14:22:52,2020-03-13
26,stock,32744000000.0,4147350.0,8.2,VNINDEX,8.3,8.2,16500.0,7.81,66.0,POW,14:22:39,2020-03-13
27,stock,32609000000.0,4130850.0,8.2,VNINDEX,8.3,8.2,5730.0,7.81,66.0,POW,14:22:35,2020-03-13
28,stock,32561999999.999996,4125120.0,8.21,VNINDEX,8.3,8.21,1000.0,7.81,66.0,POW,14:22:26,2020-03-13
29,stock,32554000000.000004,4124120.0,8.21,VNINDEX,8.3,8.21,1000.0,7.81,66.0,POW,14:22:11,2020-03-13
30,stock,32546000000.0,4123120.0,8.2,VNINDEX,8.3,8.2,300.0,7.81,66.0,POW,14:22:10,2020-03-13
31,stock,32543000000.0,4122820.0,8.2,VNINDEX,8.3,8.2,8400.0,7.81,66.0,POW,14:21:47,2020-03-13
32,stock,32473999999.999996,4114420.0,8.21,VNINDEX,8.3,8.21,10000.0,7.81,66.0,POW,14:21:28,2020-03-13
33,stock,32392000000.000004,4104420.0,8.25,VNINDEX,8.3,8.25,200.0,7.81,66.0,POW,14:21:23,2020-03-13
34,stock,32391000000.0,4104220.0,8.25,VNINDEX,8.3,8.25,100.0,7.81,66.0,POW,14:20:48,2020-03-13
35,stock,32390000000.0,4104120.0,8.25,VNINDEX,8.3,8.25,200.0,7.81,66.0,POW,14:20:23,2020-03-13
36,stock,32388000000.0,4103920.0,8.21,VNINDEX,8.3,8.21,160.0,7.81,66.0,POW,14:19:54,2020-03-13
37,stock,32387000000.0,4103760.0,8.25,VNINDEX,8.3,8.25,2000.0,7.81,66.0,POW,14:19:19,2020-03-13
38,stock,32369999999.999996,4101760.0,8.25,VNINDEX,8.3,8.25,2000.0,7.81,66.0,POW,14:19:15,2020-03-13
39,stock,32354000000.0,4099760.0,8.21,VNINDEX,8.3,8.21,1500.0,7.81,66.0,POW,14:19:03,2020-03-13
40,stock,32341000000.0,4098260.0,8.26,VNINDEX,8.3,8.26,20.0,7.81,66.0,POW,14:17:46,2020-03-13
41,stock,32341000000.0,4098240.0,8.2,VNINDEX,8.3,8.2,200.0,7.81,66.0,POW,14:17:32,2020-03-13
42,stock,32340000000.000004,4098040.0,8.2,VNINDEX,8.3,8.2,2630.0,7.81,66.0,POW,14:17:21,2020-03-13
43,stock,32317999999.999996,4095410.0,8.26,VNINDEX,8.3,8.26,10000.0,7.81,66.0,POW,14:16:47,2020-03-13
44,stock,32235999999.999996,4085410.0,8.2,VNINDEX,8.3,8.2,1000.0,7.81,66.0,POW,14:16:22,2020-03-13
45,stock,32226999999.999996,4084410.0,8.25,VNINDEX,8.3,8.25,100.0,7.81,66.0,POW,14:16:13,2020-03-13
46,stock,32226000000.0,4084310.0,8.21,VNINDEX,8.3,8.21,2000.0,7.81,66.0,POW,14:16:08,2020-03-13
47,stock,32210000000.0,4082310.0,8.25,VNINDEX,8.3,8.25,100.0,7.81,66.0,POW,14:15:51,2020-03-13
48,stock,32209000000.000004,4082210.0,8.27,VNINDEX,8.3,8.27,9480.0,7.81,66.0,POW,14:14:48,2020-03-13
49,stock,32131000000.0,4072730.0,8.2,VNINDEX,8.3,8.2,10.0,7.81,66.0,POW,14:14:23,2020-03-13
50,stock,32131000000.0,4072720.0,8.12,VNINDEX,8.3,8.12,400.0,7.81,66.0,POW,14:13:06,2020-03-13
51,stock,32128000000.0,4072320.0,8.11,VNINDEX,8.3,8.11,7890.0,7.81,66.0,POW,14:12:16,2020-03-13
52,stock,32063000000.000004,4064430.0,8.28,VNINDEX,8.3,8.28,100.0,7.81,66.0,POW,14:11:57,2020-03-13
