,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate,Type,id
0,stock,36561000000.0,1340020.0,28.2,VNINDEX,28.7,28.2,57700.0,26.25,2735.0,REE,14:46:20,2020-03-13,,
1,stock,34933000000.0,1282320.0,28.4,VNINDEX,28.7,28.4,50.0,26.25,2735.0,REE,14:29:59,2020-03-13,,
2,stock,34932000000.0,1282270.0,28.35,VNINDEX,28.7,28.35,2000.0,26.25,2735.0,REE,14:29:51,2020-03-13,,
3,stock,34875000000.0,1280270.0,28.4,VNINDEX,28.7,28.4,910.0,26.25,2735.0,REE,14:29:28,2020-03-13,,
4,stock,34849000000.0,1279360.0,28.4,VNINDEX,28.7,28.4,300.0,26.25,2735.0,REE,14:29:27,2020-03-13,,
5,stock,34841000000.0,1279060.0,28.4,VNINDEX,28.7,28.4,50.0,26.25,2735.0,REE,14:29:16,2020-03-13,,
6,stock,34839000000.0,1279010.0,28.4,VNINDEX,28.7,28.4,300.0,26.25,2735.0,REE,14:29:03,2020-03-13,,
7,stock,34831000000.0,1278710.0,28.4,VNINDEX,28.7,28.4,10.0,26.25,2735.0,REE,14:28:13,2020-03-13,,
8,stock,34831000000.0,1278700.0,28.4,VNINDEX,28.7,28.4,1330.0,26.25,2735.0,REE,14:27:27,2020-03-13,,
9,stock,34793000000.0,1277370.0,28.35,VNINDEX,28.7,28.35,20.0,26.25,2735.0,REE,14:27:27,2020-03-13,,
10,stock,34792000000.0,1277350.0,28.35,VNINDEX,28.7,28.35,1770.0,26.25,2735.0,REE,14:27:03,2020-03-13,,
11,stock,34742000000.0,1275580.0,28.4,VNINDEX,28.7,28.4,1640.0,26.25,2735.0,REE,14:26:57,2020-03-13,,
12,stock,34696000000.0,1273940.0,28.35,VNINDEX,28.7,28.35,2000.0,26.25,2735.0,REE,14:26:54,2020-03-13,,
13,stock,34639000000.0,1271940.0,28.35,VNINDEX,28.7,28.35,370.0,26.25,2735.0,REE,14:26:21,2020-03-13,,
14,stock,34628000000.0,1271570.0,28.35,VNINDEX,28.7,28.35,4630.0,26.25,2735.0,REE,14:26:18,2020-03-13,,
15,stock,34497000000.0,1266940.0,28.35,VNINDEX,28.7,28.35,5000.0,26.25,2735.0,REE,14:26:06,2020-03-13,,
16,stock,34354999999.999996,1261940.0,28.35,VNINDEX,28.7,28.35,4000.0,26.25,2735.0,REE,14:25:05,2020-03-13,,
17,stock,34241999999.999996,1257940.0,28.4,VNINDEX,28.7,28.4,500.0,26.25,2735.0,REE,14:24:55,2020-03-13,,
18,stock,34228000000.0,1257440.0,28.35,VNINDEX,28.7,28.35,2000.0,26.25,2735.0,REE,14:23:59,2020-03-13,,
19,stock,34171000000.0,1255440.0,28.4,VNINDEX,28.7,28.4,1000.0,26.25,2735.0,REE,14:23:41,2020-03-13,,
20,stock,34143000000.0,1254440.0,28.35,VNINDEX,28.7,28.35,1000.0,26.25,2735.0,REE,14:23:23,2020-03-13,,
21,stock,34113999999.999996,1253440.0,28.35,VNINDEX,28.7,28.35,2000.0,26.25,2735.0,REE,14:23:05,2020-03-13,,
22,stock,34058000000.0,1251440.0,28.4,VNINDEX,28.7,28.4,100.0,26.25,2735.0,REE,14:22:42,2020-03-13,,
23,stock,34055000000.0,1251340.0,28.4,VNINDEX,28.7,28.4,50.0,26.25,2735.0,REE,14:22:26,2020-03-13,,
24,stock,34052999999.999996,1251290.0,28.4,VNINDEX,28.7,28.4,310.0,26.25,2735.0,REE,14:22:25,2020-03-13,,
25,stock,34043999999.999996,1250980.0,28.4,VNINDEX,28.7,28.4,3000.0,26.25,2735.0,REE,14:22:03,2020-03-13,,
26,stock,33959000000.000004,1247980.0,28.4,VNINDEX,28.7,28.4,600.0,26.25,2735.0,REE,14:21:43,2020-03-13,,
27,stock,33942000000.0,1247380.0,28.4,VNINDEX,28.7,28.4,400.0,26.25,2735.0,REE,14:21:42,2020-03-13,,
28,stock,33930999999.999996,1246980.0,28.4,VNINDEX,28.7,28.4,90.0,26.25,2735.0,REE,14:21:30,2020-03-13,,
29,stock,33927999999.999996,1246890.0,28.4,VNINDEX,28.7,28.4,2000.0,26.25,2735.0,REE,14:21:29,2020-03-13,,
30,stock,33872000000.0,1244890.0,28.4,VNINDEX,28.7,28.4,10.0,26.25,2735.0,REE,14:20:51,2020-03-13,,
