,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate,Type,id
0,stock,7917000000.0,54560.0,144.0,VNINDEX,153.0,144.0,3160.0,138.0,2947.0,SAB,14:46:22,2020-03-13,,
1,stock,7462000000.0,51400.0,148.0,VNINDEX,153.0,148.0,10.0,138.0,2947.0,SAB,14:29:08,2020-03-13,,
2,stock,7460000000.0,51390.0,145.0,VNINDEX,153.0,145.0,10.0,138.0,2947.0,SAB,14:29:02,2020-03-13,,
3,stock,7459000000.0,51380.0,144.2,VNINDEX,153.0,144.2,90.0,138.0,2947.0,SAB,14:27:52,2020-03-13,,
4,stock,7446000000.0,51290.0,144.1,VNINDEX,153.0,144.1,2000.0,138.0,2947.0,SAB,14:27:24,2020-03-13,,
5,stock,7157000000.0,49290.0,145.0,VNINDEX,153.0,145.0,450.0,138.0,2947.0,SAB,14:27:04,2020-03-13,,
6,stock,7092000000.0,48840.0,144.8,VNINDEX,153.0,144.8,90.0,138.0,2947.0,SAB,14:25:47,2020-03-13,,
7,stock,7078000000.0,48750.0,145.0,VNINDEX,153.0,145.0,100.0,138.0,2947.0,SAB,14:25:38,2020-03-13,,
8,stock,7064000000.0,48650.0,148.0,VNINDEX,153.0,148.0,20.0,138.0,2947.0,SAB,14:24:07,2020-03-13,,
9,stock,7061000000.0,48630.0,145.0,VNINDEX,153.0,145.0,490.0,138.0,2947.0,SAB,14:23:44,2020-03-13,,
10,stock,6990000000.0,48140.0,145.0,VNINDEX,153.0,145.0,90.0,138.0,2947.0,SAB,14:23:43,2020-03-13,,
11,stock,6977000000.0,48050.0,148.0,VNINDEX,153.0,148.0,10.0,138.0,2947.0,SAB,14:22:52,2020-03-13,,
12,stock,6975000000.0,48040.0,145.0,VNINDEX,153.0,145.0,400.0,138.0,2947.0,SAB,14:22:33,2020-03-13,,
