,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,46033000000.0,2893260.0,15.9,VNINDEX,16.85,15.9,12290.0,15.9,2923.0,SBT,14:46:21,2020-03-13
1,stock,45837000000.0,2880970.0,15.9,VNINDEX,16.85,15.9,200.0,15.9,2923.0,SBT,14:29:14,2020-03-13
2,stock,45834000000.0,2880770.0,15.9,VNINDEX,16.85,15.9,1940.0,15.9,2923.0,SBT,14:28:04,2020-03-13
3,stock,45803000000.0,2878830.0,15.9,VNINDEX,16.85,15.9,50.0,15.9,2923.0,SBT,14:28:00,2020-03-13
4,stock,45802000000.0,2878780.0,15.9,VNINDEX,16.85,15.9,1000.0,15.9,2923.0,SBT,14:25:46,2020-03-13
5,stock,45787000000.0,2877780.0,15.9,VNINDEX,16.85,15.9,10.0,15.9,2923.0,SBT,14:25:36,2020-03-13
6,stock,45786000000.0,2877770.0,15.9,VNINDEX,16.85,15.9,10000.0,15.9,2923.0,SBT,14:25:01,2020-03-13
7,stock,45627000000.0,2867770.0,15.9,VNINDEX,16.85,15.9,40.0,15.9,2923.0,SBT,14:24:57,2020-03-13
8,stock,45627000000.0,2867730.0,15.9,VNINDEX,16.85,15.9,10.0,15.9,2923.0,SBT,14:23:42,2020-03-13
9,stock,45627000000.0,2867720.0,15.9,VNINDEX,16.85,15.9,10000.0,15.9,2923.0,SBT,14:23:21,2020-03-13
10,stock,45468000000.0,2857720.0,15.9,VNINDEX,16.85,15.9,10.0,15.9,2923.0,SBT,14:23:12,2020-03-13
11,stock,45467000000.0,2857710.0,15.9,VNINDEX,16.85,15.9,500.0,15.9,2923.0,SBT,14:20:39,2020-03-13
12,stock,45459000000.0,2857210.0,15.9,VNINDEX,16.85,15.9,10.0,15.9,2923.0,SBT,14:15:42,2020-03-13
13,stock,45459000000.0,2857200.0,15.9,VNINDEX,16.85,15.9,200.0,15.9,2923.0,SBT,14:12:03,2020-03-13
14,stock,45456000000.0,2857000.0,15.9,VNINDEX,16.85,15.9,10.0,15.9,2923.0,SBT,14:11:00,2020-03-13
15,stock,45456000000.0,2856990.0,15.9,VNINDEX,16.85,15.9,6000.0,15.9,2923.0,SBT,14:09:20,2020-03-13
16,stock,45361000000.0,2850990.0,15.9,VNINDEX,16.85,15.9,500.0,15.9,2923.0,SBT,14:09:11,2020-03-13
17,stock,45353000000.0,2850490.0,15.9,VNINDEX,16.85,15.9,20.0,15.9,2923.0,SBT,14:08:26,2020-03-13
18,stock,45352000000.0,2850470.0,15.9,VNINDEX,16.85,15.9,1200.0,15.9,2923.0,SBT,14:07:57,2020-03-13
