,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,58530000000.0,4484960.0,13.3,VNINDEX,13.75,13.3,284850.0,12.7,2920.0,SSI,14:46:21,2020-03-13
1,stock,54742000000.0,4200110.0,13.2,VNINDEX,13.75,13.2,5000.0,12.7,2920.0,SSI,14:29:58,2020-03-13
2,stock,54676000000.0,4195110.0,13.2,VNINDEX,13.75,13.2,50.0,12.7,2920.0,SSI,14:29:47,2020-03-13
3,stock,54675000000.0,4195060.0,13.2,VNINDEX,13.75,13.2,1000.0,12.7,2920.0,SSI,14:29:35,2020-03-13
4,stock,54662000000.0,4194060.0,13.15,VNINDEX,13.75,13.15,15750.0,12.7,2920.0,SSI,14:28:55,2020-03-13
5,stock,54455000000.0,4178310.0,13.2,VNINDEX,13.75,13.2,5000.0,12.7,2920.0,SSI,14:28:32,2020-03-13
6,stock,54389000000.0,4173310.0,13.2,VNINDEX,13.75,13.2,1020.0,12.7,2920.0,SSI,14:28:31,2020-03-13
7,stock,54375000000.0,4172290.0,13.25,VNINDEX,13.75,13.25,200.0,12.7,2920.0,SSI,14:28:25,2020-03-13
8,stock,54373000000.0,4172090.0,13.2,VNINDEX,13.75,13.2,15000.0,12.7,2920.0,SSI,14:28:21,2020-03-13
9,stock,54175000000.0,4157090.0,13.25,VNINDEX,13.75,13.25,3000.0,12.7,2920.0,SSI,14:28:20,2020-03-13
10,stock,54135000000.0,4154090.0,13.25,VNINDEX,13.75,13.25,2000.0,12.7,2920.0,SSI,14:28:06,2020-03-13
11,stock,54108000000.0,4152090.0,13.25,VNINDEX,13.75,13.25,750.0,12.7,2920.0,SSI,14:27:50,2020-03-13
12,stock,54098000000.0,4151340.0,13.2,VNINDEX,13.75,13.2,10000.0,12.7,2920.0,SSI,14:27:44,2020-03-13
13,stock,53966000000.0,4141340.0,13.2,VNINDEX,13.75,13.2,10000.0,12.7,2920.0,SSI,14:27:24,2020-03-13
14,stock,53834000000.0,4131340.0,13.25,VNINDEX,13.75,13.25,500.0,12.7,2920.0,SSI,14:27:14,2020-03-13
15,stock,53828000000.0,4130840.0,13.25,VNINDEX,13.75,13.25,20.0,12.7,2920.0,SSI,14:27:10,2020-03-13
16,stock,53828000000.0,4130820.0,13.2,VNINDEX,13.75,13.2,4000.0,12.7,2920.0,SSI,14:26:54,2020-03-13
17,stock,53775000000.0,4126820.0,13.2,VNINDEX,13.75,13.2,10000.0,12.7,2920.0,SSI,14:26:50,2020-03-13
18,stock,53643000000.0,4116820.0,13.2,VNINDEX,13.75,13.2,10000.0,12.7,2920.0,SSI,14:26:32,2020-03-13
19,stock,53511000000.0,4106820.0,13.15,VNINDEX,13.75,13.15,10000.0,12.7,2920.0,SSI,14:25:54,2020-03-13
20,stock,53379000000.0,4096820.0,13.15,VNINDEX,13.75,13.15,9440.0,12.7,2920.0,SSI,14:25:42,2020-03-13
21,stock,53255000000.0,4087380.0,13.2,VNINDEX,13.75,13.2,4620.0,12.7,2920.0,SSI,14:25:29,2020-03-13
22,stock,53194000000.0,4082760.0,13.2,VNINDEX,13.75,13.2,700.0,12.7,2920.0,SSI,14:25:24,2020-03-13
23,stock,53184000000.0,4082060.0,13.2,VNINDEX,13.75,13.2,2000.0,12.7,2920.0,SSI,14:25:23,2020-03-13
24,stock,53158000000.0,4080060.0,13.2,VNINDEX,13.75,13.2,5000.0,12.7,2920.0,SSI,14:25:22,2020-03-13
25,stock,53092000000.0,4075060.0,13.2,VNINDEX,13.75,13.2,20000.0,12.7,2920.0,SSI,14:25:15,2020-03-13
26,stock,52828000000.0,4055060.0,13.2,VNINDEX,13.75,13.2,40.0,12.7,2920.0,SSI,14:25:06,2020-03-13
27,stock,52827000000.0,4055020.0,13.15,VNINDEX,13.75,13.15,10000.0,12.7,2920.0,SSI,14:24:57,2020-03-13
28,stock,52696000000.0,4045020.0,13.2,VNINDEX,13.75,13.2,500.0,12.7,2920.0,SSI,14:24:53,2020-03-13
29,stock,52689000000.0,4044520.0,13.2,VNINDEX,13.75,13.2,5000.0,12.7,2920.0,SSI,14:24:40,2020-03-13
30,stock,52623000000.0,4039520.0,13.2,VNINDEX,13.75,13.2,10000.0,12.7,2920.0,SSI,14:24:24,2020-03-13
31,stock,52491000000.0,4029520.0,13.15,VNINDEX,13.75,13.15,15000.0,12.7,2920.0,SSI,14:24:21,2020-03-13
32,stock,52031000000.0,3994520.0,13.2,VNINDEX,13.75,13.2,10000.0,12.7,2920.0,SSI,14:24:15,2020-03-13
33,stock,52294000000.0,4014520.0,13.15,VNINDEX,13.75,13.15,20000.0,12.7,2920.0,SSI,14:24:15,2020-03-13
34,stock,51899000000.0,3984520.0,13.15,VNINDEX,13.75,13.15,650.0,12.7,2920.0,SSI,14:24:15,2020-03-13
35,stock,51891000000.0,3983870.0,13.15,VNINDEX,13.75,13.15,20000.0,12.7,2920.0,SSI,14:24:03,2020-03-13
36,stock,51628000000.0,3963870.0,13.2,VNINDEX,13.75,13.2,10000.0,12.7,2920.0,SSI,14:23:52,2020-03-13
37,stock,51383000000.0,3945310.0,13.25,VNINDEX,13.75,13.25,50.0,12.7,2920.0,SSI,14:23:51,2020-03-13
38,stock,51496000000.0,3953870.0,13.2,VNINDEX,13.75,13.2,8560.0,12.7,2920.0,SSI,14:23:51,2020-03-13
39,stock,51382000000.0,3945260.0,13.2,VNINDEX,13.75,13.2,20000.0,12.7,2920.0,SSI,14:23:49,2020-03-13
40,stock,51118000000.0,3925260.0,13.2,VNINDEX,13.75,13.2,15000.0,12.7,2920.0,SSI,14:23:44,2020-03-13
41,stock,50920000000.0,3910260.0,13.25,VNINDEX,13.75,13.25,10.0,12.7,2920.0,SSI,14:23:42,2020-03-13
42,stock,50920000000.0,3910250.0,13.2,VNINDEX,13.75,13.2,15000.0,12.7,2920.0,SSI,14:23:41,2020-03-13
43,stock,50722000000.0,3895250.0,13.25,VNINDEX,13.75,13.25,5300.0,12.7,2920.0,SSI,14:23:36,2020-03-13
44,stock,50652000000.0,3889950.0,13.25,VNINDEX,13.75,13.25,15000.0,12.7,2920.0,SSI,14:23:33,2020-03-13
45,stock,50453000000.0,3874950.0,13.3,VNINDEX,13.75,13.3,3940.0,12.7,2920.0,SSI,14:23:30,2020-03-13
46,stock,50400000000.0,3871010.0,13.3,VNINDEX,13.75,13.3,25000.0,12.7,2920.0,SSI,14:23:23,2020-03-13
47,stock,50068000000.0,3846010.0,13.3,VNINDEX,13.75,13.3,20000.0,12.7,2920.0,SSI,14:23:18,2020-03-13
48,stock,49802000000.0,3826010.0,13.3,VNINDEX,13.75,13.3,20000.0,12.7,2920.0,SSI,14:23:16,2020-03-13
49,stock,49536000000.0,3806010.0,13.35,VNINDEX,13.75,13.35,2000.0,12.7,2920.0,SSI,14:22:31,2020-03-13
50,stock,49509000000.0,3804010.0,13.3,VNINDEX,13.75,13.3,5260.0,12.7,2920.0,SSI,14:22:23,2020-03-13
51,stock,49437000000.0,3798550.0,13.3,VNINDEX,13.75,13.3,2500.0,12.7,2920.0,SSI,14:21:49,2020-03-13
52,stock,49439000000.0,3798750.0,13.3,VNINDEX,13.75,13.3,200.0,12.7,2920.0,SSI,14:21:49,2020-03-13
53,stock,49402000000.0,3795950.0,13.3,VNINDEX,13.75,13.3,1990.0,12.7,2920.0,SSI,14:21:37,2020-03-13
54,stock,49403000000.0,3796050.0,13.3,VNINDEX,13.75,13.3,100.0,12.7,2920.0,SSI,14:21:37,2020-03-13
55,stock,49375000000.0,3793960.0,13.35,VNINDEX,13.75,13.35,100.0,12.7,2920.0,SSI,14:21:33,2020-03-13
56,stock,49374000000.0,3793860.0,13.35,VNINDEX,13.75,13.35,10.0,12.7,2920.0,SSI,14:21:26,2020-03-13
57,stock,49374000000.0,3793850.0,13.3,VNINDEX,13.75,13.3,3510.0,12.7,2920.0,SSI,14:21:00,2020-03-13
58,stock,49327000000.0,3790340.0,13.3,VNINDEX,13.75,13.3,20000.0,12.7,2920.0,SSI,14:20:55,2020-03-13
59,stock,49061000000.0,3770340.0,13.3,VNINDEX,13.75,13.3,5000.0,12.7,2920.0,SSI,14:20:34,2020-03-13
60,stock,48995000000.0,3765340.0,13.2,VNINDEX,13.75,13.2,15000.0,12.7,2920.0,SSI,14:20:32,2020-03-13
61,stock,48797000000.0,3750340.0,13.2,VNINDEX,13.75,13.2,6030.0,12.7,2920.0,SSI,14:20:22,2020-03-13
62,stock,48717000000.0,3744310.0,13.3,VNINDEX,13.75,13.3,6460.0,12.7,2920.0,SSI,14:20:12,2020-03-13
