,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,75200000000.0,4332700.0,18.25,VNINDEX,18.55,18.25,80970.0,16.7,32.0,TCB,14:46:25,2020-03-13
1,stock,73722000000.0,4251730.0,18.2,VNINDEX,18.55,18.2,20.0,16.7,32.0,TCB,14:29:51,2020-03-13
2,stock,73722000000.0,4251710.0,18.2,VNINDEX,18.55,18.2,500.0,16.7,32.0,TCB,14:29:28,2020-03-13
3,stock,73713000000.0,4251210.0,18.2,VNINDEX,18.55,18.2,100.0,16.7,32.0,TCB,14:29:27,2020-03-13
4,stock,73711000000.0,4251110.0,18.2,VNINDEX,18.55,18.2,110.0,16.7,32.0,TCB,14:29:20,2020-03-13
5,stock,73709000000.0,4251000.0,18.2,VNINDEX,18.55,18.2,10.0,16.7,32.0,TCB,14:28:56,2020-03-13
6,stock,73709000000.0,4250990.0,18.2,VNINDEX,18.55,18.2,9100.0,16.7,32.0,TCB,14:28:51,2020-03-13
7,stock,73543000000.0,4241890.0,18.2,VNINDEX,18.55,18.2,8600.0,16.7,32.0,TCB,14:28:48,2020-03-13
8,stock,73387000000.0,4233290.0,18.25,VNINDEX,18.55,18.25,10.0,16.7,32.0,TCB,14:28:47,2020-03-13
9,stock,73386000000.0,4233280.0,18.2,VNINDEX,18.55,18.2,2000.0,16.7,32.0,TCB,14:28:34,2020-03-13
10,stock,73350000000.0,4231280.0,18.25,VNINDEX,18.55,18.25,10.0,16.7,32.0,TCB,14:28:33,2020-03-13
11,stock,73350000000.0,4231270.0,18.2,VNINDEX,18.55,18.2,20000.0,16.7,32.0,TCB,14:28:22,2020-03-13
12,stock,72986000000.0,4211270.0,18.25,VNINDEX,18.55,18.25,10.0,16.7,32.0,TCB,14:28:21,2020-03-13
13,stock,72986000000.0,4211260.0,18.2,VNINDEX,18.55,18.2,10000.0,16.7,32.0,TCB,14:28:15,2020-03-13
14,stock,72804000000.0,4201260.0,18.2,VNINDEX,18.55,18.2,200.0,16.7,32.0,TCB,14:28:12,2020-03-13
15,stock,72800000000.0,4201060.0,18.3,VNINDEX,18.55,18.3,2000.0,16.7,32.0,TCB,14:27:05,2020-03-13
16,stock,72763000000.0,4199060.0,18.3,VNINDEX,18.55,18.3,6100.0,16.7,32.0,TCB,14:26:57,2020-03-13
17,stock,72652000000.0,4192960.0,18.25,VNINDEX,18.55,18.25,20000.0,16.7,32.0,TCB,14:26:53,2020-03-13
18,stock,72287000000.0,4172960.0,18.25,VNINDEX,18.55,18.25,490.0,16.7,32.0,TCB,14:26:51,2020-03-13
19,stock,72278000000.0,4172470.0,18.25,VNINDEX,18.55,18.25,7130.0,16.7,32.0,TCB,14:26:45,2020-03-13
20,stock,72148000000.0,4165340.0,18.3,VNINDEX,18.55,18.3,5000.0,16.7,32.0,TCB,14:26:38,2020-03-13
21,stock,72056000000.0,4160340.0,18.25,VNINDEX,18.55,18.25,1000.0,16.7,32.0,TCB,14:26:14,2020-03-13
22,stock,72038000000.0,4159340.0,18.3,VNINDEX,18.55,18.3,5000.0,16.7,32.0,TCB,14:26:09,2020-03-13
23,stock,71946000000.0,4154340.0,18.25,VNINDEX,18.55,18.25,50.0,16.7,32.0,TCB,14:26:06,2020-03-13
24,stock,71946000000.0,4154290.0,18.3,VNINDEX,18.55,18.3,10.0,16.7,32.0,TCB,14:26:03,2020-03-13
25,stock,71945000000.0,4154280.0,18.25,VNINDEX,18.55,18.25,20000.0,16.7,32.0,TCB,14:25:49,2020-03-13
26,stock,71579000000.0,4134280.0,18.3,VNINDEX,18.55,18.3,31550.0,16.7,32.0,TCB,14:25:46,2020-03-13
27,stock,71002000000.0,4102730.0,18.3,VNINDEX,18.55,18.3,30.0,16.7,32.0,TCB,14:25:36,2020-03-13
28,stock,71002000000.0,4102700.0,18.3,VNINDEX,18.55,18.3,10.0,16.7,32.0,TCB,14:25:35,2020-03-13
29,stock,71001000000.0,4102690.0,18.3,VNINDEX,18.55,18.3,60.0,16.7,32.0,TCB,14:25:33,2020-03-13
30,stock,71000000000.0,4102630.0,18.3,VNINDEX,18.55,18.3,10.0,16.7,32.0,TCB,14:25:32,2020-03-13
31,stock,71000000000.0,4102620.0,18.25,VNINDEX,18.55,18.25,1500.0,16.7,32.0,TCB,14:25:25,2020-03-13
32,stock,70973000000.0,4101120.0,18.25,VNINDEX,18.55,18.25,2000.0,16.7,32.0,TCB,14:25:23,2020-03-13
33,stock,70936000000.0,4099120.0,18.3,VNINDEX,18.55,18.3,3000.0,16.7,32.0,TCB,14:25:23,2020-03-13
34,stock,70881000000.0,4096120.0,18.3,VNINDEX,18.55,18.3,100.0,16.7,32.0,TCB,14:25:20,2020-03-13
35,stock,70879000000.0,4096020.0,18.3,VNINDEX,18.55,18.3,10000.0,16.7,32.0,TCB,14:24:32,2020-03-13
36,stock,70696000000.0,4086020.0,18.3,VNINDEX,18.55,18.3,10.0,16.7,32.0,TCB,14:24:27,2020-03-13
37,stock,70696000000.0,4086010.0,18.3,VNINDEX,18.55,18.3,20.0,16.7,32.0,TCB,14:24:19,2020-03-13
38,stock,70696000000.0,4085990.0,18.25,VNINDEX,18.55,18.25,500.0,16.7,32.0,TCB,14:24:15,2020-03-13
39,stock,70687000000.0,4085490.0,18.3,VNINDEX,18.55,18.3,10.0,16.7,32.0,TCB,14:24:07,2020-03-13
40,stock,70687000000.0,4085480.0,18.25,VNINDEX,18.55,18.25,1000.0,16.7,32.0,TCB,14:24:02,2020-03-13
41,stock,70668000000.0,4084480.0,18.25,VNINDEX,18.55,18.25,4860.0,16.7,32.0,TCB,14:23:58,2020-03-13
42,stock,70580000000.0,4079620.0,18.25,VNINDEX,18.55,18.25,1000.0,16.7,32.0,TCB,14:23:54,2020-03-13
43,stock,70561000000.0,4078620.0,18.25,VNINDEX,18.55,18.25,9470.0,16.7,32.0,TCB,14:23:40,2020-03-13
44,stock,70389000000.0,4069150.0,18.25,VNINDEX,18.55,18.25,8670.0,16.7,32.0,TCB,14:23:38,2020-03-13
45,stock,70230000000.0,4060480.0,18.3,VNINDEX,18.55,18.3,1500.0,16.7,32.0,TCB,14:23:33,2020-03-13
46,stock,70203000000.0,4058980.0,18.3,VNINDEX,18.55,18.3,20.0,16.7,32.0,TCB,14:23:18,2020-03-13
47,stock,70203000000.0,4058960.0,18.3,VNINDEX,18.55,18.3,500.0,16.7,32.0,TCB,14:23:15,2020-03-13
48,stock,70193000000.0,4058460.0,18.3,VNINDEX,18.55,18.3,20.0,16.7,32.0,TCB,14:22:53,2020-03-13
49,stock,70193000000.0,4058440.0,18.25,VNINDEX,18.55,18.25,500.0,16.7,32.0,TCB,14:22:49,2020-03-13
50,stock,70184000000.0,4057940.0,18.25,VNINDEX,18.55,18.25,930.0,16.7,32.0,TCB,14:22:47,2020-03-13
51,stock,70167000000.0,4057010.0,18.25,VNINDEX,18.55,18.25,100.0,16.7,32.0,TCB,14:22:31,2020-03-13
52,stock,70129000000.0,4054910.0,18.25,VNINDEX,18.55,18.25,10.0,16.7,32.0,TCB,14:22:15,2020-03-13
53,stock,70165000000.0,4056910.0,18.25,VNINDEX,18.55,18.25,2000.0,16.7,32.0,TCB,14:22:15,2020-03-13
54,stock,70128000000.0,4054900.0,18.2,VNINDEX,18.55,18.2,6000.0,16.7,32.0,TCB,14:22:09,2020-03-13
55,stock,70019000000.0,4048900.0,18.2,VNINDEX,18.55,18.2,6000.0,16.7,32.0,TCB,14:22:07,2020-03-13
56,stock,69910000000.0,4042900.0,18.25,VNINDEX,18.55,18.25,960.0,16.7,32.0,TCB,14:21:55,2020-03-13
57,stock,69893000000.0,4041940.0,18.25,VNINDEX,18.55,18.25,9040.0,16.7,32.0,TCB,14:21:37,2020-03-13
58,stock,69728000000.0,4032900.0,18.25,VNINDEX,18.55,18.25,10.0,16.7,32.0,TCB,14:21:24,2020-03-13
59,stock,69727000000.0,4032890.0,18.25,VNINDEX,18.55,18.25,10950.0,16.7,32.0,TCB,14:21:16,2020-03-13
60,stock,69527000000.0,4021940.0,18.3,VNINDEX,18.55,18.3,120.0,16.7,32.0,TCB,14:21:11,2020-03-13
61,stock,69525000000.0,4021820.0,18.3,VNINDEX,18.55,18.3,7650.0,16.7,32.0,TCB,14:21:08,2020-03-13
62,stock,69385000000.0,4014170.0,18.3,VNINDEX,18.55,18.3,60.0,16.7,32.0,TCB,14:21:07,2020-03-13
63,stock,69384000000.0,4014110.0,18.3,VNINDEX,18.55,18.3,10.0,16.7,32.0,TCB,14:20:57,2020-03-13
64,stock,69384000000.0,4014100.0,18.25,VNINDEX,18.55,18.25,1000.0,16.7,32.0,TCB,14:20:55,2020-03-13
65,stock,69366000000.0,4013100.0,18.25,VNINDEX,18.55,18.25,20000.0,16.7,32.0,TCB,14:20:53,2020-03-13
66,stock,69001000000.0,3993100.0,18.3,VNINDEX,18.55,18.3,30000.0,16.7,32.0,TCB,14:20:53,2020-03-13
67,stock,68452000000.0,3963100.0,18.3,VNINDEX,18.55,18.3,10.0,16.7,32.0,TCB,14:20:51,2020-03-13
68,stock,68450999999.99999,3963090.0,18.25,VNINDEX,18.55,18.25,15160.0,16.7,32.0,TCB,14:20:49,2020-03-13
69,stock,68175000000.0,3947930.0,18.3,VNINDEX,18.55,18.3,1000.0,16.7,32.0,TCB,14:20:41,2020-03-13
70,stock,68157000000.0,3946930.0,18.25,VNINDEX,18.55,18.25,10.0,16.7,32.0,TCB,14:20:40,2020-03-13
71,stock,68156000000.00001,3946920.0,18.3,VNINDEX,18.55,18.3,10000.0,16.7,32.0,TCB,14:20:31,2020-03-13
72,stock,67879000000.00001,3931760.0,18.3,VNINDEX,18.55,18.3,40.0,16.7,32.0,TCB,14:20:24,2020-03-13
73,stock,67973000000.0,3936920.0,18.25,VNINDEX,18.55,18.25,5160.0,16.7,32.0,TCB,14:20:24,2020-03-13
74,stock,67878000000.0,3931720.0,18.3,VNINDEX,18.55,18.3,10.0,16.7,32.0,TCB,14:20:21,2020-03-13
75,stock,67878000000.0,3931710.0,18.3,VNINDEX,18.55,18.3,110.0,16.7,32.0,TCB,14:20:13,2020-03-13
76,stock,67876000000.00001,3931600.0,18.3,VNINDEX,18.55,18.3,20.0,16.7,32.0,TCB,14:20:08,2020-03-13
77,stock,67876000000.00001,3931580.0,18.3,VNINDEX,18.55,18.3,10000.0,16.7,32.0,TCB,14:20:06,2020-03-13
78,stock,67693000000.0,3921580.0,18.3,VNINDEX,18.55,18.3,2000.0,16.7,32.0,TCB,14:20:04,2020-03-13
79,stock,67656000000.00001,3919580.0,18.3,VNINDEX,18.55,18.3,6960.0,16.7,32.0,TCB,14:19:52,2020-03-13
80,stock,67529000000.0,3912620.0,18.35,VNINDEX,18.55,18.35,500.0,16.7,32.0,TCB,14:19:42,2020-03-13
81,stock,67519999999.99999,3912120.0,18.35,VNINDEX,18.55,18.35,200.0,16.7,32.0,TCB,14:19:39,2020-03-13
82,stock,67516000000.00001,3911920.0,18.35,VNINDEX,18.55,18.35,50.0,16.7,32.0,TCB,14:19:36,2020-03-13
83,stock,67515000000.0,3911870.0,18.35,VNINDEX,18.55,18.35,100.0,16.7,32.0,TCB,14:19:23,2020-03-13
84,stock,67513000000.00001,3911770.0,18.35,VNINDEX,18.55,18.35,10.0,16.7,32.0,TCB,14:19:20,2020-03-13
85,stock,67513000000.00001,3911760.0,18.3,VNINDEX,18.55,18.3,500.0,16.7,32.0,TCB,14:19:13,2020-03-13
86,stock,67504000000.00001,3911260.0,18.35,VNINDEX,18.55,18.35,10.0,16.7,32.0,TCB,14:18:50,2020-03-13
87,stock,67504000000.00001,3911250.0,18.35,VNINDEX,18.55,18.35,2000.0,16.7,32.0,TCB,14:18:49,2020-03-13
88,stock,67467000000.0,3909250.0,18.3,VNINDEX,18.55,18.3,1000.0,16.7,32.0,TCB,14:18:41,2020-03-13
89,stock,67449000000.0,3908250.0,18.3,VNINDEX,18.55,18.3,5000.0,16.7,32.0,TCB,14:18:37,2020-03-13
90,stock,67357000000.0,3903250.0,18.3,VNINDEX,18.55,18.3,10.0,16.7,32.0,TCB,14:18:28,2020-03-13
91,stock,67357000000.0,3903240.0,18.4,VNINDEX,18.55,18.4,5000.0,16.7,32.0,TCB,14:18:20,2020-03-13
92,stock,67265000000.0,3898240.0,18.4,VNINDEX,18.55,18.4,10.0,16.7,32.0,TCB,14:18:15,2020-03-13
93,stock,67265000000.0,3898230.0,18.3,VNINDEX,18.55,18.3,5000.0,16.7,32.0,TCB,14:17:57,2020-03-13
94,stock,67174000000.00001,3893230.0,18.4,VNINDEX,18.55,18.4,50.0,16.7,32.0,TCB,14:17:51,2020-03-13
95,stock,67173000000.0,3893180.0,18.4,VNINDEX,18.55,18.4,2000.0,16.7,32.0,TCB,14:17:49,2020-03-13
96,stock,67135999999.99999,3891180.0,18.4,VNINDEX,18.55,18.4,20.0,16.7,32.0,TCB,14:17:43,2020-03-13
97,stock,67135000000.00001,3891160.0,18.4,VNINDEX,18.55,18.4,10.0,16.7,32.0,TCB,14:17:41,2020-03-13
98,stock,67135000000.00001,3891150.0,18.4,VNINDEX,18.55,18.4,2000.0,16.7,32.0,TCB,14:17:36,2020-03-13
99,stock,67098000000.0,3889150.0,18.4,VNINDEX,18.55,18.4,5000.0,16.7,32.0,TCB,14:17:35,2020-03-13
100,stock,67006000000.0,3884150.0,18.4,VNINDEX,18.55,18.4,1500.0,16.7,32.0,TCB,14:17:25,2020-03-13
101,stock,66979000000.0,3882650.0,18.45,VNINDEX,18.55,18.45,20.0,16.7,32.0,TCB,14:16:50,2020-03-13
102,stock,66977999999.99999,3882630.0,18.45,VNINDEX,18.55,18.45,200.0,16.7,32.0,TCB,14:16:48,2020-03-13
103,stock,66974999999.99999,3882430.0,18.45,VNINDEX,18.55,18.45,1230.0,16.7,32.0,TCB,14:16:47,2020-03-13
104,stock,66952000000.0,3881200.0,18.4,VNINDEX,18.55,18.4,1000.0,16.7,32.0,TCB,14:16:37,2020-03-13
105,stock,66934000000.0,3880200.0,18.45,VNINDEX,18.55,18.45,10000.0,16.7,32.0,TCB,14:15:33,2020-03-13
106,stock,66750000000.0,3870200.0,18.3,VNINDEX,18.55,18.3,1000.0,16.7,32.0,TCB,14:15:26,2020-03-13
107,stock,66730999999.99999,3869200.0,18.3,VNINDEX,18.55,18.3,10000.0,16.7,32.0,TCB,14:15:04,2020-03-13
108,stock,66548000000.0,3859200.0,18.3,VNINDEX,18.55,18.3,10.0,16.7,32.0,TCB,14:15:01,2020-03-13
109,stock,66548000000.0,3859190.0,18.25,VNINDEX,18.55,18.25,10.0,16.7,32.0,TCB,14:14:47,2020-03-13
110,stock,66548000000.0,3859180.0,18.25,VNINDEX,18.55,18.25,1000.0,16.7,32.0,TCB,14:14:41,2020-03-13
111,stock,66530000000.0,3858180.0,18.25,VNINDEX,18.55,18.25,1560.0,16.7,32.0,TCB,14:14:40,2020-03-13
112,stock,66501000000.00001,3856620.0,18.25,VNINDEX,18.55,18.25,300.0,16.7,32.0,TCB,14:14:38,2020-03-13
113,stock,66495999999.99999,3856320.0,18.25,VNINDEX,18.55,18.25,10.0,16.7,32.0,TCB,14:14:24,2020-03-13
114,stock,66495999999.99999,3856310.0,18.25,VNINDEX,18.55,18.25,10.0,16.7,32.0,TCB,14:14:23,2020-03-13
115,stock,66495000000.00001,3856300.0,18.2,VNINDEX,18.55,18.2,10.0,16.7,32.0,TCB,14:14:13,2020-03-13
116,stock,66495000000.00001,3856290.0,18.25,VNINDEX,18.55,18.25,10.0,16.7,32.0,TCB,14:14:07,2020-03-13
117,stock,66495000000.00001,3856280.0,18.2,VNINDEX,18.55,18.2,12140.0,16.7,32.0,TCB,14:13:56,2020-03-13
118,stock,66274000000.0,3844140.0,18.2,VNINDEX,18.55,18.2,10.0,16.7,32.0,TCB,14:13:30,2020-03-13
119,stock,66274000000.0,3844130.0,18.15,VNINDEX,18.55,18.15,10.0,16.7,32.0,TCB,14:13:20,2020-03-13
120,stock,66274000000.0,3844120.0,18.15,VNINDEX,18.55,18.15,1000.0,16.7,32.0,TCB,14:12:35,2020-03-13
121,stock,66256000000.0,3843120.0,18.15,VNINDEX,18.55,18.15,1600.0,16.7,32.0,TCB,14:11:54,2020-03-13
122,stock,66227000000.00001,3841520.0,18.15,VNINDEX,18.55,18.15,50.0,16.7,32.0,TCB,14:11:47,2020-03-13
123,stock,66226000000.0,3841470.0,18.1,VNINDEX,18.55,18.1,4810.0,16.7,32.0,TCB,14:11:06,2020-03-13
124,stock,66138999999.99999,3836660.0,18.1,VNINDEX,18.55,18.1,10.0,16.7,32.0,TCB,14:10:54,2020-03-13
125,stock,66138000000.00001,3836650.0,18.1,VNINDEX,18.55,18.1,180.0,16.7,32.0,TCB,14:10:48,2020-03-13
126,stock,66135000000.00001,3836470.0,18.1,VNINDEX,18.55,18.1,20.0,16.7,32.0,TCB,14:10:45,2020-03-13
127,stock,66135000000.00001,3836450.0,18.1,VNINDEX,18.55,18.1,10000.0,16.7,32.0,TCB,14:10:23,2020-03-13
128,stock,65953999999.99999,3826450.0,18.1,VNINDEX,18.55,18.1,10.0,16.7,32.0,TCB,14:10:01,2020-03-13
129,stock,65953999999.99999,3826440.0,18.0,VNINDEX,18.55,18.0,12650.0,16.7,32.0,TCB,14:09:18,2020-03-13
130,stock,65726000000.0,3813790.0,18.0,VNINDEX,18.55,18.0,500.0,16.7,32.0,TCB,14:08:54,2020-03-13
131,stock,65717000000.0,3813290.0,18.0,VNINDEX,18.55,18.0,100.0,16.7,32.0,TCB,14:08:51,2020-03-13
132,stock,65715000000.0,3813190.0,18.0,VNINDEX,18.55,18.0,2000.0,16.7,32.0,TCB,14:08:41,2020-03-13
133,stock,65679000000.0,3811190.0,18.0,VNINDEX,18.55,18.0,30.0,16.7,32.0,TCB,14:08:39,2020-03-13
134,stock,65679000000.0,3811160.0,18.0,VNINDEX,18.55,18.0,100.0,16.7,32.0,TCB,14:08:25,2020-03-13
135,stock,65677000000.00001,3811060.0,18.0,VNINDEX,18.55,18.0,10.0,16.7,32.0,TCB,14:08:19,2020-03-13
136,stock,65677000000.00001,3811050.0,17.95,VNINDEX,18.55,17.95,240.0,16.7,32.0,TCB,14:08:12,2020-03-13
137,stock,65672000000.0,3810810.0,17.95,VNINDEX,18.55,17.95,500.0,16.7,32.0,TCB,14:08:11,2020-03-13
138,stock,65663000000.0,3810310.0,18.0,VNINDEX,18.55,18.0,3000.0,16.7,32.0,TCB,14:08:05,2020-03-13
139,stock,65608999999.99999,3807310.0,18.0,VNINDEX,18.55,18.0,10320.0,16.7,32.0,TCB,14:08:00,2020-03-13
140,stock,65424000000.00001,3796990.0,18.0,VNINDEX,18.55,18.0,6290.0,16.7,32.0,TCB,14:07:47,2020-03-13
141,stock,65310000000.0,3790700.0,18.0,VNINDEX,18.55,18.0,5000.0,16.7,32.0,TCB,14:07:42,2020-03-13
142,stock,65220000000.0,3785700.0,18.0,VNINDEX,18.55,18.0,200.0,16.7,32.0,TCB,14:07:34,2020-03-13
143,stock,65217000000.0,3785500.0,18.1,VNINDEX,18.55,18.1,5160.0,16.7,32.0,TCB,14:07:32,2020-03-13
144,stock,65123000000.00001,3780340.0,18.0,VNINDEX,18.55,18.0,8890.0,16.7,32.0,TCB,14:07:30,2020-03-13
145,stock,64962999999.99999,3771450.0,18.0,VNINDEX,18.55,18.0,310.0,16.7,32.0,TCB,14:07:22,2020-03-13
146,stock,64958000000.0,3771140.0,18.1,VNINDEX,18.55,18.1,5160.0,16.7,32.0,TCB,14:07:19,2020-03-13
147,stock,64864000000.00001,3765980.0,18.0,VNINDEX,18.55,18.0,400.0,16.7,32.0,TCB,14:07:13,2020-03-13
148,stock,64857000000.0,3765580.0,18.0,VNINDEX,18.55,18.0,25090.0,16.7,32.0,TCB,14:07:08,2020-03-13
149,stock,64406000000.00001,3740490.0,18.0,VNINDEX,18.55,18.0,10.0,16.7,32.0,TCB,14:07:05,2020-03-13
150,stock,64405000000.0,3740480.0,18.0,VNINDEX,18.55,18.0,5160.0,16.7,32.0,TCB,14:07:01,2020-03-13
151,stock,64313000000.0,3735320.0,18.0,VNINDEX,18.55,18.0,5160.0,16.7,32.0,TCB,14:06:48,2020-03-13
152,stock,64220000000.0,3730160.0,18.0,VNINDEX,18.55,18.0,170.0,16.7,32.0,TCB,14:06:41,2020-03-13
153,stock,64217000000.0,3729990.0,18.0,VNINDEX,18.55,18.0,190.0,16.7,32.0,TCB,14:06:37,2020-03-13
154,stock,64212999999.99999,3729800.0,18.0,VNINDEX,18.55,18.0,5160.0,16.7,32.0,TCB,14:06:35,2020-03-13
155,stock,64120000000.00001,3724640.0,18.0,VNINDEX,18.55,18.0,5160.0,16.7,32.0,TCB,14:06:22,2020-03-13
