,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate,Type,id
0,stock,126615000000.0,1859750.0,71.0,VNINDEX,73.0,71.0,51940.0,66.7,3825.0,VCB,14:46:26,2020-03-13,,
1,stock,122927000000.0,1807810.0,71.5,VNINDEX,73.0,71.5,500.0,66.7,3825.0,VCB,14:29:49,2020-03-13,,
2,stock,122891000000.0,1807310.0,71.7,VNINDEX,73.0,71.7,1250.0,66.7,3825.0,VCB,14:29:48,2020-03-13,,
3,stock,122802000000.0,1806060.0,71.6,VNINDEX,73.0,71.6,300.0,66.7,3825.0,VCB,14:29:24,2020-03-13,,
4,stock,122780000000.0,1805760.0,71.6,VNINDEX,73.0,71.6,50.0,66.7,3825.0,VCB,14:29:21,2020-03-13,,
5,stock,122777000000.0,1805710.0,71.6,VNINDEX,73.0,71.6,10.0,66.7,3825.0,VCB,14:29:20,2020-03-13,,
6,stock,122776000000.0,1805700.0,71.5,VNINDEX,73.0,71.5,360.0,66.7,3825.0,VCB,14:29:12,2020-03-13,,
7,stock,122750000000.0,1805340.0,71.5,VNINDEX,73.0,71.5,1500.0,66.7,3825.0,VCB,14:29:09,2020-03-13,,
8,stock,122643000000.0,1803840.0,71.3,VNINDEX,73.0,71.3,20.0,66.7,3825.0,VCB,14:28:46,2020-03-13,,
9,stock,122642000000.0,1803820.0,71.5,VNINDEX,73.0,71.5,100.0,66.7,3825.0,VCB,14:28:27,2020-03-13,,
10,stock,122634000000.0,1803720.0,71.2,VNINDEX,73.0,71.2,200.0,66.7,3825.0,VCB,14:28:23,2020-03-13,,
11,stock,122620000000.0,1803520.0,71.5,VNINDEX,73.0,71.5,100.0,66.7,3825.0,VCB,14:27:57,2020-03-13,,
12,stock,122613000000.0,1803420.0,71.1,VNINDEX,73.0,71.1,200.0,66.7,3825.0,VCB,14:27:20,2020-03-13,,
13,stock,122599000000.0,1803220.0,71.1,VNINDEX,73.0,71.1,420.0,66.7,3825.0,VCB,14:26:52,2020-03-13,,
14,stock,122569000000.0,1802800.0,71.0,VNINDEX,73.0,71.0,160.0,66.7,3825.0,VCB,14:26:45,2020-03-13,,
15,stock,122558000000.0,1802640.0,71.0,VNINDEX,73.0,71.0,1460.0,66.7,3825.0,VCB,14:26:16,2020-03-13,,
16,stock,122454000000.0,1801180.0,71.1,VNINDEX,73.0,71.1,2780.0,66.7,3825.0,VCB,14:26:10,2020-03-13,,
17,stock,122256000000.0,1798400.0,71.5,VNINDEX,73.0,71.5,60.0,66.7,3825.0,VCB,14:26:04,2020-03-13,,
18,stock,122252000000.0,1798340.0,71.5,VNINDEX,73.0,71.5,40.0,66.7,3825.0,VCB,14:25:40,2020-03-13,,
19,stock,122249000000.0,1798300.0,71.5,VNINDEX,73.0,71.5,500.0,66.7,3825.0,VCB,14:25:39,2020-03-13,,
20,stock,122213000000.0,1797800.0,71.6,VNINDEX,73.0,71.6,30.0,66.7,3825.0,VCB,14:25:13,2020-03-13,,
21,stock,122211000000.0,1797770.0,71.6,VNINDEX,73.0,71.6,100.0,66.7,3825.0,VCB,14:24:55,2020-03-13,,
22,stock,122204000000.0,1797670.0,71.6,VNINDEX,73.0,71.6,10.0,66.7,3825.0,VCB,14:24:40,2020-03-13,,
23,stock,122203000000.0,1797660.0,71.5,VNINDEX,73.0,71.5,200.0,66.7,3825.0,VCB,14:24:39,2020-03-13,,
24,stock,122189000000.0,1797460.0,71.5,VNINDEX,73.0,71.5,1000.0,66.7,3825.0,VCB,14:24:16,2020-03-13,,
25,stock,122118000000.0,1796460.0,71.5,VNINDEX,73.0,71.5,390.0,66.7,3825.0,VCB,14:24:05,2020-03-13,,
26,stock,122090000000.0,1796070.0,71.7,VNINDEX,73.0,71.7,500.0,66.7,3825.0,VCB,14:24:04,2020-03-13,,
27,stock,122054000000.0,1795570.0,71.5,VNINDEX,73.0,71.5,900.0,66.7,3825.0,VCB,14:24:00,2020-03-13,,
28,stock,121990000000.0,1794670.0,71.7,VNINDEX,73.0,71.7,510.0,66.7,3825.0,VCB,14:23:59,2020-03-13,,
29,stock,121953000000.0,1794160.0,71.5,VNINDEX,73.0,71.5,500.0,66.7,3825.0,VCB,14:23:48,2020-03-13,,
30,stock,121917000000.0,1793660.0,71.7,VNINDEX,73.0,71.7,10.0,66.7,3825.0,VCB,14:23:38,2020-03-13,,
