,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,8206200000.000001,272200.0,30.3,UPCOM,31.0,30.3,4400.0,28.5,0,VEA,14:55:35,2020-03-13
1,stock,8072660000.000001,267800.0,30.5,UPCOM,31.0,30.5,500.0,28.5,0,VEA,14:55:12,2020-03-13
2,stock,8057410000.000001,267300.0,30.5,UPCOM,31.0,30.5,1000.0,28.5,0,VEA,14:51:11,2020-03-13
3,stock,8026910000.000001,266300.0,30.5,UPCOM,31.0,30.5,1000.0,28.5,0,VEA,14:51:06,2020-03-13
4,stock,7996410000.0,265300.0,30.5,UPCOM,31.0,30.5,700.0,28.5,0,VEA,14:51:04,2020-03-13
5,stock,7975060000.0,264600.0,30.5,UPCOM,31.0,30.5,1500.0,28.5,0,VEA,14:50:54,2020-03-13
6,stock,7929310000.0,263100.0,30.6,UPCOM,31.0,30.6,1500.0,28.5,0,VEA,14:47:49,2020-03-13
7,stock,7883410000.0,261600.0,30.5,UPCOM,31.0,30.5,5000.0,28.5,0,VEA,14:46:50,2020-03-13
8,stock,7730910000.0,256600.0,30.6,UPCOM,31.0,30.6,500.0,28.5,0,VEA,14:46:46,2020-03-13
9,stock,7715610000.0,256100.0,30.5,UPCOM,31.0,30.5,300.0,28.5,0,VEA,14:45:45,2020-03-13
10,stock,7706460000.0,255800.0,30.5,UPCOM,31.0,30.5,200.0,28.5,0,VEA,14:45:36,2020-03-13
11,stock,7700360000.0,255600.0,30.6,UPCOM,31.0,30.6,100.0,28.5,0,VEA,14:44:33,2020-03-13
12,stock,7697300000.0,255500.0,30.6,UPCOM,31.0,30.6,100.0,28.5,0,VEA,14:43:31,2020-03-13
13,stock,7694240000.0,255400.0,30.6,UPCOM,31.0,30.6,100.0,28.5,0,VEA,14:43:29,2020-03-13
14,stock,7691180000.0,255300.0,30.6,UPCOM,31.0,30.6,500.0,28.5,0,VEA,14:43:10,2020-03-13
15,stock,7675880000.0,254800.0,30.6,UPCOM,31.0,30.6,500.0,28.5,0,VEA,14:40:44,2020-03-13
16,stock,7660580000.0,254300.0,30.5,UPCOM,31.0,30.5,5000.0,28.5,0,VEA,14:38:44,2020-03-13
17,stock,7508080000.0,249300.0,30.5,UPCOM,31.0,30.5,10000.0,28.5,0,VEA,14:34:47,2020-03-13
18,stock,7202330000.0,239300.0,30.7,UPCOM,31.0,30.7,500.0,28.5,0,VEA,14:33:35,2020-03-13
19,stock,7186980000.0,238800.0,30.7,UPCOM,31.0,30.7,200.0,28.5,0,VEA,14:31:07,2020-03-13
20,stock,7180840000.0,238600.0,30.7,UPCOM,31.0,30.7,1500.0,28.5,0,VEA,14:29:48,2020-03-13
21,stock,7134790000.0,237100.0,30.7,UPCOM,31.0,30.7,5000.0,28.5,0,VEA,14:28:40,2020-03-13
22,stock,6981290000.0,232100.0,30.8,UPCOM,31.0,30.8,1000.0,28.5,0,VEA,14:24:31,2020-03-13
23,stock,6950490000.0,231100.0,30.8,UPCOM,31.0,30.8,500.0,28.5,0,VEA,14:23:10,2020-03-13
24,stock,6935090000.0,230600.0,30.8,UPCOM,31.0,30.8,500.0,28.5,0,VEA,14:22:51,2020-03-13
25,stock,6919690000.0,230100.0,30.8,UPCOM,31.0,30.8,1000.0,28.5,0,VEA,14:20:07,2020-03-13
26,stock,6888890000.0,229100.0,30.7,UPCOM,31.0,30.7,1500.0,28.5,0,VEA,14:18:24,2020-03-13
27,stock,6842840000.0,227600.0,30.7,UPCOM,31.0,30.7,1000.0,28.5,0,VEA,14:17:25,2020-03-13
28,stock,6812140000.0,226600.0,30.8,UPCOM,31.0,30.8,100.0,28.5,0,VEA,14:17:18,2020-03-13
29,stock,6809060000.0,226500.0,30.8,UPCOM,31.0,30.8,500.0,28.5,0,VEA,14:15:20,2020-03-13
30,stock,6793660000.0,226000.0,30.7,UPCOM,31.0,30.7,2800.0,28.5,0,VEA,14:15:16,2020-03-13
31,stock,6707700000.0,223200.0,30.7,UPCOM,31.0,30.7,1000.0,28.5,0,VEA,14:11:23,2020-03-13
32,stock,6677000000.0,222200.0,30.6,UPCOM,31.0,30.6,3000.0,28.5,0,VEA,14:11:22,2020-03-13
