,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,93006000000.0,1337180.0,72.0,VNINDEX,72.0,72.0,321310.0,67.0,29.0,VHM,14:46:28,2020-03-13
1,stock,69872000000.0,1015870.0,71.9,VNINDEX,72.0,71.9,840.0,67.0,29.0,VHM,14:29:41,2020-03-13
2,stock,69812000000.0,1015030.0,71.9,VNINDEX,72.0,71.9,2160.0,67.0,29.0,VHM,14:29:29,2020-03-13
3,stock,69656000000.0,1012870.0,71.9,VNINDEX,72.0,71.9,2840.0,67.0,29.0,VHM,14:29:18,2020-03-13
4,stock,69452000000.0,1010030.0,71.9,VNINDEX,72.0,71.9,10.0,67.0,29.0,VHM,14:29:11,2020-03-13
5,stock,69451000000.0,1010020.0,71.8,VNINDEX,72.0,71.8,1100.0,67.0,29.0,VHM,14:29:08,2020-03-13
6,stock,69372000000.0,1008920.0,71.6,VNINDEX,72.0,71.6,500.0,67.0,29.0,VHM,14:28:29,2020-03-13
7,stock,69337000000.0,1008420.0,71.5,VNINDEX,72.0,71.5,6000.0,67.0,29.0,VHM,14:28:20,2020-03-13
8,stock,68908000000.0,1002420.0,71.5,VNINDEX,72.0,71.5,6000.0,67.0,29.0,VHM,14:28:10,2020-03-13
9,stock,68479000000.0,996420.0,71.5,VNINDEX,72.0,71.5,8000.0,67.0,29.0,VHM,14:28:02,2020-03-13
10,stock,67907000000.0,988420.0,71.0,VNINDEX,72.0,71.0,9820.0,67.0,29.0,VHM,14:27:51,2020-03-13
11,stock,67209000000.0,978600.0,71.0,VNINDEX,72.0,71.0,4000.0,67.0,29.0,VHM,14:27:44,2020-03-13
12,stock,66925000000.0,974600.0,71.0,VNINDEX,72.0,71.0,3000.0,67.0,29.0,VHM,14:27:38,2020-03-13
13,stock,66712000000.0,971600.0,70.9,VNINDEX,72.0,70.9,1600.0,67.0,29.0,VHM,14:27:35,2020-03-13
14,stock,66599000000.0,970000.0,70.9,VNINDEX,72.0,70.9,1400.0,67.0,29.0,VHM,14:27:22,2020-03-13
15,stock,66500000000.0,968600.0,71.0,VNINDEX,72.0,71.0,100.0,67.0,29.0,VHM,14:26:53,2020-03-13
16,stock,66492999999.99999,968500.0,71.0,VNINDEX,72.0,71.0,10.0,67.0,29.0,VHM,14:26:33,2020-03-13
17,stock,66492000000.00001,968490.0,71.0,VNINDEX,72.0,71.0,240.0,67.0,29.0,VHM,14:26:27,2020-03-13
18,stock,66474999999.99999,968250.0,71.5,VNINDEX,72.0,71.5,2000.0,67.0,29.0,VHM,14:26:20,2020-03-13
19,stock,66331999999.99999,966250.0,71.0,VNINDEX,72.0,71.0,10.0,67.0,29.0,VHM,14:26:08,2020-03-13
20,stock,66331000000.0,966240.0,71.0,VNINDEX,72.0,71.0,4000.0,67.0,29.0,VHM,14:26:08,2020-03-13
21,stock,66047000000.0,962240.0,71.5,VNINDEX,72.0,71.5,10.0,67.0,29.0,VHM,14:25:58,2020-03-13
22,stock,66046000000.00001,962230.0,71.0,VNINDEX,72.0,71.0,210.0,67.0,29.0,VHM,14:25:42,2020-03-13
23,stock,66032000000.0,962020.0,71.5,VNINDEX,72.0,71.5,500.0,67.0,29.0,VHM,14:25:25,2020-03-13
24,stock,65995999999.99999,961520.0,71.0,VNINDEX,72.0,71.0,1400.0,67.0,29.0,VHM,14:24:45,2020-03-13
25,stock,65896000000.0,960120.0,71.7,VNINDEX,72.0,71.7,10.0,67.0,29.0,VHM,14:23:45,2020-03-13
26,stock,65896000000.0,960110.0,71.0,VNINDEX,72.0,71.0,210.0,67.0,29.0,VHM,14:23:32,2020-03-13
27,stock,65881000000.0,959900.0,71.5,VNINDEX,72.0,71.5,1910.0,67.0,29.0,VHM,14:23:29,2020-03-13
28,stock,65744000000.0,957990.0,71.7,VNINDEX,72.0,71.7,20.0,67.0,29.0,VHM,14:23:02,2020-03-13
29,stock,65742999999.99999,957970.0,71.7,VNINDEX,72.0,71.7,10.0,67.0,29.0,VHM,14:22:48,2020-03-13
30,stock,65742000000.00001,957960.0,71.8,VNINDEX,72.0,71.8,50.0,67.0,29.0,VHM,14:22:41,2020-03-13
31,stock,65738000000.0,957910.0,71.9,VNINDEX,72.0,71.9,800.0,67.0,29.0,VHM,14:22:12,2020-03-13
32,stock,65681000000.0,957110.0,71.9,VNINDEX,72.0,71.9,10.0,67.0,29.0,VHM,14:21:50,2020-03-13
33,stock,65680000000.00001,957100.0,71.5,VNINDEX,72.0,71.5,210.0,67.0,29.0,VHM,14:21:24,2020-03-13
34,stock,65665000000.00001,956890.0,71.9,VNINDEX,72.0,71.9,500.0,67.0,29.0,VHM,14:20:56,2020-03-13
35,stock,65629000000.00001,956390.0,71.9,VNINDEX,72.0,71.9,5000.0,67.0,29.0,VHM,14:20:51,2020-03-13
36,stock,65269000000.00001,951380.0,71.9,VNINDEX,72.0,71.9,170.0,67.0,29.0,VHM,14:20:44,2020-03-13
37,stock,65269999999.99999,951390.0,72.0,VNINDEX,72.0,72.0,10.0,67.0,29.0,VHM,14:20:44,2020-03-13
38,stock,65257000000.00001,951210.0,71.9,VNINDEX,72.0,71.9,2330.0,67.0,29.0,VHM,14:20:33,2020-03-13
39,stock,65089000000.0,948880.0,71.5,VNINDEX,72.0,71.5,1400.0,67.0,29.0,VHM,14:20:25,2020-03-13
40,stock,64989000000.00001,947480.0,71.7,VNINDEX,72.0,71.7,5260.0,67.0,29.0,VHM,14:20:13,2020-03-13
41,stock,64611999999.99999,942220.0,71.9,VNINDEX,72.0,71.9,1000.0,67.0,29.0,VHM,14:19:53,2020-03-13
42,stock,64540000000.00001,941220.0,71.9,VNINDEX,72.0,71.9,1720.0,67.0,29.0,VHM,14:19:29,2020-03-13
43,stock,64416000000.0,939500.0,71.9,VNINDEX,72.0,71.9,200.0,67.0,29.0,VHM,14:19:24,2020-03-13
44,stock,64402000000.0,939300.0,72.0,VNINDEX,72.0,72.0,10.0,67.0,29.0,VHM,14:19:20,2020-03-13
45,stock,64401000000.0,939290.0,71.9,VNINDEX,72.0,71.9,610.0,67.0,29.0,VHM,14:19:16,2020-03-13
46,stock,64340999999.99999,938460.0,71.9,VNINDEX,72.0,71.9,60.0,67.0,29.0,VHM,14:19:14,2020-03-13
47,stock,64342000000.0,938470.0,71.9,VNINDEX,72.0,71.9,10.0,67.0,29.0,VHM,14:19:14,2020-03-13
48,stock,64357000000.0,938680.0,71.9,VNINDEX,72.0,71.9,210.0,67.0,29.0,VHM,14:19:14,2020-03-13
49,stock,64337000000.0,938400.0,71.9,VNINDEX,72.0,71.9,190.0,67.0,29.0,VHM,14:19:09,2020-03-13
50,stock,64322999999.99999,938210.0,71.9,VNINDEX,72.0,71.9,130.0,67.0,29.0,VHM,14:19:03,2020-03-13
51,stock,64313999999.99999,938080.0,71.9,VNINDEX,72.0,71.9,100.0,67.0,29.0,VHM,14:19:02,2020-03-13
52,stock,64307000000.0,937980.0,72.0,VNINDEX,72.0,72.0,10.0,67.0,29.0,VHM,14:18:52,2020-03-13
53,stock,64306000000.0,937970.0,71.9,VNINDEX,72.0,71.9,2500.0,67.0,29.0,VHM,14:18:39,2020-03-13
54,stock,64126000000.00001,935470.0,71.9,VNINDEX,72.0,71.9,10.0,67.0,29.0,VHM,14:18:38,2020-03-13
55,stock,64126000000.00001,935460.0,72.0,VNINDEX,72.0,72.0,10.0,67.0,29.0,VHM,14:18:32,2020-03-13
56,stock,64125000000.0,935450.0,71.9,VNINDEX,72.0,71.9,100.0,67.0,29.0,VHM,14:18:27,2020-03-13
57,stock,64117999999.99999,935350.0,71.9,VNINDEX,72.0,71.9,200.0,67.0,29.0,VHM,14:18:24,2020-03-13
58,stock,64102999999.99999,935150.0,72.0,VNINDEX,72.0,72.0,10.0,67.0,29.0,VHM,14:17:19,2020-03-13
59,stock,64102999999.99999,935140.0,71.9,VNINDEX,72.0,71.9,850.0,67.0,29.0,VHM,14:17:14,2020-03-13
60,stock,64042000000.0,934290.0,71.9,VNINDEX,72.0,71.9,210.0,67.0,29.0,VHM,14:17:06,2020-03-13
61,stock,64026000000.0,934080.0,72.0,VNINDEX,72.0,72.0,1200.0,67.0,29.0,VHM,14:16:08,2020-03-13
62,stock,63940000000.0,932880.0,71.8,VNINDEX,71.9,71.8,1400.0,67.0,29.0,VHM,14:16:00,2020-03-13
63,stock,63839000000.0,931480.0,71.9,VNINDEX,71.9,71.9,790.0,67.0,29.0,VHM,14:15:59,2020-03-13
64,stock,63783000000.0,930690.0,71.9,VNINDEX,71.9,71.9,260.0,67.0,29.0,VHM,14:15:50,2020-03-13
65,stock,63764000000.0,930430.0,71.9,VNINDEX,71.9,71.9,1000.0,67.0,29.0,VHM,14:15:41,2020-03-13
66,stock,63692000000.0,929430.0,71.8,VNINDEX,71.9,71.8,100.0,67.0,29.0,VHM,14:15:39,2020-03-13
67,stock,63685000000.0,929330.0,71.9,VNINDEX,71.9,71.9,3000.0,67.0,29.0,VHM,14:15:27,2020-03-13
68,stock,63469000000.0,926330.0,71.8,VNINDEX,71.9,71.8,10.0,67.0,29.0,VHM,14:15:24,2020-03-13
69,stock,63468000000.0,926320.0,71.9,VNINDEX,71.9,71.9,500.0,67.0,29.0,VHM,14:15:18,2020-03-13
70,stock,63432000000.0,925820.0,71.7,VNINDEX,71.7,71.7,210.0,67.0,29.0,VHM,14:14:58,2020-03-13
71,stock,63417000000.0,925610.0,71.7,VNINDEX,71.7,71.7,1240.0,67.0,29.0,VHM,14:14:49,2020-03-13
72,stock,63329000000.0,924370.0,71.5,VNINDEX,71.5,71.5,480.0,67.0,29.0,VHM,14:14:40,2020-03-13
73,stock,63294000000.0,923890.0,71.5,VNINDEX,71.5,71.5,3000.0,67.0,29.0,VHM,14:14:34,2020-03-13
74,stock,63080000000.0,920890.0,71.5,VNINDEX,71.5,71.5,10.0,67.0,29.0,VHM,14:14:33,2020-03-13
75,stock,62973000000.0,919390.0,71.0,VNINDEX,71.0,71.0,10.0,67.0,29.0,VHM,14:14:26,2020-03-13
76,stock,63079000000.0,920880.0,71.0,VNINDEX,71.0,71.0,1490.0,67.0,29.0,VHM,14:14:26,2020-03-13
77,stock,62972000000.0,919380.0,70.9,VNINDEX,71.0,70.9,1000.0,67.0,29.0,VHM,14:14:18,2020-03-13
78,stock,62902000000.0,918380.0,70.5,VNINDEX,71.0,70.5,1580.0,67.0,29.0,VHM,14:14:07,2020-03-13
79,stock,62790000000.0,916800.0,70.4,VNINDEX,71.0,70.4,1330.0,67.0,29.0,VHM,14:13:58,2020-03-13
80,stock,62697000000.0,915470.0,70.4,VNINDEX,71.0,70.4,10.0,67.0,29.0,VHM,14:13:51,2020-03-13
81,stock,62696000000.0,915460.0,70.4,VNINDEX,71.0,70.4,10.0,67.0,29.0,VHM,14:13:46,2020-03-13
