,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,108074000000.0,1226880.0,92.5,VNINDEX,92.5,92.5,92640.0,85.4,3813.0,VIC,14:46:26,2020-03-13
1,stock,99505000000.0,1134240.0,92.0,VNINDEX,92.0,92.0,10.0,85.4,3813.0,VIC,14:29:56,2020-03-13
2,stock,99504000000.0,1134230.0,92.0,VNINDEX,92.0,92.0,10.0,85.4,3813.0,VIC,14:29:05,2020-03-13
3,stock,99503000000.0,1134220.0,91.9,VNINDEX,92.0,91.9,1100.0,85.4,3813.0,VIC,14:28:57,2020-03-13
4,stock,99402000000.0,1133120.0,91.8,VNINDEX,92.0,91.8,100.0,85.4,3813.0,VIC,14:28:42,2020-03-13
5,stock,99393000000.0,1133020.0,91.9,VNINDEX,92.0,91.9,300.0,85.4,3813.0,VIC,14:28:06,2020-03-13
6,stock,99365000000.0,1132720.0,91.9,VNINDEX,92.0,91.9,510.0,85.4,3813.0,VIC,14:28:03,2020-03-13
7,stock,99318000000.0,1132210.0,91.9,VNINDEX,92.0,91.9,100.0,85.4,3813.0,VIC,14:28:02,2020-03-13
8,stock,99309000000.0,1132110.0,91.9,VNINDEX,92.0,91.9,90.0,85.4,3813.0,VIC,14:27:51,2020-03-13
9,stock,99301000000.0,1132020.0,91.9,VNINDEX,92.0,91.9,500.0,85.4,3813.0,VIC,14:27:38,2020-03-13
10,stock,99255000000.0,1131520.0,91.9,VNINDEX,92.0,91.9,30.0,85.4,3813.0,VIC,14:27:36,2020-03-13
11,stock,99252000000.0,1131490.0,91.9,VNINDEX,92.0,91.9,10.0,85.4,3813.0,VIC,14:27:31,2020-03-13
12,stock,99251000000.0,1131480.0,91.9,VNINDEX,92.0,91.9,1000.0,85.4,3813.0,VIC,14:27:28,2020-03-13
13,stock,99159000000.0,1130480.0,91.9,VNINDEX,92.0,91.9,300.0,85.4,3813.0,VIC,14:27:13,2020-03-13
14,stock,99132000000.0,1130180.0,91.9,VNINDEX,92.0,91.9,20.0,85.4,3813.0,VIC,14:27:10,2020-03-13
15,stock,99130000000.0,1130160.0,91.9,VNINDEX,92.0,91.9,420.0,85.4,3813.0,VIC,14:27:04,2020-03-13
16,stock,99091000000.0,1129740.0,91.9,VNINDEX,92.0,91.9,50.0,85.4,3813.0,VIC,14:26:59,2020-03-13
17,stock,99087000000.0,1129690.0,91.8,VNINDEX,92.0,91.8,240.0,85.4,3813.0,VIC,14:26:37,2020-03-13
18,stock,99064000000.0,1129450.0,91.8,VNINDEX,92.0,91.8,7330.0,85.4,3813.0,VIC,14:26:24,2020-03-13
19,stock,98391000000.0,1122120.0,91.9,VNINDEX,92.0,91.9,3000.0,85.4,3813.0,VIC,14:26:19,2020-03-13
20,stock,98116000000.0,1119120.0,92.0,VNINDEX,92.0,92.0,10.0,85.4,3813.0,VIC,14:25:49,2020-03-13
21,stock,98115000000.0,1119110.0,91.9,VNINDEX,92.0,91.9,90.0,85.4,3813.0,VIC,14:25:43,2020-03-13
22,stock,98107000000.0,1119020.0,91.9,VNINDEX,92.0,91.9,10.0,85.4,3813.0,VIC,14:25:42,2020-03-13
23,stock,98106000000.0,1119010.0,91.9,VNINDEX,92.0,91.9,30.0,85.4,3813.0,VIC,14:25:13,2020-03-13
24,stock,98103000000.0,1118980.0,91.9,VNINDEX,92.0,91.9,20.0,85.4,3813.0,VIC,14:24:22,2020-03-13
25,stock,98101000000.0,1118960.0,91.9,VNINDEX,92.0,91.9,90.0,85.4,3813.0,VIC,14:23:35,2020-03-13
26,stock,98093000000.0,1118870.0,91.9,VNINDEX,92.0,91.9,1320.0,85.4,3813.0,VIC,14:23:20,2020-03-13
27,stock,97971000000.0,1117550.0,91.9,VNINDEX,92.0,91.9,1930.0,85.4,3813.0,VIC,14:21:57,2020-03-13
28,stock,97794000000.0,1115620.0,91.9,VNINDEX,92.0,91.9,90.0,85.4,3813.0,VIC,14:21:28,2020-03-13
29,stock,97786000000.0,1115530.0,92.0,VNINDEX,92.0,92.0,3000.0,85.4,3813.0,VIC,14:20:04,2020-03-13
30,stock,97510000000.0,1112530.0,91.9,VNINDEX,92.0,91.9,40.0,85.4,3813.0,VIC,14:19:57,2020-03-13
31,stock,97506000000.0,1112490.0,92.0,VNINDEX,92.0,92.0,3000.0,85.4,3813.0,VIC,14:19:52,2020-03-13
32,stock,97230000000.0,1109490.0,91.9,VNINDEX,92.0,91.9,1000.0,85.4,3813.0,VIC,14:19:46,2020-03-13
33,stock,97138000000.0,1108490.0,91.9,VNINDEX,92.0,91.9,90.0,85.4,3813.0,VIC,14:19:20,2020-03-13
34,stock,97130000000.0,1108400.0,91.9,VNINDEX,92.0,91.9,1000.0,85.4,3813.0,VIC,14:19:14,2020-03-13
35,stock,97038000000.0,1107400.0,91.9,VNINDEX,92.0,91.9,10.0,85.4,3813.0,VIC,14:18:50,2020-03-13
36,stock,97037000000.0,1107390.0,91.9,VNINDEX,92.0,91.9,1000.0,85.4,3813.0,VIC,14:18:16,2020-03-13
37,stock,96945000000.0,1106390.0,92.0,VNINDEX,92.0,92.0,300.0,85.4,3813.0,VIC,14:17:40,2020-03-13
38,stock,96918000000.0,1106090.0,91.9,VNINDEX,92.0,91.9,10.0,85.4,3813.0,VIC,14:17:30,2020-03-13
39,stock,96917000000.0,1106080.0,92.0,VNINDEX,92.0,92.0,10.0,85.4,3813.0,VIC,14:17:24,2020-03-13
40,stock,96916000000.0,1106070.0,91.9,VNINDEX,92.0,91.9,500.0,85.4,3813.0,VIC,14:17:15,2020-03-13
41,stock,96870000000.0,1105570.0,91.9,VNINDEX,92.0,91.9,90.0,85.4,3813.0,VIC,14:17:12,2020-03-13
42,stock,96862000000.0,1105480.0,91.9,VNINDEX,92.0,91.9,100.0,85.4,3813.0,VIC,14:16:34,2020-03-13
43,stock,96852000000.0,1105380.0,92.0,VNINDEX,92.0,92.0,10.0,85.4,3813.0,VIC,14:16:24,2020-03-13
44,stock,96851000000.0,1105370.0,91.9,VNINDEX,92.0,91.9,1040.0,85.4,3813.0,VIC,14:16:21,2020-03-13
45,stock,96756000000.0,1104330.0,91.9,VNINDEX,92.0,91.9,500.0,85.4,3813.0,VIC,14:16:00,2020-03-13
46,stock,96710000000.0,1103830.0,91.9,VNINDEX,92.0,91.9,500.0,85.4,3813.0,VIC,14:15:54,2020-03-13
47,stock,96664000000.0,1103330.0,92.0,VNINDEX,92.0,92.0,10.0,85.4,3813.0,VIC,14:15:35,2020-03-13
