,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,47494000000.0,488260.0,101.0,VNINDEX,101.0,101.0,110460.0,94.0,3847.0,VJC,14:46:27,2020-03-13
1,stock,36337000000.0,377800.0,100.0,VNINDEX,100.0,100.0,100.0,94.0,3847.0,VJC,14:29:49,2020-03-13
2,stock,36327000000.0,377700.0,99.5,VNINDEX,99.5,99.5,200.0,94.0,3847.0,VJC,14:29:46,2020-03-13
3,stock,36307000000.0,377500.0,99.5,VNINDEX,99.5,99.5,1700.0,94.0,3847.0,VJC,14:29:38,2020-03-13
4,stock,36138000000.0,375800.0,99.5,VNINDEX,99.5,99.5,5000.0,94.0,3847.0,VJC,14:29:27,2020-03-13
5,stock,35644000000.0,370800.0,98.0,VNINDEX,99.5,98.0,20.0,94.0,3847.0,VJC,14:29:26,2020-03-13
6,stock,35642000000.0,370780.0,98.0,VNINDEX,99.5,98.0,1980.0,94.0,3847.0,VJC,14:29:18,2020-03-13
7,stock,35448000000.0,368800.0,98.0,VNINDEX,99.5,98.0,1920.0,94.0,3847.0,VJC,14:29:04,2020-03-13
8,stock,35259000000.0,366880.0,99.4,VNINDEX,99.5,99.4,610.0,94.0,3847.0,VJC,14:29:02,2020-03-13
9,stock,35198000000.0,366270.0,99.0,VNINDEX,99.5,99.0,5470.0,94.0,3847.0,VJC,14:28:49,2020-03-13
10,stock,34656000000.0,360800.0,98.0,VNINDEX,99.5,98.0,4000.0,94.0,3847.0,VJC,14:28:40,2020-03-13
11,stock,34264000000.000004,356800.0,99.0,VNINDEX,99.5,99.0,7000.0,94.0,3847.0,VJC,14:28:10,2020-03-13
12,stock,33578000000.000004,349800.0,98.0,VNINDEX,99.5,98.0,580.0,94.0,3847.0,VJC,14:28:04,2020-03-13
13,stock,33521000000.0,349220.0,99.0,VNINDEX,99.5,99.0,100.0,94.0,3847.0,VJC,14:28:00,2020-03-13
14,stock,33511000000.000004,349120.0,98.0,VNINDEX,99.5,98.0,4000.0,94.0,3847.0,VJC,14:27:56,2020-03-13
15,stock,33119000000.0,345120.0,98.0,VNINDEX,99.5,98.0,50.0,94.0,3847.0,VJC,14:27:51,2020-03-13
16,stock,33113999999.999996,345070.0,98.0,VNINDEX,99.5,98.0,5370.0,94.0,3847.0,VJC,14:27:49,2020-03-13
