,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,116174000000.0,5358840.0,22.5,VNINDEX,23.05,22.5,212030.0,21.0,3852.0,VPB,14:46:27,2020-03-13
1,stock,111403000000.0,5146810.0,22.6,VNINDEX,23.05,22.6,3000.0,21.0,3852.0,VPB,14:29:44,2020-03-13
2,stock,111336000000.0,5143810.0,22.6,VNINDEX,23.05,22.6,10.0,21.0,3852.0,VPB,14:29:03,2020-03-13
3,stock,111335000000.0,5143800.0,22.55,VNINDEX,23.05,22.55,370.0,21.0,3852.0,VPB,14:28:59,2020-03-13
4,stock,111327000000.0,5143430.0,22.55,VNINDEX,23.05,22.55,1660.0,21.0,3852.0,VPB,14:28:55,2020-03-13
5,stock,111290000000.0,5141770.0,22.55,VNINDEX,23.05,22.55,1200.0,21.0,3852.0,VPB,14:28:42,2020-03-13
6,stock,111263000000.0,5140570.0,22.55,VNINDEX,23.05,22.55,1550.0,21.0,3852.0,VPB,14:28:34,2020-03-13
7,stock,111228000000.0,5139020.0,22.55,VNINDEX,23.05,22.55,1000.0,21.0,3852.0,VPB,14:28:14,2020-03-13
8,stock,111205000000.0,5138020.0,22.55,VNINDEX,23.05,22.55,2000.0,21.0,3852.0,VPB,14:27:49,2020-03-13
9,stock,111160000000.0,5136020.0,22.55,VNINDEX,23.05,22.55,3050.0,21.0,3852.0,VPB,14:27:38,2020-03-13
10,stock,111091000000.0,5132970.0,22.55,VNINDEX,23.05,22.55,1500.0,21.0,3852.0,VPB,14:27:23,2020-03-13
11,stock,110925000000.0,5125590.0,22.55,VNINDEX,23.05,22.55,10000.0,21.0,3852.0,VPB,14:27:04,2020-03-13
12,stock,111057000000.0,5131470.0,22.55,VNINDEX,23.05,22.55,5880.0,21.0,3852.0,VPB,14:27:04,2020-03-13
13,stock,110699000000.0,5115590.0,22.6,VNINDEX,23.05,22.6,10.0,21.0,3852.0,VPB,14:26:54,2020-03-13
14,stock,110699000000.0,5115580.0,22.55,VNINDEX,23.05,22.55,2000.0,21.0,3852.0,VPB,14:26:53,2020-03-13
15,stock,110654000000.0,5113580.0,22.55,VNINDEX,23.05,22.55,700.0,21.0,3852.0,VPB,14:26:43,2020-03-13
16,stock,110638000000.0,5112880.0,22.6,VNINDEX,23.05,22.6,10.0,21.0,3852.0,VPB,14:26:41,2020-03-13
17,stock,110638000000.0,5112870.0,22.55,VNINDEX,23.05,22.55,6400.0,21.0,3852.0,VPB,14:26:32,2020-03-13
18,stock,110494000000.0,5106470.0,22.6,VNINDEX,23.05,22.6,2000.0,21.0,3852.0,VPB,14:26:23,2020-03-13
19,stock,110448000000.0,5104470.0,22.6,VNINDEX,23.05,22.6,8610.0,21.0,3852.0,VPB,14:26:22,2020-03-13
20,stock,110254000000.0,5095860.0,22.6,VNINDEX,23.05,22.6,10000.0,21.0,3852.0,VPB,14:25:48,2020-03-13
21,stock,110028000000.0,5085860.0,22.6,VNINDEX,23.05,22.6,10.0,21.0,3852.0,VPB,14:25:24,2020-03-13
22,stock,110028000000.0,5085850.0,22.55,VNINDEX,23.05,22.55,5000.0,21.0,3852.0,VPB,14:25:17,2020-03-13
23,stock,109915000000.0,5080850.0,22.6,VNINDEX,23.05,22.6,30.0,21.0,3852.0,VPB,14:25:07,2020-03-13
24,stock,109914000000.0,5080820.0,22.6,VNINDEX,23.05,22.6,30.0,21.0,3852.0,VPB,14:24:54,2020-03-13
25,stock,109913000000.0,5080790.0,22.6,VNINDEX,23.05,22.6,70.0,21.0,3852.0,VPB,14:24:45,2020-03-13
26,stock,109912000000.0,5080720.0,22.6,VNINDEX,23.05,22.6,200.0,21.0,3852.0,VPB,14:24:44,2020-03-13
27,stock,109907000000.0,5080520.0,22.65,VNINDEX,23.05,22.65,100.0,21.0,3852.0,VPB,14:24:36,2020-03-13
28,stock,109905000000.0,5080420.0,22.65,VNINDEX,23.05,22.65,10.0,21.0,3852.0,VPB,14:24:35,2020-03-13
29,stock,109905000000.0,5080410.0,22.6,VNINDEX,23.05,22.6,500.0,21.0,3852.0,VPB,14:24:26,2020-03-13
30,stock,109894000000.0,5079910.0,22.65,VNINDEX,23.05,22.65,10.0,21.0,3852.0,VPB,14:24:16,2020-03-13
31,stock,109893000000.0,5079900.0,22.6,VNINDEX,23.05,22.6,2000.0,21.0,3852.0,VPB,14:24:15,2020-03-13
32,stock,109848000000.0,5077900.0,22.6,VNINDEX,23.05,22.6,4000.0,21.0,3852.0,VPB,14:24:11,2020-03-13
33,stock,109758000000.0,5073900.0,22.6,VNINDEX,23.05,22.6,60.0,21.0,3852.0,VPB,14:24:09,2020-03-13
34,stock,109756000000.0,5073840.0,22.65,VNINDEX,23.05,22.65,10.0,21.0,3852.0,VPB,14:24:01,2020-03-13
35,stock,109756000000.0,5073830.0,22.6,VNINDEX,23.05,22.6,2000.0,21.0,3852.0,VPB,14:23:42,2020-03-13
36,stock,109711000000.0,5071830.0,22.7,VNINDEX,23.05,22.7,10.0,21.0,3852.0,VPB,14:23:32,2020-03-13
37,stock,109711000000.0,5071820.0,22.65,VNINDEX,23.05,22.65,5000.0,21.0,3852.0,VPB,14:23:26,2020-03-13
38,stock,109597000000.0,5066820.0,22.65,VNINDEX,23.05,22.65,1000.0,21.0,3852.0,VPB,14:23:23,2020-03-13
39,stock,109575000000.0,5065820.0,22.7,VNINDEX,23.05,22.7,10.0,21.0,3852.0,VPB,14:23:21,2020-03-13
40,stock,109575000000.0,5065810.0,22.65,VNINDEX,23.05,22.65,300.0,21.0,3852.0,VPB,14:23:12,2020-03-13
41,stock,109568000000.0,5065510.0,22.65,VNINDEX,23.05,22.65,1000.0,21.0,3852.0,VPB,14:23:09,2020-03-13
42,stock,109545000000.0,5064510.0,22.7,VNINDEX,23.05,22.7,3000.0,21.0,3852.0,VPB,14:22:57,2020-03-13
43,stock,109477000000.0,5061510.0,22.65,VNINDEX,23.05,22.65,200.0,21.0,3852.0,VPB,14:22:51,2020-03-13
44,stock,109472000000.0,5061310.0,22.65,VNINDEX,23.05,22.65,5000.0,21.0,3852.0,VPB,14:22:42,2020-03-13
45,stock,109359000000.0,5056310.0,22.7,VNINDEX,23.05,22.7,10.0,21.0,3852.0,VPB,14:22:11,2020-03-13
46,stock,109359000000.0,5056300.0,22.65,VNINDEX,23.05,22.65,2000.0,21.0,3852.0,VPB,14:22:11,2020-03-13
47,stock,109314000000.0,5054300.0,22.65,VNINDEX,23.05,22.65,10000.0,21.0,3852.0,VPB,14:22:03,2020-03-13
48,stock,109087000000.0,5044300.0,22.7,VNINDEX,23.05,22.7,8000.0,21.0,3852.0,VPB,14:21:42,2020-03-13
49,stock,108906000000.0,5036300.0,22.7,VNINDEX,23.05,22.7,1500.0,21.0,3852.0,VPB,14:21:11,2020-03-13
50,stock,108872000000.0,5034800.0,22.7,VNINDEX,23.05,22.7,2000.0,21.0,3852.0,VPB,14:20:36,2020-03-13
