,_type,accumulatedVal,accumulatedVol,adLast,floorCode,highest,last,lastVol,lowest,stockId,symbol,time,tradingDate
0,stock,109146000000.0,4742820.0,24.2,VNINDEX,24.3,24.2,193720.0,22.55,3854.0,VRE,14:46:27,2020-03-13
1,stock,104458000000.0,4549100.0,24.2,VNINDEX,24.3,24.2,4660.0,22.55,3854.0,VRE,14:29:44,2020-03-13
2,stock,104345000000.0,4544440.0,24.2,VNINDEX,24.3,24.2,250.0,22.55,3854.0,VRE,14:29:41,2020-03-13
3,stock,104339000000.0,4544190.0,24.2,VNINDEX,24.3,24.2,510.0,22.55,3854.0,VRE,14:29:33,2020-03-13
4,stock,104327000000.0,4543680.0,24.2,VNINDEX,24.3,24.2,90.0,22.55,3854.0,VRE,14:29:32,2020-03-13
5,stock,104325000000.0,4543590.0,24.2,VNINDEX,24.3,24.2,10000.0,22.55,3854.0,VRE,14:29:28,2020-03-13
6,stock,104083000000.0,4533590.0,24.25,VNINDEX,24.3,24.25,10.0,22.55,3854.0,VRE,14:29:18,2020-03-13
7,stock,104082000000.0,4533580.0,24.2,VNINDEX,24.3,24.2,10.0,22.55,3854.0,VRE,14:29:14,2020-03-13
8,stock,104082000000.0,4533550.0,24.2,VNINDEX,24.3,24.2,10.0,22.55,3854.0,VRE,14:29:11,2020-03-13
9,stock,104082000000.0,4533570.0,24.2,VNINDEX,24.3,24.2,20.0,22.55,3854.0,VRE,14:29:11,2020-03-13
10,stock,104081000000.0,4533540.0,24.2,VNINDEX,24.3,24.2,500.0,22.55,3854.0,VRE,14:28:56,2020-03-13
11,stock,104069000000.0,4533040.0,24.2,VNINDEX,24.3,24.2,1000.0,22.55,3854.0,VRE,14:28:47,2020-03-13
12,stock,104045000000.0,4532040.0,24.2,VNINDEX,24.3,24.2,100.0,22.55,3854.0,VRE,14:28:40,2020-03-13
13,stock,104043000000.0,4531940.0,24.2,VNINDEX,24.3,24.2,10000.0,22.55,3854.0,VRE,14:28:26,2020-03-13
14,stock,103800000000.0,4521940.0,24.25,VNINDEX,24.3,24.25,1000.0,22.55,3854.0,VRE,14:28:23,2020-03-13
15,stock,103776000000.0,4520940.0,24.25,VNINDEX,24.3,24.25,500.0,22.55,3854.0,VRE,14:28:22,2020-03-13
16,stock,103764000000.0,4520440.0,24.25,VNINDEX,24.3,24.25,1000.0,22.55,3854.0,VRE,14:28:12,2020-03-13
17,stock,103740000000.0,4519440.0,24.3,VNINDEX,24.3,24.3,2000.0,22.55,3854.0,VRE,14:28:11,2020-03-13
18,stock,103691000000.0,4517440.0,24.25,VNINDEX,24.25,24.25,200.0,22.55,3854.0,VRE,14:28:08,2020-03-13
19,stock,103686000000.0,4517240.0,24.25,VNINDEX,24.25,24.25,1100.0,22.55,3854.0,VRE,14:28:05,2020-03-13
20,stock,103659000000.0,4516140.0,24.25,VNINDEX,24.25,24.25,150.0,22.55,3854.0,VRE,14:27:56,2020-03-13
21,stock,103656000000.0,4515990.0,24.25,VNINDEX,24.25,24.25,400.0,22.55,3854.0,VRE,14:27:49,2020-03-13
22,stock,103646000000.0,4515590.0,24.25,VNINDEX,24.25,24.25,10.0,22.55,3854.0,VRE,14:27:39,2020-03-13
23,stock,103646000000.0,4515580.0,24.25,VNINDEX,24.25,24.25,50.0,22.55,3854.0,VRE,14:27:31,2020-03-13
24,stock,103645000000.0,4515530.0,24.2,VNINDEX,24.2,24.2,41800.0,22.55,3854.0,VRE,14:27:21,2020-03-13
25,stock,102633000000.0,4473730.0,24.15,VNINDEX,24.2,24.15,300.0,22.55,3854.0,VRE,14:27:12,2020-03-13
26,stock,102626000000.0,4473430.0,24.15,VNINDEX,24.2,24.15,200.0,22.55,3854.0,VRE,14:27:08,2020-03-13
27,stock,102621000000.0,4473230.0,24.2,VNINDEX,24.2,24.2,13220.0,22.55,3854.0,VRE,14:26:34,2020-03-13
28,stock,102301000000.0,4460010.0,24.2,VNINDEX,24.2,24.2,18000.0,22.55,3854.0,VRE,14:26:24,2020-03-13
29,stock,101866000000.0,4442010.0,24.2,VNINDEX,24.2,24.2,21000.0,22.55,3854.0,VRE,14:26:18,2020-03-13
30,stock,101357000000.0,4421010.0,24.1,VNINDEX,24.2,24.1,500.0,22.55,3854.0,VRE,14:26:16,2020-03-13
31,stock,101345000000.0,4420510.0,24.2,VNINDEX,24.2,24.2,10.0,22.55,3854.0,VRE,14:26:00,2020-03-13
32,stock,101345000000.0,4420500.0,24.05,VNINDEX,24.2,24.05,20000.0,22.55,3854.0,VRE,14:25:54,2020-03-13
33,stock,100863000000.0,4400490.0,24.2,VNINDEX,24.2,24.2,18000.0,22.55,3854.0,VRE,14:25:53,2020-03-13
34,stock,100863000000.0,4400500.0,24.15,VNINDEX,24.2,24.15,10.0,22.55,3854.0,VRE,14:25:53,2020-03-13
35,stock,100427000000.0,4382490.0,24.2,VNINDEX,24.2,24.2,15000.0,22.55,3854.0,VRE,14:25:45,2020-03-13
36,stock,100064000000.0,4367490.0,24.2,VNINDEX,24.2,24.2,20000.0,22.55,3854.0,VRE,14:25:40,2020-03-13
37,stock,99580000000.0,4347490.0,24.15,VNINDEX,24.2,24.15,800.0,22.55,3854.0,VRE,14:25:21,2020-03-13
38,stock,99561000000.0,4346690.0,24.15,VNINDEX,24.2,24.15,9200.0,22.55,3854.0,VRE,14:25:11,2020-03-13
39,stock,99339000000.0,4337490.0,24.2,VNINDEX,24.2,24.2,10.0,22.55,3854.0,VRE,14:25:08,2020-03-13
40,stock,99339000000.0,4337480.0,24.15,VNINDEX,24.2,24.15,10.0,22.55,3854.0,VRE,14:25:03,2020-03-13
41,stock,99338000000.0,4337460.0,24.15,VNINDEX,24.2,24.15,100.0,22.55,3854.0,VRE,14:24:57,2020-03-13
42,stock,99338000000.0,4337470.0,24.2,VNINDEX,24.2,24.2,10.0,22.55,3854.0,VRE,14:24:57,2020-03-13
43,stock,99336000000.0,4337360.0,24.15,VNINDEX,24.2,24.15,200.0,22.55,3854.0,VRE,14:24:56,2020-03-13
44,stock,99331000000.0,4337160.0,24.2,VNINDEX,24.2,24.2,15000.0,22.55,3854.0,VRE,14:24:55,2020-03-13
45,stock,98968000000.0,4322160.0,24.15,VNINDEX,24.15,24.15,490.0,22.55,3854.0,VRE,14:24:46,2020-03-13
46,stock,98956000000.0,4321670.0,24.05,VNINDEX,24.05,24.05,5010.0,22.55,3854.0,VRE,14:24:38,2020-03-13
47,stock,98836000000.0,4316660.0,24.0,VNINDEX,24.0,24.0,1610.0,22.55,3854.0,VRE,14:24:11,2020-03-13
48,stock,98797000000.0,4315050.0,24.0,VNINDEX,24.0,24.0,210000.0,22.55,3854.0,VRE,14:24:05,2020-03-13
49,stock,93757000000.0,4105050.0,23.9,VNINDEX,23.9,23.9,8000.0,22.55,3854.0,VRE,14:24:03,2020-03-13
50,stock,93566000000.0,4097050.0,23.9,VNINDEX,23.9,23.9,1000.0,22.55,3854.0,VRE,14:23:46,2020-03-13
51,stock,93542000000.0,4096050.0,23.9,VNINDEX,23.9,23.9,240.0,22.55,3854.0,VRE,14:23:42,2020-03-13
52,stock,93536000000.0,4095810.0,23.9,VNINDEX,23.9,23.9,10.0,22.55,3854.0,VRE,14:23:27,2020-03-13
53,stock,93536000000.0,4095800.0,23.85,VNINDEX,23.85,23.85,10.0,22.55,3854.0,VRE,14:23:21,2020-03-13
54,stock,93536000000.0,4095790.0,23.85,VNINDEX,23.85,23.85,5540.0,22.55,3854.0,VRE,14:23:14,2020-03-13
55,stock,93404000000.0,4090250.0,23.8,VNINDEX,23.85,23.8,100.0,22.55,3854.0,VRE,14:23:09,2020-03-13
56,stock,93401000000.0,4090150.0,23.85,VNINDEX,23.85,23.85,10.0,22.55,3854.0,VRE,14:23:08,2020-03-13
57,stock,93401000000.0,4090140.0,23.8,VNINDEX,23.8,23.8,5440.0,22.55,3854.0,VRE,14:23:03,2020-03-13
58,stock,93272000000.0,4084700.0,23.75,VNINDEX,23.75,23.75,100.0,22.55,3854.0,VRE,14:23:03,2020-03-13
59,stock,93269000000.0,4084600.0,23.75,VNINDEX,23.75,23.75,5000.0,22.55,3854.0,VRE,14:22:40,2020-03-13
60,stock,93151000000.0,4079600.0,23.75,VNINDEX,23.75,23.75,5500.0,22.55,3854.0,VRE,14:22:36,2020-03-13
61,stock,93020000000.0,4074100.0,23.75,VNINDEX,23.75,23.75,5080.0,22.55,3854.0,VRE,14:22:35,2020-03-13
62,stock,92899000000.0,4069020.0,23.7,VNINDEX,23.7,23.7,150.0,22.55,3854.0,VRE,14:22:33,2020-03-13
63,stock,92896000000.0,4068870.0,23.7,VNINDEX,23.7,23.7,10050.0,22.55,3854.0,VRE,14:22:22,2020-03-13
64,stock,92658000000.0,4058820.0,23.65,VNINDEX,23.65,23.65,200.0,22.55,3854.0,VRE,14:22:12,2020-03-13
65,stock,92653000000.0,4058620.0,23.65,VNINDEX,23.65,23.65,500.0,22.55,3854.0,VRE,14:22:11,2020-03-13
66,stock,92641000000.0,4058120.0,23.65,VNINDEX,23.65,23.65,8990.0,22.55,3854.0,VRE,14:22:10,2020-03-13
67,stock,92428000000.0,4049130.0,23.65,VNINDEX,23.65,23.65,10.0,22.55,3854.0,VRE,14:22:09,2020-03-13
68,stock,92428000000.0,4049120.0,23.65,VNINDEX,23.65,23.65,1000.0,22.55,3854.0,VRE,14:22:07,2020-03-13
