,time,close,open,hight,low,volumes
0,1514851200,26.104,24.654,26.104,24.364,2903770
1,1514937600,25.911,26.104,26.153,25.621,2458110
2,1515024000,26.636,25.911,26.781,25.669,4424190
3,1515110400,26.491,26.588,26.636,26.056,1908830
4,1515369600,26.926,26.781,27.264,26.491,2053870
5,1515456000,26.491,26.926,27.023,25.137,4214750
6,1515542400,26.539,26.491,27.313,26.394,2817750
7,1515628800,26.684,26.588,26.829,26.249,1566970
8,1515715200,26.346,26.298,26.636,26.201,2484840
9,1515974400,26.394,26.153,26.781,25.863,1787190
10,1516060800,26.781,26.443,26.974,26.346,2368450
11,1516147200,26.104,26.781,27.168,26.104,2847680
12,1516233600,26.201,25.718,26.201,25.427,1833010
13,1516320000,26.008,26.298,26.394,25.718,3553540
14,1516579200,27.506,26.008,27.651,25.959,5040120
15,1516838400,29.391,28.135,29.391,27.845,7986250
16,1516924800,31.422,31.422,31.422,30.455,5677170
17,1517184000,33.452,31.905,33.597,31.905,4395390
18,1517270400,34.806,31.76,34.806,31.76,3283230
19,1517356800,33.065,35.966,36.014,33.065,1755870
20,1517443200,32.582,33.355,33.404,31.809,1894280
21,1517529600,32.582,32.195,33.162,32.002,1771520
22,1517788800,30.31,32.099,32.292,30.31,2790640
23,1517875200,28.231,28.231,29.778,28.231,3316700
24,1517961600,30.165,30.165,30.165,29.005,2058050
25,1518048000,31.132,30.165,31.712,30.165,2043470
26,1518134400,31.228,29.005,31.905,28.956,1800170
27,1518393600,33.404,31.905,33.404,31.422,2363270
28,1518480000,34.226,35.192,35.289,33.839,2458380
29,1519171200,36.159,34.806,36.594,34.419,2137010
30,1519257600,35.579,35.773,37.319,35.531,2856780
31,1519344000,35.869,35.773,36.256,34.709,3624350
32,1519603200,36.836,36.643,37.464,36.159,3516600
33,1519689600,36.884,36.836,37.513,36.353,2216610
34,1519776000,37.706,36.643,38.19,36.401,4521850
35,1519862400,36.546,37.319,38.286,36.256,2634150
36,1519948800,36.546,35.773,36.739,35.676,2378830
37,1520208000,34.032,36.981,37.126,34.032,2589100
38,1520294400,36.401,34.806,36.401,34.274,2525060
39,1520380800,36.256,36.739,36.836,35.676,2053190
40,1520467200,35.966,36.256,36.739,35.773,1132070
41,1520553600,36.014,36.256,36.739,35.773,2263330
42,1520812800,37.319,37.416,37.706,36.739,2014660
43,1520899200,37.9,37.319,37.9,36.739,1980080
44,1520985600,37.706,38.48,38.48,37.609,1996080
45,1521072000,40.317,37.706,40.317,37.416,3528060
46,1521158400,41.38,40.897,42.057,40.413,2628200
47,1521417600,40.317,41.573,41.67,39.833,2366180
48,1521504000,41.09,39.833,41.67,39.64,1866550
49,1521590400,42.057,42.057,42.347,41.187,1606790
50,1521676800,42.83,42.057,43.024,41.815,2525390
51,1521763200,40.945,42.057,42.154,40.027,3661530
52,1522022400,43.41,40.607,43.41,40.607,1932890
53,1522108800,42.637,44.474,45.054,42.637,2941390
54,1522195200,43.072,42.54,43.265,41.96,1672540
55,1522281600,42.54,43.072,43.217,42.347,896470
56,1522368000,41.96,42.347,42.492,41.235,2211040
57,1522627200,43.507,42.347,43.507,41.525,2610170
58,1522713600,43.604,43.797,44.281,43.217,1340170
59,1522800000,43.314,43.604,43.942,43.314,1511210
60,1522886400,42.54,43.314,43.314,42.299,1744010
61,1522972800,42.54,42.734,43.217,42.347,1469830
62,1523232000,42.927,42.83,43.507,41.96,2724810
63,1523318400,43.991,43.41,44.861,43.314,4181500
64,1523404800,43.024,45.247,45.247,42.54,2384910
65,1523491200,42.927,42.83,43.507,42.154,1816480
66,1523577600,40.607,43.024,43.314,40.317,3369270
67,1523836800,38.673,39.64,40.607,38.673,2207540
68,1523923200,40.51,38.673,40.51,38.383,2516280
69,1524009600,38.866,41.283,41.283,38.866,1196420
70,1524096000,36.739,38.866,39.06,36.546,2755020
71,1524182400,38.141,37.223,38.238,35.773,2415490
72,1524441600,35.482,38.48,39.301,35.482,3210890
73,1524528000,36.739,35.773,37.223,34.709,2503080
74,1524700800,35.289,36.546,37.223,34.322,2207270
75,1524787200,34.902,35.192,36.836,34.806,2026830
76,1525219200,32.485,35.482,35.676,32.485,1868640
