,time,close,open,hight,low,volumes
0,1325548800,35.993,35.152,35.993,34.398,108270
1,1325635200,35.908,36.076,36.076,35.404,41080
2,1325721600,34.23,34.817,35.823,34.23,27990
3,1325808000,32.553,34.313,34.313,32.553,157940
4,1326067200,30.957,31.881,31.881,30.957,147460
5,1326153600,32.468,30.455,32.468,30.455,114500
6,1326240000,34.063,33.559,34.063,33.139,32720
7,1326326400,35.739,35.739,35.739,35.739,79010
8,1326412800,37.501,37.501,37.501,37.501,74770
9,1326672000,36.914,39.18,39.348,36.076,258970
10,1326758400,38.76,38.173,38.76,37.334,166140
11,1326844800,40.69,40.27,40.69,39.852,67390
12,1326931200,42.368,41.111,42.368,40.69,40070
13,1327017600,41.949,44.045,44.466,41.949,133450
14,1327881600,44.045,40.69,44.045,40.439,127220
15,1327968000,43.627,44.885,45.724,43.627,161730
16,1328054400,44.045,43.627,44.045,42.788,136410
17,1328140800,46.143,45.304,46.143,44.045,66060
18,1328227200,46.982,48.241,48.241,46.982,223040
19,1328486400,46.982,46.982,47.819,44.885,79230
20,1328572800,49.079,46.982,49.079,46.143,97120
21,1328659200,50.338,50.338,51.177,49.499,121500
22,1328745600,49.499,50.338,50.338,49.079,95070
23,1328832000,48.241,49.499,49.499,47.819,132270
24,1329091200,46.143,46.982,47.402,46.143,215900
25,1329177600,46.143,44.466,46.982,44.045,177640
26,1329264000,45.304,46.143,46.143,44.466,63540
27,1329350400,44.466,45.304,46.143,44.466,149890
28,1329436800,46.563,45.724,46.563,45.724,45880
29,1329696000,48.66,48.66,48.66,48.66,50010
30,1329782400,48.66,50.757,50.757,48.66,356730
31,1329868800,50.338,48.66,50.338,48.66,80870
32,1329955200,50.757,51.177,51.177,49.079,153350
33,1330041600,50.338,52.016,52.016,50.338,158390
34,1330300800,49.079,50.338,51.177,49.079,185660
35,1330387200,47.819,48.66,50.338,47.819,115620
36,1330473600,46.143,46.982,47.819,45.724,452860
37,1330560000,48.241,47.402,48.241,46.143,91490
38,1330646400,50.338,49.499,50.338,48.66,103820
39,1330905600,52.854,52.016,52.854,52.016,160680
40,1330992000,50.338,53.693,54.114,50.338,218350
41,1331078400,51.177,50.757,51.177,49.499,216010
42,1331164800,49.079,49.499,50.338,49.079,169940
43,1331251200,49.499,49.079,49.918,48.66,79710
44,1331510400,51.596,51.596,51.596,51.177,103980
45,1331596800,54.114,54.114,54.114,54.114,148390
46,1331683200,56.631,56.631,56.631,56.631,83870
47,1331769600,59.148,59.148,59.148,56.631,546800
