,time,close,open,hight,low,volumes
0,1577923200,52.8,51.3,54.2,51.3,123270
1,1578009600,53.3,53.6,54.8,53.3,135390
2,1578268800,52.6,53.0,53.1,52.1,28890
3,1578355200,51.5,52.8,52.8,51.0,77310
4,1578441600,50.4,51.1,51.4,50.3,104260
5,1578528000,50.2,50.4,51.7,50.2,70230
6,1578614400,49.55,50.1,50.2,47.75,285310
7,1578873600,49.7,49.55,50.8,49.55,61630
8,1578960000,49.6,49.4,50.5,49.4,69340
9,1579046400,49.45,49.5,49.9,49.3,58970
10,1579132800,49.3,49.45,49.8,48.7,45110
11,1579219200,52.7,48.9,52.7,48.9,251890
12,1579478400,53.5,53.0,55.5,53.0,108300
13,1579564800,53.0,53.5,54.0,52.3,123630
14,1579651200,53.4,52.0,55.2,52.0,147520
15,1580342400,52.9,52.8,54.7,52.8,130320
16,1580428800,55.7,53.0,56.6,53.0,299400
17,1580688000,52.2,55.9,55.9,52.0,304180
18,1580774400,50.1,52.2,53.3,50.0,254790
19,1580860800,50.6,50.5,52.0,50.5,148880
20,1580947200,53.1,52.0,53.4,50.6,170980
21,1581033600,56.8,53.4,56.8,53.1,272130
22,1581292800,60.7,58.6,60.7,57.0,256350
23,1581379200,63.0,62.0,64.9,62.0,454660
24,1581465600,65.0,62.5,66.7,61.7,437870
25,1581552000,64.3,64.7,66.0,63.9,125260
26,1581638400,64.2,63.2,65.7,62.7,172420
27,1581897600,68.0,64.2,68.0,63.3,250230
28,1581984000,70.0,71.8,72.4,69.0,333580
29,1582070400,70.0,69.5,71.2,69.0,133290
30,1582156800,67.6,69.0,70.9,67.3,225110
31,1582243200,66.9,67.0,69.1,66.1,161430
32,1582502400,62.3,65.0,65.1,62.3,264160
33,1582588800,63.8,58.5,64.0,58.5,238120
34,1582675200,62.5,62.0,63.8,61.5,79240
35,1582761600,64.9,62.1,65.0,62.1,147910
36,1582848000,62.3,62.9,64.3,62.0,129600
37,1583107200,64.0,62.3,65.0,62.0,166400
38,1583193600,68.4,65.5,68.4,65.1,238760
39,1583280000,68.5,70.0,72.5,68.5,291500
40,1583366400,67.2,69.5,69.9,67.0,194510
41,1583452800,70.0,66.5,70.9,65.7,303280
42,1583712000,65.1,65.1,67.9,65.1,223240
43,1583798400,65.0,62.5,66.0,61.8,195980
44,1583884800,60.5,65.0,66.0,60.5,430810
45,1583971200,56.3,57.0,62.9,56.3,403670
46,1584057600,54.7,52.5,56.0,52.4,263780
