,time,close,open,hight,low,volumes
0,1262563200,12.81,12.431,12.81,12.225,273690
1,1262649600,13.057,13.263,13.263,12.933,412620
2,1262736000,12.471,12.431,12.727,12.431,395370
3,1262822400,12.266,12.308,12.389,12.266,175450
4,1262908800,12.143,12.431,12.431,12.143,258380
5,1263168000,12.266,12.225,12.266,12.101,237870
6,1263254400,12.06,12.348,12.348,12.06,247870
7,1263340800,12.06,12.06,12.225,11.813,190590
8,1263427200,12.06,12.225,12.225,12.06,77050
9,1263513600,12.018,12.018,12.143,12.018,199230
10,1263772800,11.853,12.018,12.018,11.853,143420
11,1263859200,11.978,12.018,12.018,11.936,101580
12,1263945600,11.607,12.018,12.018,11.607,96630
13,1264032000,11.607,11.853,11.853,11.607,191590
14,1264118400,11.607,11.607,11.648,11.525,135450
15,1264377600,11.772,11.607,11.772,11.607,130190
16,1264464000,12.018,11.978,12.018,11.813,120710
17,1264550400,11.648,11.69,11.813,11.648,47270
18,1264636800,11.813,11.648,11.853,11.607,154950
19,1264723200,11.607,11.813,11.813,11.607,101600
20,1264982400,11.565,11.607,11.813,11.565,38590
21,1265068800,11.565,11.483,11.607,11.483,52450
22,1265155200,11.525,11.565,11.607,11.525,93970
23,1265241600,11.607,11.607,11.607,11.525,88290
24,1265328000,11.483,11.525,11.607,11.483,99030
25,1265587200,11.4,11.4,11.4,11.269,116890
26,1265673600,11.311,11.4,11.4,11.311,51270
27,1265760000,11.525,11.525,11.525,11.483,46160
28,1265846400,12.018,12.018,12.018,12.018,148930
29,1265932800,12.018,12.101,12.101,11.936,103980
30,1266796800,12.389,12.389,12.389,12.018,265740
31,1266883200,12.431,12.389,12.431,12.225,523330
32,1266969600,12.85,12.471,12.85,12.348,717780
33,1267056000,12.975,12.85,12.975,12.554,729340
34,1267142400,13.428,12.85,13.428,12.768,1249980
35,1267401600,14.053,13.593,14.095,13.593,1230530
36,1267488000,13.428,13.798,13.881,13.428,553510
37,1267574400,13.18,13.428,13.428,12.85,407930
38,1267660800,13.428,13.18,13.633,13.18,336880
39,1267747200,13.057,13.263,13.428,13.057,291420
40,1268006400,13.015,13.057,13.057,12.85,627100
41,1268092800,13.263,12.85,13.263,12.85,304670
42,1268179200,13.263,13.345,13.386,13.221,306080
43,1268265600,12.975,13.057,13.263,12.933,116510
44,1268352000,13.015,12.975,13.057,12.933,166190
45,1268611200,12.85,13.057,13.139,12.85,248500
46,1268697600,12.348,12.431,12.81,12.348,364920
47,1268784000,11.772,12.183,12.348,11.772,883980
48,1268870400,11.978,11.813,11.978,11.813,1031040
49,1268956800,11.442,12.06,12.06,11.442,2030350
50,1269216000,11.978,11.978,11.978,11.978,194560
51,1269302400,12.101,12.225,12.348,12.06,297510
52,1269388800,12.018,12.101,12.143,11.936,292750
53,1269475200,11.69,11.772,11.772,11.565,386700
54,1269561600,11.978,11.69,11.978,11.648,372210
55,1269820800,11.978,11.813,11.978,11.772,161680
56,1269907200,11.73,11.936,11.936,11.73,69320
57,1269993600,11.607,11.648,11.813,11.607,138370
58,1270080000,11.73,11.648,11.73,11.607,87970
59,1270166400,11.69,11.895,11.895,11.69,146450
60,1270425600,11.69,11.936,11.936,11.69,222300
61,1270512000,11.813,11.69,11.853,11.69,241450
62,1270598400,11.772,11.853,11.853,11.772,80420
63,1270684800,11.69,11.772,11.772,11.648,120420
64,1270771200,11.69,11.69,11.73,11.69,146760
65,1271030400,12.018,12.018,12.018,12.018,341420
66,1271116800,11.813,11.978,11.978,11.813,245110
67,1271203200,11.73,11.813,11.813,11.69,90650
68,1271289600,11.772,11.772,11.813,11.772,114260
69,1271376000,11.69,11.813,11.813,11.69,75220
70,1271635200,11.607,11.69,11.69,11.565,138640
71,1271721600,11.565,11.525,11.69,11.525,154100
72,1271808000,11.607,11.565,11.607,11.565,138730
73,1271894400,11.772,11.648,11.936,11.648,194350
74,1272240000,11.73,11.813,11.895,11.73,158330
75,1272326400,11.73,11.772,11.813,11.69,156700
76,1272412800,11.73,11.772,11.772,11.69,79400
77,1272499200,11.73,11.607,11.73,11.607,207600
78,1272931200,12.101,11.853,12.143,11.73,579990
79,1273017600,11.895,12.018,12.018,11.853,151250
80,1273104000,11.813,11.813,11.895,11.772,98780
81,1273190400,11.648,11.607,11.69,11.565,226080
82,1273449600,11.483,11.565,11.565,11.442,314450
83,1273536000,11.525,11.69,11.69,11.483,124700
84,1273622400,11.4,11.525,11.525,11.4,219260
85,1273708800,11.525,11.4,11.525,11.4,169180
86,1273795200,11.4,11.4,11.565,11.4,115190
87,1274054400,11.186,11.4,11.4,11.186,246590
88,1274140800,11.145,11.186,11.186,11.063,186380
89,1274227200,10.816,11.104,11.104,10.775,196010
90,1274313600,11.104,10.775,11.104,10.775,195960
91,1274400000,10.733,10.775,10.981,10.733,336410
92,1274659200,10.898,10.775,10.981,10.775,112220
93,1274745600,10.898,10.898,10.981,10.858,96940
94,1274832000,10.898,10.898,10.981,10.898,231810
95,1274918400,11.145,10.898,11.145,10.898,152920
96,1275004800,11.186,11.186,11.311,11.186,76160
97,1275264000,11.186,11.186,11.186,11.145,143180
98,1275350400,11.145,11.022,11.186,11.022,279280
99,1275436800,11.022,11.145,11.145,11.022,72770
