,time,close,open,hight,low,volumes
0,1199232000,24.653,24.876,24.99,24.653,113410
1,1199318400,24.202,24.314,24.427,24.202,211160
2,1199404800,23.866,23.866,23.978,23.752,180890
3,1199664000,23.192,23.64,23.64,23.078,232200
4,1199750400,23.415,23.527,23.527,23.415,214660
5,1199836800,22.738,23.078,23.078,22.738,159580
6,1199923200,21.613,22.063,22.178,21.613,401090
7,1200009600,22.174,21.95,22.287,21.95,188290
8,1200268800,21.725,22.178,22.178,21.725,239760
9,1200355200,21.275,21.388,21.499,21.275,337320
10,1200441600,22.287,22.174,22.287,21.95,331740
11,1200528000,22.401,23.299,23.299,22.063,387040
12,1200614400,22.738,21.95,23.078,21.95,152330
13,1200873600,21.613,21.613,21.837,21.613,501440
14,1200960000,20.6,20.6,20.6,20.6,202800
15,1201046400,19.589,19.589,19.589,19.589,92540
16,1201132800,19.138,20.488,20.488,19.138,430040
17,1201219200,20.035,19.136,20.035,19.136,292790
18,1201478400,20.488,19.926,20.488,19.926,190060
19,1201564800,21.499,20.488,21.499,20.488,213390
20,1201651200,22.513,22.513,22.513,22.174,352990
21,1201737600,22.174,21.499,22.174,21.499,225620
22,1201824000,22.287,22.174,22.287,22.063,204640
23,1202774400,21.725,22.29,22.29,21.613,76750
24,1202860800,20.713,21.05,21.275,20.713,206500
25,1202947200,20.825,20.713,21.162,20.713,173150
26,1203033600,20.713,20.938,20.938,20.376,90890
27,1203292800,19.81,20.035,20.035,19.698,262900
28,1203379200,19.7,19.25,19.7,19.138,242480
29,1203465600,18.798,18.798,19.247,18.798,312060
30,1203552000,17.898,17.898,17.898,17.898,187680
31,1203638400,17.112,17.112,17.112,17.112,287230
32,1203897600,17.898,17.449,17.898,17.449,301820
33,1203984000,17.112,17.786,17.898,17.112,304670
34,1204070400,16.999,16.999,17.561,16.999,156900
35,1204156800,16.663,17.224,17.224,16.549,123600
36,1204243200,15.87,16.096,16.663,15.87,216820
37,1204502400,15.083,15.083,15.083,15.083,190060
38,1204588800,14.409,14.409,14.409,14.409,134790
39,1204675200,13.734,13.734,13.734,13.734,260000
40,1204761600,14.409,14.409,14.409,14.409,150750
41,1204848000,15.083,15.083,15.083,15.083,66860
42,1205107200,15.759,15.759,15.759,15.759,749480
43,1205193600,15.083,15.083,15.536,14.97,438330
44,1205280000,15.425,15.087,15.762,15.087,326740
45,1205366400,15.425,15.425,15.649,15.312,97870
46,1205452800,15.425,15.312,15.425,15.2,229600
47,1205712000,14.745,14.745,14.97,14.745,118510
48,1205798400,14.071,14.071,14.071,14.071,53240
49,1205884800,13.395,13.395,14.071,13.395,414330
50,1205971200,12.834,12.834,13.395,12.834,297440
51,1206057600,12.267,12.267,12.381,12.267,225440
52,1206316800,11.706,11.706,11.706,11.706,61590
53,1206403200,11.144,11.144,11.144,11.144,78260
54,1206489600,10.639,10.639,10.639,10.639,491820
55,1206576000,10.694,10.694,10.694,10.639,564730
56,1206662400,10.751,10.751,10.751,10.694,360310
57,1206921600,10.807,10.807,10.807,10.807,281820
58,1207008000,10.864,10.864,10.864,10.864,80650
59,1207094400,10.919,10.919,10.919,10.919,1820
60,1207180800,10.977,10.977,10.977,10.977,7660
61,1207267200,11.031,11.031,11.031,11.031,19260
62,1207526400,11.202,11.202,11.202,11.202,44420
63,1207612800,11.09,11.368,11.368,11.031,658080
64,1207699200,10.977,10.919,10.977,10.919,491500
65,1207785600,10.807,10.807,10.807,10.807,100200
66,1207872000,10.639,10.639,10.639,10.639,75550
67,1208304000,10.469,10.469,10.469,10.469,89940
68,1208390400,10.581,10.299,10.639,10.299,502070
69,1208476800,10.412,10.639,10.639,10.412,279560
70,1208736000,10.241,10.299,10.357,10.241,234320
71,1208822400,10.071,10.071,10.071,10.071,53530
72,1208908800,9.9,9.9,9.9,9.9,8870
73,1208995200,9.73,9.73,9.73,9.73,53300
74,1209081600,9.559,9.559,9.559,9.559,43420
75,1209340800,9.39,9.39,9.559,9.39,458890
76,1209427200,9.218,9.218,9.331,9.218,335710
77,1209945600,9.046,9.046,9.046,9.046,123490
78,1210032000,8.875,8.875,8.875,8.875,69790
79,1210118400,8.704,8.704,8.704,8.704,82390
80,1210204800,8.535,8.535,8.535,8.535,108670
81,1210291200,8.364,8.364,8.364,8.364,31710
82,1210550400,8.248,8.248,8.248,8.248,45450
83,1210636800,8.136,8.136,8.136,8.136,8790
84,1210723200,8.023,8.023,8.023,8.023,8580
85,1210809600,7.909,7.909,7.909,7.909,7980
86,1210896000,7.796,7.796,7.796,7.796,65920
87,1211155200,7.684,7.684,7.684,7.684,73740
88,1211241600,7.567,7.567,7.567,7.567,13570
89,1211328000,7.455,7.455,7.455,7.455,91850
