,time,close,open,hight,low,volumes
0,1357084800,26.894,26.686,26.894,26.619,90770
1,1357171200,26.894,26.894,27.238,26.757,1618510
2,1357257600,27.515,27.377,27.721,26.894,1318980
3,1357516800,27.515,27.584,27.79,27.515,701600
4,1357603200,28.133,27.446,28.546,27.307,871680
5,1357689600,27.653,28.411,28.756,27.515,1192690
6,1357776000,28.133,27.653,28.133,27.515,286010
7,1357862400,29.514,28.274,29.514,28.274,1009650
8,1358121600,30.479,29.514,30.964,29.443,504790
9,1358208000,29.858,30.479,30.479,29.721,476420
10,1358294400,30.133,29.788,30.55,29.788,1560150
11,1358380800,28.962,30.133,30.203,28.962,505310
12,1358467200,28.686,28.962,29.308,28.616,550040
13,1358726400,28.065,28.823,28.823,27.997,745790
14,1358812800,28.065,27.927,28.823,27.79,864580
15,1358899200,28.065,28.411,28.411,27.858,151470
16,1358985600,28.895,28.065,29.031,28.065,1013370
17,1359072000,30.892,29.103,30.892,28.962,976320
18,1359331200,31.376,32.411,33.03,31.376,868650
19,1359417600,31.376,31.169,32.203,30.964,831050
20,1359504000,31.72,31.927,32.754,31.446,422340
21,1359590400,30.824,31.72,31.72,30.824,409050
22,1359676800,31.031,30.686,31.031,30.272,354500
23,1359936000,31.72,31.72,32.341,31.446,373810
24,1360022400,31.376,31.72,31.86,31.238,264910
25,1360108800,31.927,31.376,31.927,31.376,472350
26,1360195200,31.86,32.135,32.135,31.72,373420
27,1360281600,32.203,31.927,32.203,31.585,365340
28,1361145600,32.203,32.547,32.547,31.996,346920
29,1361232000,31.72,32.203,32.203,31.72,647860
30,1361318400,31.996,31.86,32.275,31.791,699390
31,1361404800,31.72,32.203,33.03,31.72,899530
32,1361491200,31.791,31.86,32.275,31.585,689770
33,1361750400,31.927,32.203,32.203,31.791,109600
34,1361836800,31.031,31.996,31.996,30.755,556910
35,1361923200,31.791,31.031,31.791,30.479,365170
36,1362009600,31.72,31.86,31.996,31.513,183820
37,1362096000,31.927,31.72,32.341,31.72,314740
38,1362355200,31.513,31.996,32.135,31.513,264030
39,1362441600,31.169,31.169,31.513,31.031,89560
40,1362528000,31.653,31.376,31.653,31.169,39940
41,1362614400,31.446,31.653,31.72,31.446,233500
42,1362700800,31.446,31.099,31.72,31.099,35110
43,1362960000,31.446,31.513,31.72,31.238,85580
44,1363046400,31.585,31.72,31.86,31.446,235000
45,1363132800,31.585,31.653,31.653,31.446,199990
46,1363219200,31.585,31.446,31.653,31.238,156780
47,1363305600,31.513,31.585,31.791,31.513,200740
48,1363564800,32.411,31.72,32.618,31.653,429120
49,1363651200,33.788,32.411,33.926,32.411,533560
50,1363737600,35.513,34.271,35.858,33.788,419370
51,1363824000,34.48,35.513,35.513,34.41,540040
52,1363910400,34.825,34.48,36.202,34.41,671960
53,1364169600,34.48,35.513,35.858,34.41,472830
54,1364256000,34.41,34.48,35.169,34.41,255890
55,1364342400,35.858,34.41,35.858,34.136,707080
56,1364428800,36.547,35.513,37.927,35.513,2542170
57,1364515200,36.892,36.547,37.238,35.858,272890
58,1364774400,39.306,36.892,39.306,36.547,681350
59,1364860800,38.617,39.651,40.339,38.617,1627880
60,1364947200,37.927,38.961,39.306,37.238,811700
61,1365033600,36.202,37.927,37.927,36.202,1324870
62,1365120000,36.892,36.892,37.238,36.202,558450
63,1365379200,37.238,37.238,37.927,36.547,385390
64,1365465600,38.961,37.238,39.306,36.892,1379610
65,1365552000,37.927,39.306,41.373,37.927,2047410
66,1365638400,39.651,38.961,39.651,38.271,717170
67,1365724800,38.271,39.997,39.997,37.582,609040
68,1365984000,38.271,37.927,39.306,37.238,754530
69,1366070400,37.927,37.927,38.617,37.238,1118220
70,1366156800,38.271,38.617,38.617,37.582,348830
71,1366243200,37.238,37.927,37.927,36.892,355410
72,1366588800,36.547,37.238,37.582,36.202,601540
73,1366675200,37.238,37.238,37.582,36.202,657370
74,1366761600,37.582,37.582,37.582,37.238,80830
75,1366848000,37.238,37.582,37.927,36.892,262520
76,1366934400,36.547,37.238,37.238,36.547,490500
77,1367452800,36.547,36.892,37.238,36.547,368230
78,1367539200,36.547,36.547,37.238,36.547,227880
79,1367798400,38.271,36.892,38.271,36.892,655880
80,1367884800,37.238,37.927,38.617,37.238,568980
81,1367971200,37.582,37.582,37.927,37.238,496180
82,1368057600,37.582,37.927,38.271,37.582,1022500
83,1368144000,37.927,38.617,39.306,37.927,1786950
84,1368403200,37.582,38.271,38.617,37.582,905960
85,1368489600,37.927,37.582,37.927,37.238,497120
86,1368576000,38.278,38.278,38.63,37.575,872370
87,1368662400,38.63,38.278,38.98,37.927,697960
88,1368748800,38.278,38.63,38.63,37.927,433180
89,1369008000,38.63,38.278,38.98,37.927,1118620
90,1369094400,40.032,38.98,40.736,38.98,1279930
91,1369180800,40.032,40.032,40.736,39.683,690060
92,1369267200,40.736,40.032,41.792,39.683,1244050
93,1369353600,41.087,40.736,41.087,40.032,552490
94,1369612800,42.842,41.439,43.545,41.439,916500
95,1369699200,43.545,42.842,43.897,42.842,866820
96,1369785600,42.492,43.545,44.247,42.492,1182130
97,1369872000,43.194,42.492,43.194,41.792,682440
98,1369958400,42.492,43.897,43.897,42.492,880170
99,1370217600,42.141,42.842,42.842,42.141,522950
100,1370304000,41.439,42.492,42.492,41.439,826790
101,1370390400,42.492,41.792,42.492,41.439,572030
102,1370476800,43.545,42.492,43.545,42.141,1128010
103,1370563200,45.302,43.545,46.005,43.545,784140
104,1370822400,44.598,45.302,46.005,44.598,727410
105,1370908800,43.897,44.247,44.598,43.545,793070
106,1370995200,43.897,43.545,44.598,43.545,437990
107,1371081600,43.897,43.897,44.247,43.194,691010
108,1371168000,43.545,44.598,44.598,43.545,275840
109,1371427200,42.141,43.897,43.897,42.141,865660
110,1371513600,41.792,42.141,42.492,41.439,673760
111,1371600000,42.492,42.492,42.842,42.141,177920
112,1371686400,41.792,42.141,42.492,41.439,458210
113,1371772800,41.792,41.439,42.141,41.087,263500
114,1372032000,40.736,42.141,42.141,40.032,576700
