,time,close,open,hight,low,volumes
0,1546387200,28.2,30.3,30.3,28.2,723350
1,1546473600,28.15,28.95,29.0,28.1,1222860
2,1546560000,29.0,28.3,29.0,28.0,1129350
3,1546819200,28.9,29.0,29.5,28.5,727640
4,1546905600,28.5,28.9,28.95,28.0,1063470
5,1546992000,28.9,28.6,29.1,28.6,1246940
6,1547078400,29.0,28.95,29.1,28.95,1859370
7,1547164800,29.2,29.0,29.5,28.95,2231760
8,1547424000,29.1,29.2,29.4,28.9,715340
9,1547510400,29.2,29.2,29.25,28.95,717930
10,1547596800,29.2,29.2,29.2,28.9,895390
11,1547683200,28.9,29.2,29.2,28.9,998480
12,1547769600,29.1,29.0,29.4,28.9,1417600
13,1548028800,29.65,29.15,29.7,29.1,1233280
14,1548115200,30.1,29.7,30.35,29.7,1369310
15,1548201600,30.0,30.0,30.3,29.95,850650
16,1548288000,29.95,30.0,30.15,29.7,725150
17,1548374400,29.95,30.0,30.1,29.8,891440
18,1548633600,30.0,29.95,30.1,29.8,876970
19,1548720000,30.0,30.0,30.05,29.85,934570
20,1548806400,30.0,30.0,30.05,29.85,768110
21,1548892800,30.5,30.1,30.5,30.1,762510
22,1548979200,30.5,30.5,30.6,30.3,1336610
23,1549843200,30.65,30.6,30.7,30.4,1150140
24,1549929600,31.1,30.65,31.3,30.6,1889530
25,1550016000,31.2,31.15,31.5,31.1,1299260
26,1550102400,30.8,31.1,31.25,30.6,944710
27,1550188800,30.4,30.8,30.8,30.2,1126100
28,1550448000,30.6,30.4,30.65,30.15,1482140
29,1550534400,30.0,30.6,30.6,29.75,1535000
30,1550620800,29.7,30.0,30.0,29.7,840490
31,1550707200,29.8,29.7,29.95,29.4,1427590
32,1550793600,30.1,29.8,30.5,29.65,1237000
33,1551052800,31.0,30.2,31.1,30.2,1776680
34,1551139200,30.65,31.0,31.05,30.45,1122230
35,1551225600,30.6,30.65,30.75,30.5,951480
36,1551312000,30.0,30.6,30.6,30.0,1478660
37,1551398400,30.4,30.0,30.45,30.0,963400
38,1551657600,30.4,30.4,30.6,30.2,1085020
39,1551744000,30.7,30.4,30.85,30.3,1303000
40,1551830400,30.7,30.75,31.0,30.5,1108670
41,1551916800,30.7,30.7,30.85,30.4,1620040
42,1552003200,30.4,30.45,30.6,30.0,1212760
43,1552262400,30.4,30.5,30.5,30.1,626150
44,1552348800,30.9,30.4,31.0,30.3,1505510
45,1552435200,31.0,30.9,31.25,30.9,2043280
46,1552521600,30.9,31.0,31.05,30.7,1310490
47,1552608000,31.8,30.9,31.95,30.85,3064820
48,1552867200,31.8,31.9,32.3,31.65,1392510
49,1552953600,31.9,31.8,32.35,31.8,1696390
50,1553040000,31.75,31.8,31.9,31.0,931480
51,1553126400,31.0,31.75,31.95,30.95,972860
52,1553212800,31.0,31.0,31.4,30.8,1239450
53,1553472000,30.3,30.3,30.7,30.05,1271210
54,1553558400,30.3,30.3,30.65,30.2,1421400
55,1553644800,30.35,30.35,30.55,30.05,1492830
56,1553731200,30.15,30.2,30.7,30.0,1479130
57,1553817600,30.0,30.0,30.2,29.75,1153030
58,1554076800,29.55,30.0,30.05,29.5,1097250
59,1554163200,28.8,29.6,29.7,28.5,1518730
60,1554249600,28.25,28.5,28.55,28.15,1140200
61,1554336000,29.2,28.5,29.25,28.5,1613920
62,1554422400,29.25,29.1,29.25,28.9,1364970
63,1554681600,28.9,29.1,29.15,28.75,1065960
64,1554768000,28.75,28.9,29.25,28.45,1880540
65,1554854400,28.1,28.55,28.6,28.0,1714100
66,1554940800,27.95,28.2,28.3,27.95,1056670
67,1555027200,27.7,27.95,28.05,27.5,1429660
68,1555372800,28.6,27.65,28.6,27.5,1465250
69,1555459200,28.5,28.7,28.85,28.5,1064030
70,1555545600,28.1,28.3,28.4,27.9,1155030
71,1555632000,28.1,28.1,28.15,27.85,938990
72,1555891200,28.1,28.2,28.2,27.7,1243600
73,1555977600,28.25,28.2,28.4,27.95,1394220
74,1556064000,28.35,28.3,28.4,28.15,1127760
75,1556150400,28.1,28.4,28.4,27.75,1239480
76,1556236800,28.1,28.25,28.3,28.0,944690
77,1556755200,28.05,28.2,28.2,27.8,1303850
78,1556841600,28.0,28.05,28.1,27.6,1351590
79,1557100800,27.3,27.85,27.85,27.2,992700
80,1557187200,26.1,27.3,27.45,26.1,1855910
81,1557273600,26.3,26.0,26.3,25.6,2118830
82,1557360000,26.75,26.3,26.75,26.05,1578090
83,1557446400,27.2,26.8,27.5,26.55,1642950
84,1557705600,27.6,27.2,27.6,26.7,3370690
