,time,close,open,hight,low,volumes
0,1230854400,2.315,2.351,2.351,2.307,134370
1,1231113600,2.293,2.315,2.315,2.269,256230
2,1231200000,2.329,2.299,2.351,2.299,309090
3,1231286400,2.405,2.388,2.426,2.374,674740
4,1231372800,2.366,2.351,2.397,2.344,429640
5,1231459200,2.374,2.374,2.388,2.366,386190
6,1231718400,2.374,2.366,2.374,2.351,183960
7,1231804800,2.338,2.359,2.359,2.329,248290
8,1231891200,2.338,2.315,2.382,2.315,242350
9,1231977600,2.329,2.322,2.338,2.322,128320
10,1232064000,2.322,2.329,2.344,2.315,121720
11,1232323200,2.293,2.322,2.322,2.293,161320
12,1232409600,2.285,2.291,2.291,2.277,142670
13,1232496000,2.246,2.277,2.285,2.246,142920
14,1232582400,2.277,2.277,2.277,2.262,49000
15,1232668800,2.299,2.262,2.307,2.262,47300
16,1233532800,2.24,2.291,2.299,2.224,177770
17,1233619200,2.195,2.224,2.224,2.188,225590
18,1233705600,2.121,2.143,2.21,2.098,299130
19,1233792000,2.038,2.09,2.098,2.03,258840
20,1233878400,2.076,2.06,2.076,2.038,252900
21,1234137600,2.173,2.165,2.173,2.121,285260
22,1234224000,2.232,2.165,2.277,2.143,424390
23,1234310400,2.218,2.173,2.255,2.173,149060
24,1234396800,2.218,2.24,2.262,2.21,101770
25,1234483200,2.202,2.218,2.218,2.202,96380
26,1234742400,2.157,2.165,2.195,2.149,145900
27,1234828800,2.068,2.127,2.127,2.054,348500
28,1234915200,2.002,1.985,2.032,1.985,313300
29,1235001600,2.024,2.054,2.068,1.993,224180
30,1235088000,2.002,2.015,2.015,1.979,103500
31,1235347200,1.904,1.948,1.957,1.904,283270
32,1235433600,1.815,1.822,1.828,1.815,247630
33,1235520000,1.904,1.904,1.904,1.874,435400
34,1235606400,1.866,1.904,1.904,1.828,133030
35,1235692800,1.904,1.837,1.934,1.837,141910
36,1235952000,1.904,1.859,1.941,1.859,91560
37,1236038400,1.843,1.843,1.851,1.822,145370
38,1236124800,1.859,1.837,1.866,1.837,96250
39,1236211200,1.904,1.904,1.912,1.882,264880
40,1236297600,1.904,1.866,1.918,1.866,117880
41,1236556800,1.896,1.882,1.918,1.882,213640
42,1236643200,1.963,1.926,1.971,1.904,504350
43,1236729600,2.045,2.06,2.06,2.015,491160
44,1236816000,1.971,2.002,2.03,1.957,335990
45,1236902400,1.957,1.979,1.993,1.957,164060
46,1237161600,2.03,1.948,2.03,1.941,446610
47,1237248000,2.121,2.03,2.121,2.03,849700
48,1237334400,2.18,2.18,2.202,2.157,799130
49,1237420800,2.076,2.127,2.195,2.076,701350
50,1237507200,2.054,2.038,2.098,2.038,276060
51,1237766400,2.045,2.06,2.06,2.002,559280
52,1237852800,2.143,2.143,2.143,2.135,534140
53,1237939200,2.246,2.127,2.246,2.127,1676890
54,1238025600,2.359,2.359,2.359,2.322,996360
55,1238112000,2.388,2.471,2.471,2.388,1523200
56,1238371200,2.322,2.285,2.405,2.285,538620
57,1238457600,2.293,2.315,2.322,2.24,618570
58,1238544000,2.405,2.359,2.405,2.307,847700
59,1238630400,2.524,2.463,2.524,2.426,1062630
60,1238716800,2.643,2.643,2.643,2.627,537550
61,1239062400,2.769,2.643,2.769,2.612,1364750
62,1239148800,2.649,2.732,2.888,2.649,1417720
63,1239235200,2.649,2.688,2.688,2.591,1086980
64,1239321600,2.778,2.778,2.778,2.778,195030
65,1239580800,2.911,2.911,2.911,2.911,151470
66,1239667200,2.979,2.911,2.979,2.838,2152950
67,1239753600,2.86,2.949,3.083,2.86,1460240
68,1239840000,3.002,3.002,3.002,2.888,1684390
69,1239926400,2.911,2.911,3.046,2.852,1301350
70,1240185600,2.778,2.778,2.838,2.769,1613290
71,1240272000,2.911,2.643,2.911,2.643,1637550
72,1240358400,3.053,3.053,3.053,2.941,1489450
73,1240444800,3.024,3.061,3.128,3.024,943540
74,1240531200,2.994,2.933,2.994,2.888,753580
75,1240790400,2.949,2.994,3.024,2.927,795590
76,1240876800,2.986,2.949,3.024,2.941,775550
77,1240963200,3.008,2.994,3.008,2.972,948860
78,1241395200,3.158,3.158,3.158,3.158,258290
79,1241481600,3.314,3.314,3.314,3.314,422480
80,1241568000,3.434,3.285,3.434,3.165,4340760
81,1241654400,3.605,3.483,3.605,3.425,1688560
82,1241740800,3.65,3.622,3.77,3.605,1572660
83,1242000000,3.717,3.733,3.77,3.658,1762600
84,1242086400,3.845,3.733,3.845,3.592,1505900
85,1242172800,3.846,4.004,4.082,3.846,1908130
86,1242259200,3.658,3.502,3.658,3.479,1865670
87,1242345600,3.808,3.733,3.808,3.666,1441850
88,1242604800,3.695,3.622,3.808,3.622,800090
89,1242691200,3.733,3.845,3.845,3.695,1306750
90,1242777600,3.919,3.919,3.919,3.845,4389840
91,1242864000,3.808,3.919,3.919,3.77,1063470
92,1242950400,3.695,3.695,3.77,3.658,1222050
93,1243209600,3.845,3.77,3.845,3.733,1047770
94,1243296000,3.733,3.845,3.882,3.733,1098870
95,1243382400,3.695,3.733,3.77,3.688,1206770
96,1243468800,3.568,3.584,3.688,3.561,1033500
97,1243555200,3.622,3.658,3.658,3.524,851340
98,1243814400,3.77,3.733,3.77,3.672,943620
99,1243900800,3.919,3.956,3.956,3.882,2225330
100,1243987200,3.919,3.919,3.956,3.845,1219760
101,1244073600,4.068,3.956,4.105,3.956,1857260
102,1244160000,4.255,4.255,4.255,4.218,7228260
103,1244419200,4.442,4.442,4.442,4.405,2532860
104,1244505600,4.628,4.628,4.628,4.442,2708700
105,1244592000,4.405,4.479,4.517,4.405,2680320
106,1244678400,4.592,4.517,4.592,4.367,2548860
107,1244764800,4.442,4.74,4.74,4.405,2074070
108,1245024000,4.255,4.255,4.405,4.255,2049850
109,1245110400,4.068,4.068,4.181,4.068,1935800
110,1245196800,4.255,3.956,4.255,3.956,2246710
111,1245283200,4.292,4.367,4.367,4.144,1179120
112,1245369600,4.292,4.405,4.405,4.218,2081940
113,1245628800,4.105,4.181,4.218,4.105,1718880
114,1245715200,3.919,3.919,4.031,3.919,2826180
115,1245801600,4.105,4.105,4.105,4.068,815830
116,1245888000,4.144,4.292,4.292,4.105,1756550
117,1245974400,4.218,4.144,4.218,4.105,854380
118,1246233600,4.218,4.218,4.292,4.181,1019420
119,1246320000,4.031,4.255,4.255,4.031,1444550
120,1246406400,3.919,3.882,3.995,3.845,1350880
121,1246492800,4.068,3.995,4.105,3.919,1068280
122,1246579200,4.105,4.031,4.105,3.995,753950
123,1246838400,4.292,4.181,4.292,4.144,1281640
124,1246924800,4.218,4.255,4.331,4.181,841980
125,1247011200,4.218,4.218,4.255,4.181,766510
126,1247097600,4.255,4.218,4.292,4.181,553520
127,1247184000,4.144,4.218,4.255,4.105,789030
128,1247443200,4.031,4.105,4.105,3.995,637410
129,1247529600,3.995,4.031,4.031,3.919,697720
130,1247616000,4.068,4.068,4.144,4.031,425680
131,1247702400,4.105,4.181,4.181,4.068,569320
132,1247788800,4.105,4.105,4.181,4.068,472240
133,1248048000,3.995,3.995,4.031,3.956,437790
134,1248134400,4.031,4.031,4.105,3.995,566010
135,1248220800,4.105,4.144,4.144,4.031,682720
136,1248307200,4.255,4.105,4.255,4.068,899630
137,1248393600,4.442,4.442,4.442,4.442,793230
138,1248652800,4.592,4.592,4.628,4.405,2731330
139,1248739200,4.405,4.553,4.592,4.367,1137800
140,1248825600,4.331,4.442,4.517,4.331,965360
141,1248912000,4.255,4.255,4.331,4.181,678040
142,1248998400,4.442,4.367,4.442,4.292,1044120
143,1249257600,4.405,4.405,4.479,4.367,671750
144,1249344000,4.479,4.479,4.479,4.405,1020380
145,1249430400,4.553,4.442,4.553,4.405,1138690
146,1249516800,4.553,4.553,4.666,4.553,1700250
147,1249603200,4.628,4.553,4.628,4.553,1077290
148,1249862400,4.815,4.703,4.853,4.666,1247550
149,1249948800,5.039,4.778,5.039,4.778,1717240
150,1250035200,5.115,5.115,5.189,5.039,1159280
151,1250121600,5.189,5.151,5.226,5.115,1365350
152,1250208000,5.115,5.115,5.189,5.076,1330390
153,1250467200,5.039,5.076,5.115,5.002,1338920
154,1250553600,5.039,5.002,5.115,4.965,1184350
155,1250640000,5.189,5.151,5.189,5.076,782570
156,1250726400,5.189,5.226,5.226,5.151,747250
157,1250812800,5.189,5.262,5.375,5.189,1463830
158,1251072000,5.262,5.189,5.301,5.189,1032460
159,1251158400,5.189,5.226,5.301,5.189,978780
160,1251244800,5.189,5.226,5.262,5.151,914610
161,1251331200,5.151,5.189,5.226,5.151,720670
162,1251417600,5.226,5.189,5.226,5.151,605860
163,1251676800,5.189,5.301,5.301,5.189,1464500
164,1251763200,5.189,5.151,5.226,5.151,1055280
165,1251936000,5.151,5.115,5.226,5.115,715120
166,1252022400,5.039,5.189,5.189,5.039,992060
167,1252281600,5.002,5.039,5.039,4.853,864620
168,1252368000,5.226,5.076,5.226,5.076,1052940
169,1252454400,5.451,5.487,5.487,5.338,2937040
170,1252540800,5.375,5.375,5.487,5.338,940690
171,1252627200,5.301,5.412,5.412,5.301,1125240
172,1252886400,5.262,5.262,5.338,5.226,1261790
173,1252972800,5.226,5.301,5.301,5.151,1499430
174,1253059200,5.151,5.226,5.262,5.151,1508880
175,1253145600,5.151,5.151,5.189,5.076,1239650
176,1253232000,5.151,5.115,5.189,5.115,1041030
177,1253491200,5.375,5.262,5.375,5.262,3473740
178,1253577600,5.375,5.524,5.524,5.375,2063940
179,1253664000,5.524,5.524,5.637,5.487,2862390
180,1253750400,5.451,5.524,5.599,5.412,1703610
181,1253836800,5.412,5.375,5.487,5.375,1434430
182,1254096000,5.375,5.487,5.487,5.375,1801270
183,1254182400,5.412,5.412,5.451,5.338,1876300
184,1254268800,5.338,5.451,5.451,5.338,879360
185,1254355200,5.226,5.338,5.375,5.226,1161970
186,1254441600,5.076,5.076,5.151,4.965,2132700
187,1254700800,5.039,5.151,5.189,5.002,1168410
188,1254787200,5.039,5.076,5.115,5.002,881250
189,1254873600,5.262,5.076,5.262,5.076,1175660
190,1254960000,5.262,5.262,5.301,5.189,692310
191,1255046400,5.338,5.375,5.375,5.262,754780
192,1255305600,5.487,5.412,5.524,5.301,2136880
193,1255392000,5.338,5.451,5.487,5.338,802630
194,1255478400,5.524,5.338,5.599,5.338,1594380
195,1255564800,5.637,5.749,5.749,5.599,1985730
196,1255651200,5.487,5.637,5.673,5.487,1699760
197,1255910400,5.487,5.562,5.562,5.451,1058700
198,1255996800,5.599,5.562,5.637,5.562,1193130
199,1256083200,5.712,5.599,5.712,5.562,1769760
200,1256169600,5.973,5.973,5.973,5.899,2444950
201,1256256000,6.085,6.271,6.271,6.085,3326630
202,1256515200,6.047,6.235,6.309,6.01,1987380
203,1256601600,5.935,5.973,5.973,5.749,2253900
204,1256688000,5.86,5.973,5.973,5.824,1007300
205,1256774400,5.749,5.86,5.86,5.599,3021360
206,1256860800,5.749,5.824,5.899,5.673,1799490
207,1257120000,5.487,5.487,5.524,5.487,1329940
208,1257206400,5.262,5.451,5.451,5.226,2877530
209,1257292800,5.151,5.262,5.375,5.076,1363890
210,1257379200,5.189,5.151,5.262,5.076,1504470
211,1257465600,5.076,5.301,5.301,5.076,1019470
212,1257724800,4.853,5.002,5.039,4.853,863630
213,1257811200,4.666,4.853,4.889,4.628,1349750
214,1257897600,4.889,4.778,4.889,4.592,1003180
215,1257984000,5.076,4.965,5.115,4.889,1490540
216,1258070400,5.189,4.965,5.189,4.965,1298010
217,1258329600,5.039,5.151,5.226,5.039,662860
218,1258416000,5.002,5.039,5.115,4.965,662490
219,1258502400,5.226,5.002,5.226,4.965,938130
220,1258588800,5.375,5.262,5.412,5.189,1220610
221,1258675200,5.226,5.262,5.375,5.189,652620
222,1258934400,5.002,5.151,5.189,5.002,778690
223,1259020800,4.928,4.965,5.039,4.853,913900
224,1259107200,4.703,4.815,4.815,4.703,1231450
225,1259193600,4.479,4.479,4.628,4.479,872660
226,1259280000,4.442,4.255,4.703,4.255,1064450
227,1259539200,4.628,4.479,4.628,4.479,724110
228,1259625600,4.778,4.703,4.853,4.703,881590
229,1259712000,4.666,4.666,4.853,4.628,861010
230,1259798400,4.628,4.666,4.703,4.517,768240
231,1259884800,4.592,4.703,4.703,4.517,816890
232,1260144000,4.592,4.592,4.628,4.517,398370
233,1260230400,4.479,4.553,4.592,4.479,328390
234,1260316800,4.255,4.331,4.331,4.255,1009340
