,time,close,open,hight,low,volumes
0,1483401600,9.313,9.212,9.415,9.178,354170
1,1483488000,9.212,9.415,9.415,9.212,408430
2,1483574400,9.143,9.212,9.212,9.143,491670
3,1483660800,9.313,9.212,9.381,9.143,510600
4,1483920000,9.279,9.313,9.347,9.279,282940
5,1484006400,9.279,9.313,9.313,9.245,264760
6,1484092800,9.313,9.279,9.347,9.279,298930
7,1484179200,9.381,9.347,9.482,9.347,624630
8,1484265600,9.313,9.415,9.415,9.313,238250
9,1484524800,9.245,9.313,9.313,9.212,162840
10,1484611200,9.583,9.347,9.583,9.347,2058150
11,1484697600,9.482,9.617,9.617,9.482,436170
12,1484784000,9.415,9.55,9.55,9.381,401040
13,1484870400,9.415,9.482,9.482,9.381,461340
14,1485129600,9.347,9.381,9.482,9.347,399380
15,1485216000,9.55,9.347,9.55,9.347,459610
16,1485302400,9.583,9.55,9.583,9.482,677410
17,1485993600,9.617,9.583,9.617,9.516,379300
18,1486080000,9.583,9.617,9.686,9.55,603770
19,1486339200,9.55,9.583,9.583,9.449,257350
20,1486425600,9.482,9.583,9.617,9.482,671750
21,1486512000,9.583,9.583,9.583,9.482,366590
22,1486598400,9.651,9.55,9.651,9.55,550440
23,1486684800,9.583,9.651,9.651,9.583,212660
24,1486944000,9.753,9.686,9.787,9.651,938710
25,1487030400,9.686,9.821,9.821,9.686,577900
26,1487116800,9.821,9.686,9.821,9.686,534490
27,1487203200,9.889,9.855,10.058,9.855,940230
28,1487289600,9.99,9.889,9.99,9.855,504390
29,1487548800,9.923,9.956,9.99,9.923,558160
30,1487635200,9.923,9.923,9.956,9.889,627760
31,1487721600,9.923,9.923,9.956,9.821,940560
32,1487808000,10.029,10.099,10.099,9.923,667670
33,1487894400,9.993,9.887,10.064,9.887,354590
34,1488153600,9.957,9.887,9.993,9.887,290650
35,1488240000,9.887,9.957,9.957,9.852,434370
36,1488326400,9.852,9.957,9.957,9.782,265700
37,1488412800,9.817,9.852,9.887,9.747,201630
38,1488499200,9.747,9.747,9.852,9.677,173460
39,1488758400,9.852,9.817,9.923,9.817,267720
40,1488844800,9.852,9.852,9.852,9.817,264120
41,1488931200,9.957,9.852,9.957,9.782,576870
42,1489017600,10.276,9.957,10.382,9.923,2206040
43,1489104000,10.17,10.276,10.489,10.17,1217530
44,1489363200,10.382,10.17,10.382,10.099,902800
45,1489449600,10.346,10.382,10.418,10.276,759180
46,1489536000,10.241,10.312,10.346,10.241,355820
47,1489622400,10.241,10.241,10.312,10.206,635060
48,1489708800,10.241,10.206,10.346,10.206,736360
49,1489968000,10.63,10.312,10.806,10.312,3093190
50,1490054400,10.877,10.665,10.911,10.63,3512830
51,1490140800,10.877,10.911,10.947,10.841,2632970
52,1490227200,10.877,10.841,10.911,10.736,1778350
53,1490313600,11.053,10.877,11.158,10.877,2046070
54,1490572800,10.911,11.053,11.158,10.877,1025710
55,1490659200,10.841,10.911,10.947,10.806,1252120
56,1490745600,10.806,10.806,10.841,10.665,1310100
57,1490832000,10.981,10.77,11.088,10.77,940860
58,1490918400,10.841,10.981,10.981,10.77,492910
59,1491177600,10.911,10.736,10.911,10.665,1053100
60,1491264000,10.911,10.911,10.947,10.841,1077960
61,1491350400,10.877,10.947,11.018,10.877,906800
62,1491523200,10.841,10.806,10.877,10.77,395600
63,1491782400,10.806,10.77,10.841,10.77,336270
64,1491868800,11.053,10.806,11.088,10.77,1291140
65,1491955200,10.841,11.053,11.053,10.841,613140
66,1492041600,10.947,10.947,10.981,10.806,479970
67,1492128000,10.736,10.911,10.911,10.665,1070820
68,1492387200,10.665,10.877,10.877,10.665,976370
69,1492473600,10.736,10.665,10.736,10.523,521880
70,1492560000,10.594,10.665,10.665,10.559,254420
71,1492646400,10.594,10.559,10.665,10.559,365920
72,1492732800,10.665,10.665,10.736,10.594,297740
73,1492992000,10.559,10.594,10.63,10.559,645890
74,1493078400,10.523,10.523,10.559,10.453,758000
75,1493164800,10.63,10.559,10.806,10.523,779060
76,1493251200,10.736,10.736,10.877,10.63,1341720
77,1493337600,11.158,10.736,11.194,10.736,2269460
78,1493769600,11.865,11.158,11.865,11.158,4157830
79,1493856000,11.654,11.865,11.865,11.618,2198570
80,1493942400,11.794,11.583,12.006,11.583,2259900
81,1494201600,11.583,11.794,11.83,11.583,1798200
82,1494288000,11.759,11.583,11.794,11.583,1147100
83,1494374400,11.935,11.723,12.148,11.723,3075660
84,1494460800,11.935,11.935,12.006,11.83,967050
85,1494547200,11.794,11.935,11.935,11.794,1151560
86,1494806400,11.654,11.794,11.794,11.654,1878850
87,1494892800,11.654,11.654,11.83,11.618,1524400
88,1494979200,11.689,11.618,11.723,11.618,982720
89,1495065600,12.148,11.723,12.289,11.723,4708440
90,1495152000,12.537,12.218,12.537,12.218,3450580
91,1495411200,12.924,12.607,13.136,12.572,3030910
92,1495497600,12.431,12.713,12.889,12.431,3328940
93,1495584000,13.279,12.431,13.279,12.431,6046650
94,1495670400,13.49,13.631,13.914,13.419,5165180
95,1495756800,13.737,13.419,13.843,13.419,2157830
96,1496016000,13.56,13.737,13.843,13.526,2785230
97,1496102400,13.419,13.56,13.771,13.349,3230310
98,1496188800,13.313,13.419,13.56,13.279,2081840
99,1496275200,13.49,13.419,13.526,13.313,1197560
100,1496361600,13.419,13.56,13.595,13.349,962630
101,1496620800,13.49,13.56,13.737,13.455,1883840
102,1496707200,13.701,13.49,13.737,13.49,1494260
103,1496793600,14.303,13.878,14.337,13.878,5870170
104,1496880000,14.161,14.303,14.443,14.09,2318370
105,1496966400,14.161,14.161,14.337,14.125,1527200
106,1497225600,14.019,14.161,14.231,14.019,1751690
107,1497312000,14.055,13.984,14.196,13.737,3093530
108,1497398400,14.373,14.125,14.443,14.09,2980340
109,1497484800,14.196,14.373,14.443,14.125,1653670
110,1497571200,14.267,14.161,14.337,14.125,1845630
111,1497830400,14.655,14.267,14.726,14.231,2811560
112,1497916800,15.115,14.761,15.185,14.761,3609770
113,1498003200,15.467,15.115,15.467,14.655,4909800
114,1498089600,15.326,15.256,15.75,15.256,2404840
115,1498176000,15.185,15.185,15.256,14.972,2162290
116,1498435200,15.326,15.079,15.467,15.008,1959590
117,1498521600,15.326,15.326,15.431,15.185,1212530
118,1498608000,15.397,15.22,15.397,15.185,1070020
119,1498694400,15.75,15.537,15.82,15.431,2200730
120,1498780800,15.75,15.75,16.068,15.75,2209720
121,1499040000,15.714,15.891,15.926,15.68,1489400
122,1499126400,15.537,15.714,15.714,15.397,2803570
123,1499212800,15.362,15.467,15.537,15.185,3363150
124,1499299200,15.397,15.503,15.503,15.326,1754800
125,1499385600,15.115,15.362,15.467,15.079,3173960
