,time,close,open,hight,low,volumes
0,1451865600,27.933,27.757,28.464,27.58,396020
1,1451952000,27.933,27.933,27.933,27.404,98210
2,1452038400,27.757,27.757,27.933,27.58,76610
3,1452124800,26.874,27.58,27.58,26.52,222750
4,1452211200,26.52,26.696,26.874,25.812,97350
5,1452470400,26.166,26.343,26.52,25.812,96610
6,1452556800,26.52,25.812,26.52,25.812,72520
7,1452643200,26.343,26.696,26.696,26.343,58300
8,1452729600,25.989,25.989,26.166,25.636,177250
9,1452816000,25.636,25.989,25.989,25.636,103340
10,1453075200,24.398,25.458,25.458,23.867,222550
11,1453161600,25.105,24.398,25.105,24.221,86980
12,1453248000,24.751,25.105,25.105,24.574,49190
13,1453334400,24.398,24.751,24.751,24.221,65230
14,1453420800,24.044,24.398,24.751,23.691,94540
15,1453680000,25.458,25.105,25.458,24.574,175000
16,1453766400,25.105,25.105,25.281,24.751,59150
17,1453852800,25.281,25.105,25.281,24.928,55080
18,1453939200,24.751,25.281,25.281,24.751,32570
19,1454025600,25.458,24.751,25.458,24.751,149010
20,1454284800,25.458,25.105,25.636,25.105,105090
21,1454371200,25.458,25.281,25.636,25.281,51310
22,1454457600,25.458,25.105,25.458,25.105,38030
23,1454544000,25.458,25.458,25.812,25.458,46320
24,1454630400,25.989,25.458,25.989,25.458,41110
25,1455494400,25.636,25.458,25.812,25.281,41340
26,1455580800,25.636,25.636,25.636,25.281,79510
27,1455667200,25.458,25.636,25.812,25.458,91360
28,1455753600,26.343,25.458,26.52,25.458,133790
29,1455840000,26.166,26.52,26.52,26.166,52460
30,1456099200,26.874,26.343,26.874,26.343,132720
31,1456185600,27.227,27.227,27.58,27.05,265520
32,1456272000,27.404,27.227,27.58,26.874,61870
33,1456358400,26.874,27.404,27.58,26.874,197130
34,1456444800,26.696,26.874,27.227,26.696,137910
35,1456704000,26.52,27.05,27.05,26.52,140520
36,1456790400,26.696,26.52,26.874,26.52,109110
37,1456876800,27.933,26.696,27.933,26.696,393160
38,1456963200,27.933,27.933,27.933,27.757,86750
39,1457049600,28.11,27.757,28.641,27.58,339340
40,1457308800,27.933,28.11,28.287,27.757,132110
41,1457395200,27.757,27.933,28.11,27.58,107410
42,1457481600,27.58,27.58,27.933,27.58,109120
43,1457568000,27.933,27.58,27.933,27.58,105310
44,1457654400,28.11,27.933,28.287,27.757,210430
45,1457913600,28.11,28.287,28.464,27.933,90150
46,1458000000,28.11,28.11,28.11,27.757,113840
47,1458086400,27.227,27.933,27.933,27.227,298870
48,1458172800,27.227,27.404,27.58,26.874,195920
49,1458259200,27.227,27.227,27.404,27.05,79290
50,1458518400,27.58,27.58,27.933,27.404,177050
51,1458604800,27.227,27.58,27.757,27.227,73360
52,1458691200,27.58,27.404,27.58,27.227,81460
53,1458777600,27.757,27.757,27.933,27.404,166690
54,1458864000,27.757,27.757,27.933,27.58,93810
55,1459123200,27.58,27.933,27.933,27.58,85470
56,1459209600,27.404,27.404,27.757,27.227,101140
57,1459296000,27.227,27.05,27.404,27.05,30870
58,1459382400,26.696,27.227,27.404,26.696,59990
59,1459468800,26.696,26.874,26.874,26.52,76360
60,1459728000,26.52,26.696,26.874,26.52,34900
61,1459814400,26.874,26.52,26.874,26.52,35210
62,1459900800,26.696,26.874,27.05,26.52,33560
63,1459987200,26.874,26.874,27.05,26.696,44780
64,1460073600,27.05,26.874,27.227,26.696,101900
65,1460332800,27.227,27.05,27.404,27.05,96990
66,1460419200,27.05,27.227,27.404,26.874,41990
67,1460505600,26.874,26.874,27.227,26.696,32250
68,1460592000,26.696,26.696,26.874,26.52,65170
69,1460678400,26.874,26.343,27.05,26.343,82180
70,1461024000,26.166,26.874,26.874,26.166,56650
71,1461110400,26.166,25.989,26.166,25.812,49000
72,1461196800,26.166,26.166,26.166,25.812,27270
73,1461283200,26.166,25.812,26.343,25.812,29540
74,1461542400,27.227,27.227,27.227,26.696,135550
75,1461628800,27.05,27.227,27.404,27.05,110320
76,1461715200,26.874,26.874,27.227,26.696,49610
77,1461801600,26.874,26.874,26.874,26.52,40980
78,1461888000,26.52,26.52,26.874,26.52,37930
79,1462320000,27.404,26.52,27.933,26.52,322850
80,1462406400,27.757,27.58,27.757,27.227,341280
