,time,close,open,hight,low,volumes
0,1546387200,64.5,64.5,64.5,62.8,478860
1,1546473600,63.0,63.9,63.9,62.7,629490
2,1546560000,63.2,62.5,63.5,61.0,626290
3,1546819200,62.0,62.5,63.0,61.1,721650
4,1546905600,57.7,62.0,62.0,57.7,621630
5,1546992000,58.8,57.8,60.0,53.7,1165350
6,1547078400,59.2,58.0,59.8,58.0,470210
7,1547164800,59.3,58.5,59.8,58.5,627520
8,1547424000,58.1,58.5,58.7,56.9,717640
9,1547510400,58.1,57.5,58.4,56.9,573010
10,1547596800,57.5,57.7,58.1,56.8,475490
11,1547683200,56.8,57.1,57.5,56.8,396210
12,1547769600,57.0,56.8,57.5,56.8,324670
13,1548028800,57.1,57.0,57.4,56.9,354580
14,1548115200,56.9,57.2,57.3,56.2,535670
15,1548201600,57.2,56.9,57.2,56.5,453150
16,1548288000,57.1,57.1,57.3,56.7,412780
17,1548374400,57.0,57.1,57.4,56.0,352410
18,1548633600,57.1,57.0,57.2,56.8,421070
19,1548720000,57.4,57.1,57.4,56.7,508370
20,1548806400,57.1,57.0,57.3,56.9,394750
21,1548892800,56.6,57.0,57.2,56.3,554770
22,1548979200,56.7,56.6,56.9,55.8,571270
23,1549843200,57.5,56.8,57.9,56.7,440830
24,1549929600,57.5,57.5,57.8,57.3,426710
25,1550016000,57.5,57.5,57.8,57.1,456420
26,1550102400,57.9,57.6,59.2,57.5,656330
27,1550188800,57.5,57.9,58.3,57.5,511960
28,1550448000,57.9,57.5,58.2,57.5,583930
29,1550534400,58.0,57.9,58.2,57.8,634820
30,1550620800,58.1,57.8,58.2,57.8,424150
31,1550707200,58.3,58.1,58.3,57.8,720560
32,1550793600,58.4,58.4,59.1,58.0,592190
33,1551052800,59.8,58.5,61.3,58.5,735710
34,1551139200,59.4,60.5,61.2,59.4,443700
35,1551225600,59.6,59.4,60.5,59.4,652490
36,1551312000,57.5,60.0,60.7,57.5,1361480
37,1551398400,59.2,57.1,59.2,57.1,495790
38,1551657600,59.5,59.2,60.0,58.6,500190
39,1551744000,58.8,59.3,59.7,58.5,536160
40,1551830400,57.0,58.8,58.8,56.6,880920
41,1551916800,57.4,57.0,57.9,57.0,472630
42,1552003200,57.5,57.0,58.7,57.0,445530
43,1552262400,60.1,58.0,60.6,58.0,662430
44,1552348800,62.5,60.2,62.5,60.2,1139030
45,1552435200,61.2,62.5,62.8,61.0,359170
46,1552521600,61.9,61.0,62.1,60.5,394680
47,1552608000,59.9,62.0,62.6,59.9,2531220
48,1552867200,59.2,60.2,61.0,59.0,428600
49,1552953600,58.4,59.3,59.5,58.2,413930
50,1553040000,58.3,58.5,59.2,58.3,434440
51,1553126400,57.0,58.0,58.8,57.0,493820
52,1553212800,57.4,57.2,57.9,56.9,409030
53,1553472000,56.4,56.0,57.0,56.0,522710
54,1553558400,56.6,56.4,57.1,56.4,530190
55,1553644800,56.8,57.0,57.4,56.6,417910
56,1553731200,56.2,56.9,57.6,56.2,534170
57,1553817600,55.8,56.3,57.0,55.6,972430
58,1554076800,55.5,56.0,56.6,55.2,752930
59,1554163200,55.8,55.7,56.0,55.3,465220
60,1554249600,56.2,55.4,56.8,55.4,420450
61,1554336000,56.3,56.5,56.9,56.3,430400
62,1554422400,56.9,56.5,57.2,56.5,303290
63,1554681600,57.1,57.2,57.5,57.0,421280
64,1554768000,56.6,57.2,57.4,56.5,339610
65,1554854400,56.6,56.5,57.1,56.2,375930
66,1554940800,56.7,56.7,57.0,56.6,351620
67,1555027200,56.0,56.7,57.0,56.0,457630
68,1555372800,55.9,55.5,56.1,55.0,393490
69,1555459200,56.2,55.9,56.7,55.7,405960
70,1555545600,56.4,56.0,56.9,55.5,438370
71,1555632000,57.2,56.5,57.2,56.5,327400
