,time,close,open,hight,low,volumes
0,1577923200,56.5,56.1,57.1,55.4,380760
1,1578009600,57.1,56.6,58.1,56.6,586600
2,1578268800,57.3,58.0,58.0,57.1,497990
3,1578355200,56.5,57.5,57.5,56.4,290780
4,1578441600,55.7,57.0,57.0,55.6,237220
5,1578528000,56.2,55.7,56.3,55.7,128140
6,1578614400,55.7,56.2,56.5,55.7,135340
7,1578873600,55.9,55.7,56.2,55.6,166780
8,1578960000,55.5,55.8,55.8,55.2,94530
9,1579046400,55.4,55.5,55.5,54.7,176290
10,1579132800,55.7,55.5,56.1,55.2,176180
11,1579219200,56.2,56.0,56.8,56.0,128190
12,1579478400,56.0,56.2,56.4,55.7,265570
13,1579564800,56.9,56.4,57.0,56.3,605240
14,1579651200,57.3,56.9,57.7,56.9,392620
15,1580342400,55.4,56.0,56.8,55.4,314560
16,1580428800,53.0,55.7,55.7,53.0,672920
17,1580688000,51.0,49.55,51.4,49.3,594560
18,1580774400,50.7,51.8,52.0,50.0,578180
19,1580860800,51.5,50.8,52.0,50.8,186410
20,1580947200,52.0,51.5,52.3,51.2,547380
21,1581033600,51.8,52.3,52.5,51.7,345610
22,1581292800,51.6,51.3,51.8,50.7,357180
23,1581379200,52.8,51.6,52.8,51.5,427820
24,1581465600,52.9,52.8,53.1,52.8,637550
25,1581552000,53.3,52.8,53.8,52.8,506100
26,1581638400,53.3,53.3,53.7,53.2,612290
27,1581897600,53.1,53.3,53.4,52.7,371440
28,1581984000,52.8,53.0,53.0,52.6,254370
29,1582070400,52.9,52.9,53.3,52.8,337410
30,1582156800,53.2,53.3,53.5,53.1,292760
31,1582243200,52.8,53.4,53.4,52.8,288010
32,1582502400,50.6,51.5,52.0,50.3,441450
33,1582588800,50.8,50.4,51.0,50.1,282590
34,1582675200,50.1,50.7,50.7,50.1,290260
35,1582761600,51.2,50.1,51.2,50.1,238530
36,1582848000,51.6,50.2,52.1,50.2,290640
37,1583107200,50.8,51.6,51.6,50.8,135280
38,1583193600,50.3,51.0,51.5,50.3,241940
39,1583280000,50.3,50.3,50.6,50.2,149030
40,1583366400,50.3,50.7,50.8,50.3,165440
41,1583452800,49.7,50.2,50.2,49.6,167080
42,1583712000,46.25,46.25,48.0,46.25,262470
43,1583798400,43.8,43.05,45.0,43.05,518640
44,1583884800,40.9,44.8,44.8,40.75,385470
45,1583971200,38.05,40.0,40.0,38.05,465400
46,1584057600,36.15,35.4,38.0,35.4,845640
