,time,close,open,hight,low,volumes
0,1483401600,31.495,31.401,31.59,31.306,44950
1,1483488000,31.59,31.401,31.638,31.306,30070
2,1483574400,31.638,31.873,31.873,31.638,27000
3,1483660800,32.534,31.638,32.534,31.638,167450
4,1483920000,33.006,32.582,33.006,32.534,90680
5,1484006400,32.959,32.959,33.006,32.722,48550
6,1484092800,32.772,32.866,33.006,32.772,64810
7,1484179200,32.772,32.818,33.006,32.772,63440
8,1484265600,32.628,32.772,32.772,32.628,35430
9,1484524800,32.488,32.818,32.818,32.11,57800
10,1484611200,32.394,32.534,32.582,32.345,47100
11,1484697600,32.534,32.488,32.582,32.439,40940
12,1484784000,32.534,32.439,32.722,32.439,80660
13,1484870400,32.534,32.534,32.772,32.345,10420
14,1485129600,32.534,32.534,32.534,32.345,15390
15,1485216000,32.394,32.488,32.534,31.732,38470
16,1485302400,32.582,32.345,32.722,32.345,35390
17,1485993600,33.291,32.582,33.384,32.582,47710
18,1486080000,33.101,33.101,33.338,33.053,43460
19,1486339200,33.621,33.196,33.716,33.101,188310
20,1486425600,34.282,33.951,34.565,33.669,177980
21,1486512000,34.47,34.47,35.085,34.425,138730
22,1486598400,34.188,34.47,34.897,34.188,111830
23,1486684800,34.991,34.235,35.368,34.188,188290
24,1486944000,35.651,35.226,35.699,34.943,168530
25,1487030400,35.462,35.887,35.887,35.179,107530
26,1487116800,35.368,35.414,35.651,35.179,59030
27,1487203200,35.037,35.462,36.029,35.037,161120
28,1487289600,35.414,35.037,35.414,34.565,145080
29,1487548800,37.02,35.509,37.02,35.509,254450
30,1487635200,36.69,37.162,37.73,36.69,100290
31,1487721600,36.312,36.831,37.02,36.076,123850
32,1487808000,35.793,36.359,36.359,35.414,125470
33,1487894400,35.981,35.651,36.123,35.414,80800
34,1488153600,36.596,36.123,36.69,35.699,118130
35,1488240000,35.414,36.596,37.54,35.414,142760
36,1488326400,35.651,35.414,36.123,35.179,96930
37,1488412800,35.934,35.651,36.123,35.651,36160
38,1488499200,36.264,35.65,36.502,35.651,98530
39,1488758400,36.029,36.264,36.831,36.029,65930
40,1488844800,36.123,36.029,36.502,35.887,66940
41,1488931200,36.737,36.123,36.737,36.029,100020
42,1489017600,37.257,36.831,37.492,36.596,291250
43,1489104000,37.115,37.304,37.587,36.831,151140
44,1489363200,36.596,37.115,37.115,36.264,46100
45,1489449600,36.737,36.69,36.831,36.407,95460
46,1489536000,36.218,36.831,36.831,36.076,194590
47,1489622400,35.793,36.218,36.312,35.793,140210
48,1489708800,35.981,35.793,36.218,35.651,89680
49,1489968000,36.312,36.312,36.312,35.887,66420
50,1490054400,36.312,36.312,36.312,35.934,23010
51,1490140800,35.226,36.264,36.264,35.226,81070
52,1490227200,35.179,35.226,35.509,35.131,112910
53,1490313600,35.226,35.179,35.32,35.131,46910
54,1490572800,34.8,35.226,35.226,34.8,103690
55,1490659200,34.8,34.754,34.943,34.565,61470
56,1490745600,35.699,34.8,35.839,34.754,55510
57,1490832000,35.414,35.887,36.123,35.226,23220
58,1490918400,35.793,35.839,35.839,35.414,30220
59,1491177600,34.991,35.699,35.793,34.943,89640
60,1491264000,34.991,34.991,35.179,34.897,63730
61,1491350400,34.943,35.274,35.274,34.943,18620
62,1491523200,35.131,34.943,35.179,34.897,39660
63,1491782400,35.887,35.32,35.981,35.179,79280
64,1491868800,36.312,36.029,36.312,35.699,73580
65,1491955200,36.312,36.359,36.831,35.981,89170
66,1492041600,36.596,36.312,36.783,36.312,112230
67,1492128000,36.076,36.973,36.973,35.651,78000
68,1492387200,35.32,36.123,36.123,35.179,42350
69,1492473600,35.604,35.32,35.651,35.179,46470
70,1492560000,38.059,36.596,38.059,36.264,561970
71,1492646400,39.004,39.901,39.901,38.719,353550
72,1492732800,39.664,39.003,39.664,38.39,248780
