,time,close,open,hight,low,volumes
0,1547424000,15.6,15.7,15.8,15.3,5012350
1,1547510400,15.7,15.65,15.8,15.35,2169510
2,1547596800,15.6,15.7,15.7,15.55,2143250
3,1547683200,15.6,15.55,15.7,15.45,2113620
4,1547769600,15.2,15.5,15.55,15.2,1448780
5,1548028800,15.35,15.2,15.55,14.8,1817190
6,1548115200,15.5,15.35,15.55,15.35,1768140
7,1548201600,15.5,15.5,15.5,15.35,977240
8,1548288000,15.4,15.4,15.5,15.35,517110
9,1548374400,15.4,15.4,15.4,15.3,435200
10,1548633600,15.75,15.4,15.85,15.4,3064880
11,1548720000,16.3,15.8,16.4,15.65,4980230
12,1548806400,16.8,16.3,17.35,16.3,7552940
13,1548892800,16.45,16.8,16.95,16.4,2362380
14,1548979200,16.55,16.35,16.7,16.35,1619200
15,1549843200,16.95,16.65,17.1,16.65,3752380
16,1549929600,16.9,17.0,17.0,16.85,2686510
17,1550016000,16.85,16.9,16.9,16.7,3916110
18,1550102400,16.85,16.8,17.2,16.7,5089900
19,1550188800,16.75,16.95,17.0,16.75,3055960
20,1550448000,17.5,16.85,17.5,16.85,8489990
21,1550534400,16.95,17.5,17.6,16.9,3702110
22,1550620800,16.55,16.9,17.0,16.55,3391290
23,1550707200,16.45,16.5,16.8,16.35,4536990
24,1550793600,16.2,16.45,16.55,15.95,5377940
25,1551052800,16.4,16.2,16.5,16.2,1893470
26,1551139200,16.25,16.4,16.45,16.15,1675950
27,1551225600,16.4,16.25,16.5,16.25,1365590
28,1551312000,16.1,16.45,16.45,16.1,1692050
29,1551398400,16.7,16.1,16.7,16.05,2603830
30,1551657600,16.45,16.8,16.95,16.45,2024920
31,1551744000,16.8,16.6,17.1,16.45,3907610
32,1551830400,16.85,16.9,17.05,16.65,2418960
33,1551916800,16.95,16.9,17.0,16.7,1974070
34,1552003200,16.7,16.8,16.8,16.6,1326590
35,1552262400,16.35,16.7,16.7,16.15,2640560
36,1552348800,16.35,16.55,16.7,16.2,3079800
37,1552435200,16.5,16.7,16.75,16.5,2715120
38,1552521600,16.6,16.55,16.6,16.45,1449750
39,1552608000,16.3,16.6,16.6,16.3,1643500
40,1552867200,15.8,16.3,16.3,15.6,5694310
41,1552953600,15.55,15.8,16.1,15.5,2644790
42,1553040000,15.85,15.55,16.15,15.25,4660610
43,1553126400,15.3,15.95,16.0,15.3,2162840
44,1553212800,15.5,15.3,15.65,15.3,2211480
45,1553472000,14.9,15.1,15.25,14.85,3191830
46,1553558400,14.85,15.15,15.15,14.8,1539410
