,time,close,open,hight,low,volumes
0,1483401600,87.727,87.5,87.803,86.97,1738230
1,1483488000,88.257,87.954,88.333,87.651,1881210
2,1483574400,88.939,88.485,89.015,88.257,1577030
3,1483660800,89.62,89.015,89.696,89.015,1601860
4,1483920000,89.62,89.62,89.696,89.242,2374110
5,1484006400,90.151,89.62,90.227,89.62,1601430
6,1484092800,90.909,90.227,90.985,90.151,1731550
7,1484179200,91.515,91.06,91.59,90.909,1604210
8,1484265600,92.272,91.59,92.348,91.59,1642010
9,1484524800,92.954,92.424,93.03,92.272,2007790
10,1484611200,93.711,93.105,93.787,93.03,1567500
11,1484697600,94.394,93.863,94.47,93.711,1582950
12,1484784000,95.075,94.545,95.151,94.47,2058800
13,1484870400,95.833,95.151,95.909,95.151,1728760
14,1485129600,96.59,95.985,96.666,95.909,1599570
15,1485216000,97.272,96.666,97.348,96.666,1413390
16,1485302400,98.105,97.348,98.181,97.348,1812690
17,1485993600,98.787,98.181,98.863,98.181,1514630
18,1486080000,99.62,98.863,99.696,98.863,1887620
19,1486339200,100.303,99.696,100.378,99.696,2155880
20,1486425600,101.06,100.454,101.136,100.378,2165770
21,1486512000,101.742,101.136,101.818,101.136,1765780
22,1486598400,102.575,101.818,102.651,101.742,2348410
23,1486684800,103.333,102.727,103.409,102.651,2736470
24,1486944000,104.014,103.787,104.09,103.409,2377350
25,1487030400,104.924,104.544,104.999,104.014,2625520
26,1487116800,105.605,104.999,105.681,104.924,2649600
27,1487203200,106.363,105.757,106.439,105.605,2581460
28,1487289600,107.196,106.514,107.272,106.363,3018760
29,1487548800,107.954,107.424,108.029,107.196,2862130
30,1487635200,108.711,108.029,108.787,108.029,2867010
31,1487721600,109.544,108.939,109.62,108.787,3026400
32,1487808000,110.303,109.62,110.378,109.62,3076690
33,1487894400,111.136,110.378,111.211,110.303,3217740
34,1488153600,111.969,111.211,112.044,111.136,2794150
35,1488240000,112.803,112.196,112.878,111.969,3070460
36,1488326400,113.711,112.954,113.863,112.803,3552720
37,1488412800,114.696,113.939,114.772,113.711,2965200
38,1488499200,115.681,114.772,115.757,114.696,3657580
39,1488758400,123.711,121.211,123.711,117.272,4125110
40,1488844800,127.272,126.59,127.348,125.075,4151370
41,1488931200,126.514,124.318,126.59,124.242,4485740
42,1489017600,128.029,126.894,128.105,126.514,4088180
43,1489104000,129.696,128.181,129.772,128.105,3768730
44,1489363200,131.287,129.772,131.363,129.696,3815330
45,1489449600,132.953,131.742,133.029,131.287,4014000
46,1489536000,134.696,133.257,134.772,132.953,4080830
47,1489622400,130.378,127.272,132.575,127.272,5630310
48,1489708800,121.287,130.453,131.59,121.287,3350990
49,1489968000,114.772,113.636,115.909,113.636,5890690
50,1490054400,115.681,114.848,115.757,114.772,3623560
51,1490140800,116.666,115.909,116.742,115.681,3871610
52,1490227200,117.575,116.742,117.651,116.666,3461580
53,1490313600,118.56,117.651,118.635,117.651,3566000
54,1490572800,120.075,118.939,120.151,118.711,4612550
55,1490659200,121.439,120.378,121.514,120.227,2848730
56,1490745600,121.287,119.848,121.363,119.848,4501470
57,1490832000,122.802,121.439,122.878,121.363,3934070
58,1490918400,124.318,122.954,124.394,122.878,3406900
59,1491177600,125.909,124.999,125.984,124.469,5284980
60,1491264000,125.909,124.242,125.984,124.166,4822790
61,1491350400,127.044,125.984,127.12,125.984,3276480
62,1491523200,128.257,127.348,128.333,127.12,4476390
63,1491782400,128.105,127.802,128.181,126.363,6106090
64,1491868800,129.166,128.181,129.242,128.105,3175170
65,1491955200,130.302,129.241,130.378,129.166,4777120
66,1492041600,130.302,128.181,130.378,128.105,7403790
67,1492128000,131.06,128.863,131.135,128.787,4523690
68,1492387200,125.833,129.999,131.893,125.757,7549060
69,1492473600,121.969,121.211,122.044,119.772,7519520
70,1492560000,122.348,122.044,122.424,120.454,4374690
71,1492646400,123.105,121.666,123.181,121.211,4494390
72,1492732800,123.484,123.105,123.56,121.287,8609850
73,1492992000,123.484,122.12,123.56,122.044,4891750
74,1493078400,124.242,123.484,124.318,122.424,4905490
75,1493164800,121.287,123.484,123.939,121.287,7113930
76,1493251200,121.969,121.211,122.044,119.772,4728130
77,1493337600,122.727,121.969,122.802,121.287,4132570
78,1493769600,121.59,121.287,121.666,119.014,7406020
79,1493856000,121.969,119.848,122.044,119.772,5271510
80,1493942400,122.348,120.454,122.424,120.151,4990660
81,1494201600,121.287,121.969,121.969,118.257,9292440
82,1494288000,121.363,121.287,121.439,118.333,5295610
83,1494374400,121.439,119.696,121.514,118.409,4716680
84,1494460800,121.514,118.711,121.59,118.484,9781190
85,1494547200,122.727,119.696,122.727,118.56,6069320
86,1494806400,121.287,119.166,121.363,118.257,5919840
87,1494892800,121.439,118.409,121.514,118.257,9423280
88,1494979200,121.666,121.439,121.742,119.014,6699990
89,1495065600,119.014,118.939,119.09,115.984,6889590
90,1495152000,117.044,115.984,117.12,113.711,9341320
91,1495411200,108.863,115.909,115.909,108.863,4552700
92,1495497600,101.287,101.287,103.787,101.287,4074780
93,1495584000,95.454,94.242,95.53,94.242,6188420
94,1495670400,96.59,95.53,96.666,95.454,5253030
