,time,close,open,hight,low,volumes
0,1546387200,242.851,261.103,261.103,242.851,46990
1,1546473600,239.629,242.851,248.902,227.623,98800
2,1546560000,237.384,240.118,240.118,229.478,8540
3,1546819200,238.165,237.384,242.069,235.237,12270
4,1546905600,238.165,237.384,238.165,233.382,11600
5,1546992000,238.165,238.165,242.069,233.284,25150
6,1547078400,234.261,234.846,237.97,233.578,28560
7,1547164800,234.261,234.261,234.749,230.454,38820
8,1547424000,234.261,236.7,236.7,232.211,45290
9,1547510400,233.87,232.308,234.163,232.308,23500
10,1547596800,233.284,232.601,235.237,232.308,30300
11,1547683200,228.892,232.308,235.041,228.892,41400
12,1547769600,228.892,228.892,231.722,228.795,14340
13,1548028800,228.892,231.528,231.528,228.892,4770
14,1548115200,228.209,229.38,229.38,226.94,14570
15,1548201600,228.209,228.209,228.892,226.55,16500
16,1548288000,227.429,229.185,229.38,226.452,35920
17,1548374400,227.429,226.452,228.306,225.573,26850
18,1548633600,227.429,227.429,229.185,225.476,24370
19,1548720000,227.429,228.892,228.892,225.573,18620
20,1548806400,227.429,227.429,229.185,226.159,36010
21,1548892800,227.429,227.429,227.916,226.55,21200
22,1548979200,227.429,227.429,229.185,225.476,80480
23,1549843200,227.721,228.404,228.6,225.867,42810
24,1549929600,232.113,233.284,233.284,227.916,11200
25,1550016000,230.454,232.113,232.211,229.575,118000
26,1550102400,232.308,232.308,232.308,230.356,123270
27,1550188800,232.699,233.773,234.066,231.43,48220
28,1550448000,234.261,233.187,234.261,233.187,19000
29,1550534400,235.237,233.284,236.408,232.308,25550
30,1550620800,238.165,233.284,238.165,233.284,39420
31,1550707200,242.069,238.165,242.069,238.165,24550
32,1550793600,241.093,242.069,242.753,241.093,14040
33,1551052800,241.874,241.093,241.874,240.118,31140
34,1551139200,241.093,240.118,242.069,240.118,26360
35,1551225600,241.581,242.069,242.069,240.118,7770
36,1551312000,234.261,239.434,241.581,234.261,31930
37,1551398400,236.213,230.649,240.118,230.649,31250
38,1551657600,236.213,234.261,239.629,233.284,44090
39,1551744000,237.677,238.653,238.946,234.358,10220
40,1551830400,238.067,234.651,239.141,234.261,22910
41,1551916800,235.334,236.213,237.091,234.749,25340
42,1552003200,239.141,237.091,239.141,235.237,29050
43,1552262400,239.141,239.141,240.41,235.823,20340
44,1552348800,245.973,239.141,246.559,238.848,42620
45,1552435200,248.902,243.339,251.83,229.283,54140
46,1552521600,246.95,246.95,251.342,245.973,26120
47,1552608000,247.731,248.902,248.902,241.874,40550
48,1552867200,239.239,244.119,247.731,239.239,75530
49,1552953600,242.069,239.239,243.534,239.239,37320
50,1553040000,243.534,239.141,244.022,239.141,17820
51,1553126400,243.436,244.9,244.998,239.727,17670
52,1553212800,244.998,239.141,244.998,239.141,30810
53,1553472000,242.851,244.022,244.022,239.141,5640
54,1553558400,244.802,242.851,244.9,241.289,41590
55,1553644800,244.802,244.802,244.998,241.386,12020
56,1553731200,244.022,244.802,244.802,241.679,8320
57,1553817600,243.728,245.876,245.876,241.093,122590
58,1554076800,243.728,244.412,244.412,241.581,23050
59,1554163200,240.118,245.095,245.095,240.118,21890
60,1554249600,240.995,242.655,242.655,239.532,1200
61,1554336000,243.826,240.995,244.802,240.215,38740
62,1554422400,242.069,241.191,244.705,241.191,13040
63,1554681600,243.436,243.924,243.924,242.069,2390
64,1554768000,239.239,240.703,243.436,239.239,22770
65,1554854400,241.093,243.045,243.045,234.358,39630
66,1554940800,241.581,241.093,243.826,235.432,32940
67,1555027200,238.361,241.581,242.557,238.361,5890
68,1555372800,240.312,238.361,241.093,235.432,13250
69,1555459200,240.898,238.262,241.581,238.262,12340
70,1555545600,225.476,240.801,241.093,225.476,41150
71,1555632000,234.749,237.189,237.189,231.43,8170
72,1555891200,237.189,234.749,237.189,230.845,18000
73,1555977600,234.749,234.261,236.213,232.796,23410
74,1556064000,234.261,235.237,236.213,233.48,49760
75,1556150400,233.284,234.358,234.358,230.845,43550
76,1556236800,233.48,231.333,236.213,229.478,27270
77,1556755200,237.873,233.48,238.165,233.48,48200
78,1556841600,237.873,237.873,237.97,233.968,80940
79,1557100800,234.749,237.677,237.677,232.601,20240
80,1557187200,235.823,233.48,237.189,233.48,7320
81,1557273600,236.408,234.261,237.189,234.261,28490
82,1557360000,240.118,233.773,240.995,233.773,20630
83,1557446400,242.069,241.093,243.436,237.189,23230
84,1557705600,242.069,243.534,245.973,242.069,15300
85,1557792000,246.95,242.069,252.807,239.239,15220
86,1557878400,246.95,245.973,251.439,245.973,108360
87,1557964800,239.141,247.926,248.414,239.141,20320
88,1558051200,250.854,248.805,251.83,241.581,31530
89,1558310400,256.711,250.854,258.663,245.973,30630
90,1558396800,257.394,255.246,257.687,254.075,17760
91,1558483200,257.394,257.296,257.394,254.466,24670
92,1558569600,254.857,257.394,257.394,253.783,14780
93,1558656000,254.954,253.88,257.59,253.88,37100
94,1558915200,258.663,257.491,258.663,253.783,20920
95,1559001600,253.783,258.663,258.663,253.783,28730
96,1559088000,254.075,253.783,256.711,252.709,13900
97,1559174400,257.199,255.734,260.615,249.878,21680
98,1559260800,260.615,257.101,260.615,253.88,8830
99,1559520000,263.543,257.199,267.448,250.854,98360
100,1559606400,266.472,258.761,266.472,258.761,30160
101,1559692800,267.448,263.641,273.304,262.079,28210
102,1559779200,267.448,267.448,268.423,261.591,35900
103,1559865600,269.79,267.546,269.888,262.957,40580
104,1560124800,275.061,269.79,275.159,269.4,105770
105,1560211200,269.4,273.304,273.304,269.4,45180
106,1560297600,267.448,269.4,269.4,260.615,77400
107,1560384000,267.448,267.448,267.935,264.519,12580
108,1560470400,266.472,260.518,267.448,260.518,13550
109,1560729600,266.472,266.472,266.472,260.615,37450
110,1560816000,266.472,266.472,266.472,260.127,4510
111,1560902400,268.912,266.472,268.912,264.715,19130
112,1560988800,268.423,262.568,276.72,262.568,76630
113,1561075200,271.352,274.183,274.183,268.423,9220
114,1561334400,274.28,271.352,274.28,271.352,16480
115,1561420800,275.061,274.28,275.061,271.352,39550
116,1561507200,275.257,269.4,278.184,269.4,15730
117,1561593600,265.496,273.5,275.257,265.496,39120
118,1561680000,268.423,266.472,273.304,263.641,22590
119,1561939200,271.254,272.23,272.328,269.497,17170
120,1562025600,268.619,271.352,273.109,268.521,9480
121,1562112000,269.4,268.619,270.376,268.423,27280
122,1562198400,272.328,269.4,272.328,268.423,31530
123,1562284800,273.304,272.328,273.304,269.4,21150
124,1562544000,274.28,273.304,275.061,270.473,70050
125,1562630400,274.28,271.352,274.28,270.376,65350
126,1562716800,278.184,274.28,280.039,273.304,28070
127,1562803200,279.161,278.184,280.137,275.354,37210
128,1562889600,282.089,279.161,284.041,279.161,20990
129,1563148800,275.257,282.285,282.968,275.257,37440
130,1563235200,278.184,278.184,278.184,275.257,7260
131,1563321600,279.161,278.184,280.137,275.745,43080
132,1563408000,277.208,277.208,279.161,274.28,45670
133,1563494400,270.473,278.184,278.184,270.473,20120
134,1563753600,270.571,270.473,274.28,269.888,28670
135,1563840000,270.668,270.571,273.304,270.571,6900
136,1563926400,270.864,270.668,274.28,269.4,55700
137,1564012800,276.233,270.864,276.233,270.864,20380
138,1564099200,272.23,277.696,277.696,270.571,15060
139,1564358400,271.352,272.23,275.257,271.352,30020
140,1564444800,274.28,275.159,275.159,271.84,27200
141,1564531200,272.328,273.304,275.257,272.328,46980
142,1564617600,274.768,274.671,274.768,270.181,16600
143,1564704000,273.304,271.547,274.28,271.352,33700
144,1564963200,273.5,270.668,275.159,270.668,13480
145,1565049600,272.524,270.083,274.963,270.083,15520
146,1565136000,273.304,270.181,273.304,267.448,69110
147,1565222400,273.304,273.304,273.304,267.546,61830
148,1565308800,269.107,270.083,275.257,268.619,7790
149,1565568000,267.838,272.816,272.816,267.838,6910
150,1565654400,270.376,273.304,274.28,268.034,35660
151,1565740800,270.376,270.571,272.133,269.4,29000
152,1565827200,278.184,270.376,278.184,268.912,15480
153,1565913600,269.4,274.28,274.28,269.4,78780
154,1566172800,269.888,272.524,272.524,268.912,5550
155,1566259200,269.888,271.352,271.84,268.521,21680
156,1566345600,271.254,271.352,271.352,267.935,8310
157,1566432000,269.4,271.352,272.718,269.4,18250
158,1566518400,269.009,269.888,271.84,269.009,35980
159,1566777600,266.862,269.4,269.4,266.569,50520
160,1566864000,263.641,266.862,267.448,263.641,58130
161,1566950400,265.496,263.445,269.107,263.445,3430
162,1567036800,266.472,265.984,267.935,265.984,36440
163,1567123200,266.472,269.205,269.205,265.496,27590
164,1567468800,265.886,266.472,266.472,264.617,4730
165,1567555200,257.199,265.886,267.935,257.199,65880
166,1567641600,261.126,258.671,263.089,258.671,20760
167,1567728000,261.126,259.751,262.107,259.751,8150
168,1567987200,261.126,262.991,262.991,260.831,16570
169,1568073600,258.181,262.107,262.107,257.199,7410
170,1568160000,257.69,258.181,261.027,257.199,12590
171,1568246400,256.414,257.984,257.984,256.217,8240
172,1568332800,259.162,256.414,259.162,255.726,22160
173,1568592000,259.162,255.726,261.911,255.726,3990
174,1568678400,261.027,261.126,261.126,256.414,2620
175,1568764800,260.438,261.027,261.911,259.751,8270
176,1568851200,260.242,260.144,260.438,257.199,23710
177,1568937600,262.107,260.438,262.991,260.144,24960
178,1569196800,260.733,263.776,263.776,257.297,5610
179,1569283200,258.181,260.144,264.071,258.181,21610
180,1569369600,258.181,262.304,267.997,258.181,28430
