,time,close,open,hight,low,volumes
0,1325548800,5.778,5.921,5.921,5.778,140770
1,1325635200,5.731,5.778,5.825,5.731,33150
2,1325721600,5.731,5.731,5.778,5.682,231330
3,1325808000,5.731,5.731,5.778,5.731,306530
4,1326067200,5.778,5.731,5.778,5.682,115950
5,1326153600,5.778,5.778,5.825,5.778,174260
6,1326240000,5.778,5.731,5.778,5.731,155910
7,1326326400,5.825,5.778,5.873,5.778,153440
8,1326412800,5.825,5.825,5.921,5.778,149530
9,1326672000,5.825,5.825,5.873,5.778,200710
10,1326758400,5.825,5.825,5.825,5.778,152790
11,1326844800,5.825,5.825,5.873,5.731,100770
12,1326931200,5.825,5.873,5.873,5.778,74570
13,1327017600,5.825,5.873,5.873,5.825,138270
14,1327881600,5.873,5.873,5.873,5.825,30380
15,1327968000,5.873,5.921,5.968,5.873,186110
16,1328054400,5.873,5.968,5.968,5.825,59670
17,1328140800,6.16,6.064,6.16,5.968,356910
18,1328227200,6.16,6.399,6.447,6.16,403060
19,1328486400,6.111,6.064,6.111,5.968,37230
20,1328572800,6.208,6.111,6.208,6.064,85010
21,1328659200,6.495,6.352,6.495,6.303,265660
22,1328745600,6.637,6.59,6.686,6.399,327560
23,1328832000,6.447,6.637,6.637,6.447,242050
24,1329091200,6.542,6.447,6.637,6.399,224730
25,1329177600,6.734,6.637,6.781,6.59,186490
26,1329264000,6.876,6.781,7.066,6.781,567090
27,1329350400,6.876,6.924,6.924,6.876,189740
28,1329436800,6.829,6.876,6.924,6.781,251050
29,1329696000,6.924,7.066,7.066,6.876,127180
30,1329782400,6.686,6.972,6.972,6.686,131930
31,1329868800,6.686,6.637,6.781,6.59,148390
32,1329955200,6.637,6.686,6.686,6.542,225510
33,1330041600,6.829,6.637,6.829,6.59,125490
34,1330300800,6.829,6.876,6.876,6.734,114620
35,1330387200,6.686,6.829,6.876,6.686,157870
36,1330473600,6.686,6.686,6.734,6.59,118520
37,1330560000,6.637,6.637,6.686,6.59,42000
38,1330646400,6.734,6.637,6.829,6.637,110920
39,1330905600,7.066,6.876,7.066,6.876,190780
40,1330992000,7.401,7.307,7.401,7.162,610110
41,1331078400,7.737,7.64,7.737,7.496,371200
42,1331164800,7.688,7.833,8.117,7.688,320390
43,1331251200,7.307,7.45,7.64,7.307,125210
44,1331510400,6.972,7.162,7.162,6.972,35920
45,1331596800,6.924,6.924,7.162,6.686,149830
46,1331683200,7.066,7.066,7.162,6.924,135700
47,1331769600,7.307,7.115,7.307,6.924,68350
48,1331856000,7.162,7.162,7.496,7.162,72440
49,1332115200,7.115,7.115,7.258,7.115,62220
50,1332201600,7.45,7.211,7.45,7.115,110790
51,1332288000,7.592,7.64,7.688,7.45,238950
52,1332374400,7.64,7.545,7.737,7.496,137880
53,1332460800,7.592,7.64,7.688,7.545,193000
54,1332720000,7.592,7.592,7.688,7.45,87410
55,1332806400,7.401,7.592,7.592,7.258,151730
56,1332892800,7.45,7.401,7.45,7.307,131620
57,1332979200,7.307,7.353,7.496,7.258,51170
58,1333065600,7.115,7.307,7.307,6.972,128810
59,1333411200,7.258,7.066,7.307,7.066,85970
60,1333497600,7.162,7.162,7.307,7.066,42000
61,1333584000,7.211,7.211,7.211,6.972,46960
62,1333670400,7.307,7.211,7.307,7.211,70010
63,1333929600,7.64,7.592,7.64,7.592,378860
64,1334016000,8.022,7.879,8.022,7.737,305420
65,1334102400,8.213,8.213,8.404,8.117,185020
66,1334188800,8.213,8.356,8.356,8.117,183720
67,1334275200,8.595,8.547,8.595,8.356,590840
68,1334534400,9.024,9.024,9.024,8.738,198610
69,1334620800,9.455,9.455,9.455,9.455,91920
70,1334707200,9.885,9.885,9.885,9.551,260580
71,1334793600,9.408,10.363,10.363,9.408,1105800
72,1334880000,9.168,9.408,9.551,9.072,336760
73,1335139200,9.598,9.168,9.598,9.168,485850
74,1335225600,10.075,9.598,10.075,9.408,326940
75,1335312000,10.266,10.409,10.552,10.075,353100
76,1335398400,9.79,10.314,10.314,9.79,691570
