,time,close,open,hight,low,volumes
0,1294099200,16.836,16.994,17.1,16.786,1467250
1,1294185600,16.367,16.836,16.89,16.367,2427920
2,1294272000,16.315,16.367,16.471,16.106,1844330
3,1294358400,16.264,16.42,16.578,16.264,1555480
4,1294617600,15.845,16.106,16.211,15.74,2135120
5,1294704000,15.165,15.582,15.74,15.165,3345610
6,1294790400,15.426,15.426,15.582,15.165,1790810
7,1294876800,15.634,15.531,15.897,15.375,1703400
8,1294963200,15.845,15.634,15.845,15.531,1481200
9,1295222400,15.897,15.792,16.42,15.792,2570450
10,1295308800,15.634,15.897,16.106,15.634,1614080
11,1295395200,15.634,15.687,16.0,15.426,2121730
12,1295481600,15.478,15.687,15.845,15.478,1426120
13,1295568000,15.478,15.478,15.845,15.426,2505790
14,1295827200,15.061,15.478,15.634,15.008,2419480
15,1295913600,14.851,15.061,15.113,14.798,2339530
16,1296000000,15.113,14.851,15.268,14.851,860750
17,1296086400,15.582,15.217,15.687,15.165,1367640
18,1296172800,15.582,15.582,15.845,15.531,1223550
19,1297123200,15.634,15.582,15.74,15.582,874590
20,1297209600,15.634,16.0,16.315,15.634,1579680
21,1297296000,15.634,15.634,15.897,15.582,1288420
22,1297382400,15.582,15.74,15.74,15.426,1035260
23,1297641600,15.426,15.531,15.687,15.375,1050090
24,1297728000,15.268,15.217,15.426,15.113,1889930
25,1297814400,14.955,15.268,15.268,14.955,1798060
26,1297900800,14.694,14.798,14.955,14.433,2733260
27,1297987200,14.119,14.694,14.694,14.066,2369270
28,1298246400,13.439,13.597,13.648,13.439,1953790
29,1298332800,12.811,12.811,13.178,12.811,5445260
30,1298419200,12.864,13.022,13.178,12.707,2170820
31,1298505600,12.811,12.602,12.915,12.236,3686110
32,1298592000,13.178,12.915,13.178,12.758,2197230
33,1298851200,12.758,13.125,13.281,12.758,2307230
34,1298937600,12.654,12.55,12.758,12.497,1825830
35,1299024000,12.027,12.497,12.497,12.027,3613510
36,1299110400,11.503,11.608,11.923,11.503,3102450
37,1299196800,11.66,11.66,11.714,11.399,2099190
38,1299456000,11.766,11.714,11.923,11.714,1688300
39,1299542400,11.556,11.714,11.87,11.556,1701140
40,1299628800,11.189,11.451,11.503,10.98,1866260
41,1299715200,11.714,11.189,11.714,11.189,1394550
42,1299801600,12.288,12.288,12.288,12.288,630750
43,1300060800,12.394,12.864,12.864,11.975,6846560
44,1300147200,12.341,12.341,12.654,12.08,1974600
45,1300233600,12.444,12.288,12.602,12.236,1832790
46,1300320000,12.497,12.707,12.968,12.394,1871780
47,1300406400,13.073,12.444,13.073,12.394,3335320
48,1300665600,12.968,13.439,13.439,12.968,2408570
49,1300752000,12.394,12.864,12.864,12.394,1946080
50,1300838400,12.811,12.394,12.811,12.341,1528540
51,1300924800,12.497,12.55,12.864,12.497,1711250
52,1301011200,12.341,12.444,12.55,12.236,1268240
53,1301270400,12.341,12.55,12.602,12.288,1338660
54,1301356800,11.975,12.394,12.444,11.766,2336130
55,1301443200,11.714,11.608,11.817,11.556,1665750
56,1301529600,11.766,11.817,12.027,11.766,1294210
57,1301616000,11.608,11.766,11.766,11.608,1284140
58,1301875200,11.296,11.503,11.608,11.296,1444280
59,1301961600,11.296,11.296,11.451,11.242,1098880
60,1302048000,11.817,11.399,11.817,11.296,1303680
61,1302134400,11.66,11.87,11.975,11.66,1129850
62,1302220800,11.503,11.608,11.66,11.503,640310
63,1302652800,11.503,11.503,11.608,11.399,824120
64,1302739200,11.347,11.503,11.556,11.347,680240
65,1302825600,11.141,11.241,11.396,11.141,1638240
66,1303084800,10.669,10.98,11.138,10.669,160370
67,1303171200,10.512,10.354,10.771,10.354,1618300
68,1303257600,10.614,10.512,10.614,10.458,654260
69,1303344000,10.301,10.614,10.669,10.301,908560
70,1303430400,10.092,10.406,10.406,9.934,1379640
71,1303689600,10.563,10.354,10.563,10.248,1217870
72,1303776000,10.354,10.563,10.878,10.301,1560440
73,1303862400,10.563,10.458,10.669,10.354,1492910
74,1303948800,10.563,10.614,10.669,10.458,1055170
75,1304035200,10.72,10.563,10.878,10.512,1572120
76,1304467200,10.72,10.72,10.878,10.669,1214360
77,1304553600,10.458,10.72,10.72,10.406,1000480
78,1304640000,10.563,10.563,10.563,10.406,877840
79,1304899200,10.824,10.771,10.878,10.563,1874060
80,1304985600,10.72,10.771,10.93,10.72,808200
81,1305072000,10.563,10.72,10.72,10.563,862270
82,1305158400,10.563,10.512,10.669,10.512,710280
83,1305244800,10.563,10.563,10.669,10.563,876410
84,1305504000,10.354,10.512,10.614,10.354,1089750
85,1305590400,10.144,10.301,10.406,10.144,1124830
86,1305676800,10.092,10.197,10.197,9.934,1660160
87,1305763200,9.987,10.144,10.197,9.987,1066980
88,1305849600,9.675,9.987,9.987,9.675,1519290
89,1306108800,9.203,9.517,9.517,9.203,2351830
90,1306195200,8.784,8.889,8.942,8.784,3139520
91,1306281600,8.366,8.419,8.628,8.366,1635020
92,1306368000,8.784,7.947,8.784,7.947,3426260
93,1306454400,9.203,8.784,9.203,8.784,2585690
94,1306713600,8.784,9.256,9.256,8.784,2147710
95,1306800000,8.576,8.419,8.732,8.366,1985840
96,1306886400,8.994,8.47,8.994,8.47,1804810
97,1306972800,9.413,9.413,9.413,9.256,1646120
98,1307059200,9.36,9.883,9.883,9.203,5992510
99,1307318400,9.675,9.308,9.675,9.098,2031220
100,1307404800,10.144,10.144,10.144,9.987,3701910
101,1307491200,9.987,10.197,10.458,9.934,3110470
102,1307577600,10.197,9.883,10.354,9.883,2767820
103,1307664000,10.669,10.563,10.669,10.458,5399770
104,1307923200,10.824,10.669,10.93,10.458,2460250
105,1308009600,10.458,10.669,11.347,10.458,4890440
106,1308096000,9.934,10.301,10.458,9.934,4014530
107,1308182400,10.406,9.934,10.406,9.778,2616580
108,1308268800,9.934,10.406,10.406,9.934,3063270
109,1308528000,9.464,9.675,9.934,9.464,3561680
110,1308614400,9.934,9.622,9.934,9.256,2342780
111,1308700800,9.934,10.092,10.197,9.778,1554330
112,1308787200,9.726,9.778,9.934,9.675,990360
113,1308873600,9.831,9.883,9.883,9.622,787590
114,1309132800,9.778,9.831,9.883,9.778,804270
115,1309219200,9.569,9.622,9.831,9.569,1242640
116,1309305600,9.464,9.569,9.569,9.36,1308270
117,1309392000,9.256,9.256,9.569,9.256,1451920
118,1309478400,8.994,9.256,9.256,8.942,1937000
119,1309737600,9.046,8.995,9.098,8.889,943150
120,1309824000,9.464,9.413,9.464,9.36,1837990
121,1309910400,9.413,9.517,9.622,9.203,1426320
122,1309996800,9.308,9.305,9.517,9.256,1066820
123,1310083200,9.256,9.308,9.308,9.203,742140
124,1310342400,9.095,9.095,9.259,9.095,783030
125,1310428800,9.098,8.994,9.15,8.942,1139690
126,1310515200,9.308,9.464,9.464,9.15,1114260
127,1310601600,9.36,9.256,9.413,9.15,869170
128,1310688000,9.308,9.413,9.413,9.256,446180
129,1310947200,9.308,9.15,9.308,9.046,111278
130,1311033600,9.256,9.259,9.308,9.203,625470
131,1311120000,9.622,9.36,9.622,9.256,974420
132,1311206400,9.36,9.622,9.675,9.36,633020
133,1311292800,9.308,9.259,9.36,9.256,455830
134,1311552000,9.256,9.36,9.36,9.256,393810
135,1311638400,9.256,9.203,9.308,9.203,453240
136,1311724800,9.15,9.259,9.308,9.098,558770
137,1311811200,9.204,9.15,9.359,9.15,374670
138,1311897600,9.098,9.203,9.308,9.046,712020
139,1312156800,8.994,9.098,9.098,8.942,654220
140,1312243200,8.784,8.941,8.994,8.732,947980
141,1312329600,8.68,8.677,8.784,8.628,673850
142,1312416000,9.098,8.885,9.098,8.784,1230040
143,1312502400,9.046,8.995,9.256,8.889,1087050
144,1312761600,8.837,9.046,9.046,8.837,974890
145,1312848000,8.523,8.577,8.628,8.419,1508210
146,1312934400,8.732,8.784,8.784,8.576,1049700
147,1313020800,8.68,8.523,8.784,8.47,1084490
148,1313107200,8.784,8.837,8.837,8.68,707770
149,1313366400,8.837,8.784,8.889,8.732,926830
150,1313452800,8.942,8.837,9.046,8.837,793940
151,1313539200,9.36,8.994,9.36,8.942,2773700
152,1313625600,9.675,9.622,9.778,9.569,3756360
153,1313712000,9.517,9.569,9.778,9.36,2038550
154,1313971200,9.987,9.831,9.987,9.831,2654960
155,1314057600,9.934,9.934,10.144,9.831,2749660
156,1314144000,9.778,10.144,10.144,9.778,1875980
157,1314230400,10.041,9.726,10.041,9.726,2120950
158,1314316800,10.041,10.092,10.144,9.934,2114610
159,1314576000,10.538,10.426,10.538,10.26,2099300
160,1314662400,10.812,11.032,11.032,10.812,3590260
161,1314748800,11.198,10.812,11.309,10.701,3282720
162,1314835200,11.639,11.143,11.639,11.143,2758280
163,1315180800,11.198,11.475,11.696,11.143,3124500
164,1315267200,11.089,11.032,11.143,10.812,3535910
165,1315353600,11.639,11.309,11.639,11.198,2654890
166,1315440000,11.639,11.97,12.135,11.639,2343990
167,1315526400,11.585,11.529,11.806,11.475,1957550
168,1315785600,11.364,11.418,11.585,11.254,2316650
169,1315872000,11.916,11.529,11.916,11.364,3986470
170,1315958400,11.364,11.861,11.97,11.364,2487930
171,1316044800,11.585,11.585,11.585,10.977,2458520
172,1316131200,11.143,11.143,11.585,11.143,1416770
173,1316390400,11.309,11.032,11.475,11.032,1368990
174,1316476800,11.143,11.143,11.364,11.089,1284750
175,1316563200,11.143,11.254,11.364,11.089,1450590
176,1316649600,11.418,11.143,11.418,11.143,1352510
177,1316736000,11.254,11.254,11.364,11.198,828230
178,1316995200,11.089,11.089,11.309,11.089,1040860
179,1317081600,11.089,11.089,11.254,11.032,1100450
180,1317168000,11.198,11.198,11.309,11.089,727010
181,1317254400,10.867,10.867,11.143,10.758,1609150
182,1317340800,10.758,10.812,10.867,10.647,830940
183,1317600000,10.426,10.647,10.701,10.426,1039180
184,1317686400,10.315,10.26,10.481,10.26,631380
185,1317772800,10.371,10.481,10.591,10.371,710820
186,1317859200,10.647,10.481,10.758,10.481,611240
187,1317945600,10.591,10.647,10.758,10.538,540190
188,1318204800,10.426,10.591,10.591,10.426,474210
189,1318291200,10.538,10.647,10.647,10.481,500270
190,1318377600,10.041,10.315,10.371,10.041,1856230
191,1318464000,9.874,10.041,10.151,9.82,1168920
192,1318550400,10.041,9.985,10.095,9.929,543780
193,1318809600,9.709,9.929,10.041,9.709,652650
194,1318896000,9.543,9.599,9.654,9.489,644620
195,1318982400,9.543,9.654,9.709,9.434,619680
196,1319068800,9.599,9.543,9.654,9.543,547170
197,1319155200,9.82,9.654,9.874,9.599,596340
198,1319414400,9.709,9.929,9.985,9.709,795360
199,1319500800,9.599,9.654,9.709,9.489,529430
200,1319587200,9.379,9.489,9.654,9.379,901520
201,1319673600,9.543,9.654,9.654,9.434,408770
202,1319760000,9.985,9.709,9.985,9.599,1587290
203,1320019200,10.204,10.481,10.481,10.204,2262170
204,1320105600,10.095,10.095,10.315,9.985,939210
205,1320192000,9.764,9.929,10.095,9.764,794190
206,1320278400,9.654,9.82,9.874,9.543,862000
207,1320364800,9.599,9.82,9.82,9.599,674350
208,1320624000,9.489,9.489,9.654,9.434,757000
209,1320710400,9.599,9.379,9.709,9.379,777160
210,1320796800,9.543,9.599,9.709,9.543,412530
211,1320883200,9.267,9.379,9.434,9.267,1284350
212,1320969600,9.213,9.267,9.379,9.156,598820
213,1321228800,8.994,9.156,9.213,8.881,826050
214,1321315200,8.881,9.102,9.213,8.881,538290
215,1321401600,9.156,8.994,9.213,8.936,608470
216,1321488000,8.994,9.156,9.213,8.994,428800
217,1321574400,8.994,8.994,8.994,8.881,571810
218,1321833600,8.881,8.881,9.046,8.881,315930
219,1321920000,9.046,8.826,9.046,8.771,656300
220,1322006400,9.102,9.213,9.267,8.994,805480
221,1322092800,8.936,9.046,9.102,8.881,380780
222,1322179200,8.936,8.936,8.994,8.881,289030
223,1322438400,9.046,9.102,9.322,9.046,1128970
224,1322524800,8.994,9.046,9.102,8.994,291010
225,1322611200,8.881,9.046,9.046,8.881,461700
226,1322697600,8.936,9.046,9.046,8.881,489910
227,1322784000,9.102,8.994,9.102,8.994,626430
228,1323043200,9.543,9.213,9.543,9.213,1859830
229,1323129600,9.489,9.599,9.82,9.489,1238720
230,1323216000,9.379,9.489,9.543,9.322,691510
231,1323302400,9.156,9.379,9.434,9.156,696040
232,1323388800,8.994,9.102,9.156,8.936,962350
233,1323648000,8.881,8.936,8.994,8.881,822620
234,1323734400,8.771,8.826,8.936,8.771,614770
235,1323820800,8.495,8.826,8.826,8.495,1128340
236,1323907200,8.276,8.384,8.44,8.108,1606290
237,1323993600,8.44,8.44,8.551,8.276,973200
238,1324252800,8.33,8.384,8.44,8.276,610430
239,1324339200,8.108,8.164,8.276,8.108,769500
240,1324425600,8.164,8.219,8.276,8.055,374290
241,1324512000,7.779,8.108,8.164,7.779,1255020
242,1324598400,7.723,7.723,7.723,7.503,742230
243,1324857600,7.557,7.723,7.779,7.557,676420
244,1324944000,7.283,7.392,7.447,7.226,1168860
245,1325030400,7.613,7.171,7.613,7.171,626200
