,time,close,open,hight,low,volumes
0,1294099200,9.185,9.359,9.477,9.185,943920
1,1294185600,9.067,9.359,9.359,9.067,1953830
2,1294272000,9.125,9.067,9.125,9.009,756060
3,1294358400,9.125,9.125,9.185,9.067,1151490
4,1294617600,9.067,9.067,9.125,9.009,2398460
5,1294704000,9.009,9.009,9.067,8.95,2930390
6,1294790400,9.125,8.95,9.125,8.95,1342910
7,1294876800,9.125,9.067,9.243,9.067,965290
8,1294963200,9.125,9.067,9.185,9.067,761360
9,1295222400,9.125,9.185,9.243,9.125,1975390
10,1295308800,9.125,9.125,9.185,9.125,1034250
11,1295395200,9.125,9.125,9.185,9.067,1272700
12,1295481600,9.185,9.125,9.243,9.125,1577480
13,1295568000,9.243,9.185,9.477,9.185,1762190
14,1295827200,9.243,9.359,9.359,9.185,1970070
15,1295913600,9.185,9.185,9.243,9.125,2979890
16,1296000000,9.243,9.243,9.243,9.125,352750
17,1296086400,9.243,9.243,9.243,9.185,404840
18,1296172800,9.243,9.243,9.243,9.125,856310
19,1297123200,9.302,9.185,9.359,9.185,499800
20,1297209600,9.302,9.418,9.477,9.302,688060
21,1297296000,9.302,9.243,9.302,9.243,703020
22,1297382400,9.243,9.302,9.302,9.185,871890
23,1297641600,9.185,9.243,9.243,9.125,1001580
24,1297728000,9.067,9.125,9.125,9.009,1554060
25,1297814400,9.067,9.067,9.125,9.009,956680
26,1297900800,9.009,9.009,9.067,8.891,1512190
27,1297987200,8.833,8.891,9.009,8.833,1758540
28,1298246400,8.424,8.599,8.599,8.424,3252690
29,1298332800,8.365,8.132,8.365,8.132,1294000
30,1298419200,8.424,8.365,8.599,8.365,1631120
31,1298505600,8.365,8.424,8.424,8.132,1448260
32,1298592000,8.599,8.599,8.599,8.365,628860
33,1298851200,8.424,8.599,8.657,8.424,711620
34,1298937600,8.365,8.365,8.424,8.306,477170
35,1299024000,8.132,8.306,8.306,8.073,1267110
36,1299110400,8.191,8.132,8.247,8.073,1181270
37,1299196800,8.132,8.191,8.247,8.132,709330
38,1299456000,8.191,8.132,8.247,8.132,552170
39,1299542400,8.132,8.191,8.247,8.132,677750
40,1299628800,8.132,8.132,8.191,8.073,1252530
41,1299715200,8.191,8.132,8.247,8.132,654920
42,1299801600,8.365,8.191,8.54,8.191,2203030
43,1300060800,8.132,8.306,8.365,8.132,1555500
44,1300147200,8.014,8.132,8.191,8.014,1443280
45,1300233600,8.014,8.014,8.132,8.014,1259030
46,1300320000,8.073,8.073,8.132,8.014,1616260
47,1300406400,8.191,8.132,8.306,8.014,654130
48,1300665600,8.191,8.191,8.247,8.191,1583350
49,1300752000,8.132,8.191,8.247,8.132,975180
50,1300838400,8.191,8.191,8.191,8.132,950280
51,1300924800,8.073,8.132,8.191,8.073,241560
52,1301011200,8.191,8.132,8.191,8.073,902060
53,1301270400,8.191,8.132,8.247,8.132,1334540
54,1301356800,8.247,8.191,8.247,8.132,1437080
55,1301443200,8.132,8.191,8.191,8.132,1405020
56,1301529600,8.191,8.132,8.247,8.132,1283220
57,1301616000,8.073,8.191,8.191,8.073,463020
58,1301875200,8.073,8.014,8.132,8.014,441290
59,1301961600,8.073,8.073,8.132,8.014,559830
60,1302048000,8.132,8.073,8.191,8.073,1703820
61,1302134400,8.191,8.073,8.191,8.073,2151400
62,1302220800,8.073,8.073,8.132,8.073,851500
63,1302652800,8.073,8.073,8.132,8.073,1207560
64,1302739200,8.134,8.134,8.134,8.018,3109390
65,1302825600,8.073,8.073,8.132,7.956,1997350
66,1303084800,8.014,7.956,8.014,7.898,158153
67,1303171200,7.898,7.956,8.014,7.898,482800
68,1303257600,7.838,7.78,7.898,7.78,218860
69,1303344000,7.898,7.838,7.898,7.78,931880
70,1303430400,7.838,7.838,7.898,7.838,960140
71,1303689600,7.898,7.838,7.956,7.838,1877280
72,1303776000,7.722,7.838,7.898,7.722,710410
73,1303862400,7.488,7.663,7.722,7.488,1721170
74,1303948800,7.545,7.545,7.605,7.488,2004110
75,1304035200,7.545,7.545,7.605,7.488,488290
76,1304467200,7.605,7.545,7.605,7.545,497840
77,1304553600,7.545,7.545,7.605,7.545,417070
78,1304640000,7.545,7.545,7.605,7.488,928620
79,1304899200,7.488,7.545,7.545,7.488,401680
80,1304985600,7.371,7.429,7.545,7.371,614480
81,1305072000,7.312,7.429,7.429,7.253,1172770
82,1305158400,7.312,7.253,7.371,7.253,1223560
83,1305244800,7.312,7.253,7.312,7.253,584450
84,1305504000,7.253,7.253,7.429,7.253,445010
85,1305590400,7.253,7.253,7.312,7.195,942290
86,1305676800,7.253,7.195,7.253,7.195,2133660
87,1305763200,7.253,7.195,7.253,7.195,914970
88,1305849600,7.195,7.253,7.253,7.195,836850
89,1306108800,7.136,7.136,7.195,7.019,1441950
90,1306195200,7.136,7.019,7.136,6.961,2928370
91,1306281600,6.961,6.961,7.019,6.845,2156020
92,1306368000,6.961,6.786,7.078,6.786,1556280
93,1306454400,7.019,7.019,7.019,6.961,617160
94,1306713600,6.845,7.019,7.019,6.845,361400
95,1306800000,6.845,6.845,6.903,6.845,963620
96,1306886400,6.903,6.845,6.961,6.845,1246390
97,1306972800,7.019,6.961,7.136,6.961,1871320
98,1307059200,6.961,7.136,7.136,6.903,789150
99,1307318400,6.961,6.903,6.961,6.845,1033250
100,1307404800,6.961,6.961,7.019,6.903,845560
101,1307491200,6.903,6.961,6.961,6.845,1978330
102,1307577600,6.903,6.903,6.903,6.845,1199070
103,1307664000,6.961,6.903,7.019,6.903,1154960
104,1307923200,6.961,6.961,7.019,6.903,1560910
105,1308009600,7.019,6.961,7.136,6.961,2106340
106,1308096000,6.961,6.961,7.019,6.903,1963900
107,1308182400,6.961,6.961,7.019,6.903,1515940
108,1308268800,6.961,6.961,7.019,6.903,3388690
109,1308528000,6.961,6.903,6.961,6.903,2187690
110,1308614400,6.961,6.903,7.019,6.903,575320
111,1308700800,6.961,6.961,6.961,6.903,462750
112,1308787200,6.961,6.903,7.019,6.903,444550
113,1308873600,7.019,6.961,7.019,6.961,713480
114,1309132800,7.019,6.961,7.078,6.961,581890
115,1309219200,7.019,7.019,7.078,7.019,632680
116,1309305600,7.019,7.019,7.078,7.019,5203280
117,1309392000,7.019,7.019,7.078,7.019,474400
118,1309478400,7.371,7.019,7.371,6.961,2963870
119,1309737600,7.605,7.721,7.722,7.545,7656780
120,1309824000,7.545,7.605,7.663,7.545,944710
121,1309910400,7.488,7.488,7.605,7.429,960000
122,1309996800,7.605,7.432,7.605,7.429,1942220
123,1310083200,7.78,7.605,7.78,7.545,1823300
124,1310342400,7.952,7.779,8.076,7.779,2459480
125,1310428800,7.956,7.956,8.132,7.956,2866690
126,1310515200,7.956,7.956,8.073,7.898,1571980
127,1310601600,7.898,7.898,7.956,7.838,1482860
128,1310688000,7.956,7.956,8.014,7.898,1721010
129,1310947200,8.191,7.952,8.191,7.952,202254
130,1311033600,8.132,8.191,8.247,8.132,2272580
131,1311120000,8.132,8.191,8.191,8.132,3053250
132,1311206400,8.132,8.076,8.191,8.073,1221730
133,1311292800,8.132,8.134,8.191,8.073,1484000
134,1311552000,8.073,8.073,8.073,7.838,922740
135,1311638400,8.132,8.014,8.132,7.956,723130
136,1311724800,8.073,8.076,8.132,8.073,212110
137,1311811200,8.132,8.076,8.191,8.073,813930
138,1311897600,8.132,8.132,8.191,8.073,1075840
139,1312156800,8.306,8.132,8.306,8.132,1523260
140,1312243200,8.719,8.365,8.719,8.365,2283040
141,1312329600,8.95,8.719,8.95,8.599,4729820
142,1312416000,8.891,8.893,9.009,8.775,79870912
143,1312502400,8.891,8.662,8.891,8.657,7515190
144,1312761600,8.891,8.891,8.95,8.833,3156450
145,1312848000,8.833,8.719,8.833,8.716,8499390
146,1312934400,8.88,8.678,9.149,8.678,992280
147,1313020800,8.813,8.746,8.88,8.746,1010350
148,1313107200,8.611,8.678,8.813,8.611,487110
