,time,close,open,hight,low,volumes
0,1528070400,34.133,34.133,35.0,34.133,2811840
1,1528156800,32.0,33.033,35.333,32.0,1357500
2,1528243200,30.667,31.667,32.0,30.333,1605480
3,1528329600,32.8,31.5,32.8,31.033,1376540
4,1528416000,35.067,33.667,35.067,33.167,2008500
5,1528675200,36.333,34.933,36.333,34.4,1229830
6,1528761600,35.0,36.0,36.0,34.3,1139130
7,1528848000,35.133,35.0,36.0,34.833,772670
8,1528934400,35.0,35.5,35.5,34.5,617130
9,1529020800,35.067,35.167,35.167,34.5,723460
10,1529280000,33.333,34.7,35.0,32.667,825810
11,1529366400,31.667,31.7,32.333,31.0,2092720
12,1529452800,31.733,31.667,32.167,31.033,554870
13,1529539200,31.733,31.8,31.8,31.1,497790
14,1529625600,31.667,31.7,31.7,31.2,328710
15,1529884800,31.967,32.0,32.333,31.9,918340
16,1529971200,31.667,31.467,31.833,31.4,493790
17,1530057600,31.2,31.167,31.667,31.167,394860
18,1530144000,30.733,31.0,31.167,29.5,1319230
19,1530230400,30.567,30.333,30.667,29.0,1583700
20,1530489600,29.3,30.6,30.6,29.0,669570
21,1530576000,27.267,29.167,29.433,27.267,2112230
22,1530662400,27.0,26.833,27.0,25.367,1102650
23,1530748800,28.15,28.85,28.85,27.0,1583450
24,1530835200,28.8,28.0,29.0,27.0,1160990
25,1531094400,28.5,29.0,29.2,27.85,631240
26,1531180800,27.65,28.5,28.5,27.5,549100
27,1531267200,25.75,27.1,27.1,25.75,1134570
28,1531353600,26.0,25.1,26.0,25.1,686180
29,1531440000,26.2,26.4,26.5,26.0,406500
30,1531699200,26.2,26.0,26.2,25.75,430160
31,1531785600,27.1,26.2,27.5,25.7,1174520
32,1531872000,27.95,27.5,28.5,27.3,1139340
33,1531958400,27.9,28.0,28.0,27.5,680430
34,1532044800,27.9,27.5,27.9,27.2,1473990
35,1532304000,26.6,27.3,27.85,26.6,878370
36,1532390400,26.4,27.0,27.5,26.3,1019120
37,1532476800,26.75,26.8,26.85,24.9,3348190
38,1532563200,25.8,26.0,26.25,25.5,645430
39,1532649600,25.95,25.8,26.2,25.6,1427670
40,1532908800,26.1,25.95,26.2,25.9,1438740
41,1532995200,27.8,26.15,27.9,26.0,4690660
42,1533081600,27.55,27.9,28.65,27.15,2060620
43,1533168000,28.5,27.3,28.5,27.0,3507500
44,1533254400,28.35,28.6,28.9,28.0,2418140
45,1533513600,28.0,28.0,28.3,27.8,1478320
46,1533600000,27.95,27.75,28.2,27.4,1670400
47,1533686400,27.75,28.15,28.15,27.4,1406450
48,1533772800,27.4,27.9,28.3,27.4,2342630
49,1533859200,27.2,27.4,27.7,26.4,2362660
50,1534118400,27.45,27.0,27.65,26.8,1369550
51,1534204800,27.2,27.5,27.5,27.0,850440
52,1534291200,26.5,27.0,27.2,26.5,1030610
53,1534377600,26.5,26.5,26.9,25.95,1576340
54,1534464000,26.5,26.5,26.9,26.5,691890
55,1534723200,26.5,26.7,26.7,25.9,847610
56,1534809600,26.5,26.5,26.65,26.25,904270
57,1534896000,26.65,26.7,27.4,26.55,1386850
58,1534982400,26.75,27.0,27.15,26.65,1031560
59,1535068800,26.6,26.75,26.95,26.5,817010
60,1535328000,26.5,26.6,26.85,26.5,1480540
61,1535414400,26.25,26.6,26.8,26.2,1630740
62,1535500800,26.15,26.25,26.35,26.1,778240
63,1535587200,26.3,26.15,26.3,26.05,887840
64,1535673600,26.3,26.3,26.85,26.3,1723040
65,1536019200,26.1,26.3,26.6,26.05,991610
66,1536105600,25.8,26.1,26.25,25.75,1052150
67,1536192000,24.8,25.8,25.9,24.8,2694080
68,1536278400,25.25,25.0,25.3,24.9,2154200
69,1536537600,25.5,25.4,25.5,25.0,1297720
70,1536624000,25.4,25.45,25.5,25.3,780150
71,1536710400,25.0,25.5,25.55,25.0,1460210
72,1536796800,25.2,25.0,25.4,25.0,1105010
73,1536883200,25.25,25.2,25.4,25.15,1343360
74,1537142400,26.05,25.25,27.0,25.15,2714630
75,1537228800,26.15,26.05,26.15,25.55,1059520
76,1537315200,26.6,26.2,27.05,26.2,2934180
77,1537401600,28.0,26.6,28.0,26.6,5779740
78,1537488000,28.3,28.0,28.45,27.8,4008110
79,1537747200,28.1,28.3,28.45,27.95,2213810
80,1537833600,28.0,28.0,28.2,27.8,2261840
81,1537920000,28.9,28.0,29.35,27.8,4516320
82,1538006400,29.4,29.2,29.65,29.15,3663710
83,1538092800,29.15,29.5,29.65,29.0,3943650
84,1538352000,28.65,29.15,29.25,28.6,2816100
85,1538438400,29.1,28.6,29.4,28.6,3139750
86,1538524800,29.35,29.4,29.5,29.15,1405830
87,1538611200,30.2,29.5,30.2,29.35,3273230
88,1538697600,29.8,30.1,30.25,29.75,3156560
89,1538956800,29.35,29.1,29.75,29.1,2101380
90,1539043200,29.75,29.4,29.75,29.15,2656380
91,1539129600,29.7,29.8,30.1,29.65,1689250
92,1539216000,27.85,28.2,29.1,27.7,4366960
93,1539302400,28.7,27.85,28.8,27.3,2298230
94,1539561600,28.2,28.7,28.75,28.0,2085500
95,1539648000,28.7,28.15,28.9,28.15,1363410
96,1539734400,29.1,29.3,29.3,28.95,1972280
97,1539820800,28.9,28.8,29.1,28.7,1487880
98,1539907200,29.0,28.4,29.0,28.1,1454000
99,1540166400,28.8,29.0,29.2,28.8,2026290
100,1540252800,27.8,28.8,28.8,26.8,2307530
101,1540339200,26.5,27.9,28.0,26.5,1535430
102,1540425600,26.1,25.2,26.3,25.1,2454470
103,1540512000,25.85,26.9,26.9,25.5,1747390
104,1540771200,25.7,25.8,26.0,25.5,1473740
105,1540857600,25.8,25.7,26.1,25.6,1327540
106,1540944000,26.9,26.1,26.9,26.1,1230140
107,1541030400,26.1,26.95,26.95,26.1,802870
108,1541116800,26.6,26.6,26.95,26.2,1048790
109,1541376000,26.85,26.7,26.95,26.5,920120
110,1541462400,26.95,27.4,27.4,26.75,1174180
111,1541548800,27.0,26.7,27.2,26.7,1180500
112,1541635200,27.0,27.5,27.5,26.95,710570
113,1541721600,26.35,26.85,26.95,26.35,1090990
114,1541980800,26.3,26.3,26.5,25.85,784460
115,1542067200,25.75,25.7,26.0,25.7,947810
116,1542153600,25.25,25.6,26.0,25.15,1692450
117,1542240000,25.25,25.25,25.55,25.05,971850
118,1542326400,25.7,25.5,26.4,25.45,645780
119,1542585600,26.5,25.7,26.7,25.7,1754860
120,1542672000,26.4,26.3,26.55,26.1,1534530
121,1542758400,26.5,26.0,26.8,25.9,1028070
122,1542844800,26.5,26.9,26.9,24.65,901490
123,1542931200,26.1,26.5,26.6,26.1,643390
124,1543190400,25.95,26.0,26.45,25.95,1195560
125,1543276800,26.0,26.3,26.5,25.95,1040020
126,1543363200,26.15,26.0,26.15,25.9,668970
127,1543449600,26.05,26.45,26.6,26.05,1304530
128,1543536000,26.05,26.25,26.3,26.0,635260
129,1543795200,27.2,26.5,27.2,26.3,3059840
130,1543881600,27.8,27.2,27.95,27.2,2885160
131,1543968000,28.0,27.5,28.3,27.3,3540000
132,1544054400,28.15,28.0,28.45,27.9,2977170
133,1544140800,28.0,28.2,28.5,27.8,2249340
134,1544400000,28.25,27.9,28.35,27.7,3389080
135,1544486400,28.3,28.35,28.5,28.1,2451470
136,1544572800,28.9,28.5,28.9,28.3,3106230
137,1544659200,28.7,29.0,29.15,28.7,2502500
138,1544745600,28.65,28.5,28.8,28.5,2395670
139,1545004800,27.4,28.3,28.5,27.4,3335920
140,1545091200,27.5,27.0,27.5,26.7,3565390
141,1545177600,27.5,27.4,27.5,26.95,1152330
142,1545264000,27.25,27.2,27.7,27.1,1096130
143,1545350400,27.3,27.0,27.3,26.7,1436860
144,1545609600,26.9,27.3,27.4,26.9,1250440
145,1545696000,26.4,26.2,26.55,25.8,2408040
146,1545782400,26.0,26.3,26.6,25.95,1965260
147,1545868800,26.05,26.5,26.65,26.05,2093990
148,1545955200,25.85,26.3,26.3,25.85,1849440
149,1546387200,25.6,26.0,26.05,25.6,1329030
