,time,close,open,hight,low,volumes
0,1246320000,25.732,25.732,25.732,25.732,294070
1,1246406400,25.941,27.015,27.015,25.516,6248390
2,1246492800,24.874,25.516,25.732,24.659,1515670
3,1246579200,24.016,24.232,24.442,24.016,899720
4,1246838400,25.084,24.016,25.084,24.016,1571740
5,1246924800,24.232,24.659,24.874,24.232,1115420
6,1247011200,23.8,23.584,24.016,23.375,763030
7,1247097600,23.158,23.375,24.016,22.942,982430
8,1247184000,22.084,22.726,22.942,22.084,1973450
9,1247443200,21.011,21.443,22.084,21.011,812260
10,1247529600,20.499,21.102,21.102,20.369,847840
11,1247616000,21.011,20.584,21.357,20.584,807250
12,1247702400,21.357,21.443,21.443,21.186,638990
13,1247788800,21.056,21.227,21.311,20.923,311000
14,1248048000,20.067,20.199,20.284,20.027,869220
15,1248134400,20.112,20.243,20.454,20.067,483900
16,1248220800,20.369,20.369,20.414,20.243,411780
17,1248307200,21.357,20.152,21.357,20.152,929090
18,1248393600,22.3,22.3,22.3,22.3,624760
19,1248652800,23.375,23.375,23.375,22.516,1535460
20,1248739200,22.726,23.375,24.016,22.516,1192800
21,1248825600,22.516,22.942,23.158,22.084,924570
22,1248912000,22.084,22.3,22.516,21.658,606660
23,1248998400,23.158,22.942,23.158,22.726,1125450
24,1249257600,24.232,24.232,24.232,23.584,2707260
25,1249344000,25.084,25.299,25.299,24.442,1869220
26,1249430400,24.874,24.874,25.299,24.442,1654270
27,1249516800,24.442,24.874,25.299,24.232,1656340
28,1249603200,24.232,24.232,24.659,24.232,1017420
29,1249862400,24.659,24.442,24.874,24.232,689300
30,1249948800,24.442,24.442,24.874,24.232,1207840
31,1250035200,24.232,24.659,24.659,24.232,996150
32,1250121600,24.442,24.659,24.659,24.232,896790
33,1250208000,24.442,24.232,24.659,24.232,709790
34,1250467200,24.016,24.232,24.442,24.016,622790
35,1250553600,23.8,23.584,24.016,23.584,927850
36,1250640000,23.8,24.232,24.232,23.584,719390
37,1250726400,23.8,24.016,24.016,23.584,578130
38,1250812800,24.016,24.016,24.874,24.016,1444220
39,1251072000,24.232,24.442,24.442,24.016,634370
40,1251158400,23.8,24.232,24.232,23.8,577480
41,1251244800,24.016,24.016,24.232,23.8,516120
42,1251331200,24.016,24.016,24.016,23.8,538870
43,1251417600,24.232,24.232,24.232,24.016,639140
44,1251676800,24.659,24.659,24.659,24.232,874340
45,1251763200,24.442,24.232,24.659,24.232,847070
46,1251936000,24.016,24.016,24.232,23.375,1078760
47,1252022400,23.375,24.016,24.016,23.375,1015060
48,1252281600,22.726,22.726,23.375,22.3,954060
49,1252368000,22.942,23.158,23.158,22.726,687300
50,1252454400,22.942,22.942,23.158,22.726,682660
51,1252540800,22.726,22.726,22.942,22.726,412250
52,1252627200,22.726,22.726,22.942,22.516,416470
53,1252886400,22.726,22.726,22.942,22.516,588470
54,1252972800,22.516,22.942,22.942,22.516,727020
55,1253059200,23.584,23.584,23.584,23.584,879780
56,1253145600,24.016,24.659,24.659,23.158,2195540
57,1253232000,24.232,23.584,24.232,23.158,850000
58,1253491200,23.584,24.232,24.232,23.584,761980
59,1253577600,23.158,23.158,23.584,23.158,658880
60,1253664000,23.375,23.584,24.016,23.375,757950
61,1253750400,22.942,23.158,23.375,22.942,541670
62,1253836800,23.8,22.942,24.016,22.726,933140
63,1254096000,23.375,24.016,24.016,23.375,561480
64,1254182400,23.158,23.584,23.584,22.942,750310
65,1254268800,22.942,23.158,23.375,22.726,712000
66,1254355200,22.516,22.942,22.942,22.516,875180
67,1254441600,21.869,22.084,22.084,21.443,1416100
68,1254700800,21.869,22.084,22.084,21.443,606370
69,1254787200,21.658,22.084,22.084,21.658,460990
70,1254873600,21.869,21.869,22.084,21.658,596580
71,1254960000,21.869,22.084,22.084,21.658,448600
72,1255046400,22.084,22.084,22.3,21.869,794860
73,1255305600,22.726,22.3,22.726,22.084,759120
74,1255392000,22.3,22.726,22.726,21.869,513610
75,1255478400,23.375,22.084,23.375,22.084,1359110
76,1255564800,24.442,24.442,24.442,24.016,3378300
77,1255651200,24.232,24.659,25.299,24.232,2239820
78,1255910400,23.584,23.584,24.232,23.375,1015080
79,1255996800,23.375,23.8,24.016,23.375,909450
80,1256083200,23.158,23.375,23.375,23.158,1038410
81,1256169600,23.584,23.375,23.584,23.158,865390
82,1256256000,24.232,23.8,24.659,23.584,3946240
83,1256515200,23.584,24.442,24.659,23.375,1130810
84,1256601600,22.726,22.726,23.375,22.516,1594080
85,1256688000,22.726,23.158,23.158,22.516,623620
86,1256774400,21.869,22.084,22.516,21.658,3489050
87,1256860800,22.3,22.516,22.726,21.869,1302800
88,1257120000,22.726,22.3,22.726,21.658,2142950
89,1257206400,22.084,22.516,22.726,21.658,1390550
90,1257292800,22.084,22.3,22.516,21.869,788110
91,1257379200,22.726,22.084,22.942,22.084,997290
92,1257465600,22.084,22.726,22.942,22.084,905910
93,1257724800,21.658,21.869,22.3,21.658,1193030
94,1257811200,21.272,21.869,22.084,21.272,813300
95,1257897600,21.443,21.443,21.658,21.227,657810
96,1257984000,21.658,21.658,21.869,21.357,948480
97,1258070400,21.357,21.443,21.443,21.272,703390
98,1258329600,21.272,21.227,21.443,21.227,770120
99,1258416000,20.97,21.186,21.227,20.97,601790
100,1258502400,20.714,20.799,20.923,20.63,536330
101,1258588800,20.97,20.755,21.141,20.584,533380
102,1258675200,20.669,20.97,20.97,20.669,585050
103,1258934400,20.243,20.584,20.63,20.243,771170
104,1259020800,19.857,20.152,20.199,19.857,585000
105,1259107200,18.868,19.726,19.726,18.868,1319610
106,1259193600,17.924,18.225,18.396,17.924,1859930
107,1259280000,18.783,17.068,18.783,17.068,947680
108,1259539200,19.68,19.209,19.68,19.084,715590
109,1259625600,20.63,20.584,20.63,20.369,943350
110,1259712000,20.152,20.152,20.97,19.596,796240
111,1259798400,20.152,19.726,20.369,19.596,485690
112,1259884800,19.811,20.243,20.243,19.726,267060
113,1260144000,19.726,19.556,19.857,19.556,275960
114,1260230400,19.169,19.726,19.726,19.084,537020
115,1260316800,18.442,18.482,18.612,18.311,865220
116,1260403200,18.311,18.698,18.698,18.311,533130
117,1260489600,17.499,18.01,18.225,17.454,749300
118,1260748800,18.35,18.35,18.35,17.924,459670
119,1260835200,19.254,18.35,19.254,18.225,976610
120,1260921600,18.442,19.254,19.3,18.442,889550
121,1261008000,18.868,18.35,19.3,18.01,462480
122,1261094400,19.811,19.3,19.811,19.3,722180
123,1261353600,20.414,19.811,20.584,19.811,561830
124,1261440000,19.982,19.726,20.243,19.726,387540
125,1261526400,19.811,19.982,19.982,19.726,296080
126,1261612800,19.726,19.556,19.726,19.511,396050
127,1261699200,20.152,20.584,20.584,20.152,685690
128,1261958400,19.726,19.772,19.897,19.68,264190
129,1262044800,19.386,19.3,19.941,19.3,342830
130,1262131200,19.556,19.209,19.68,19.209,208290
131,1262217600,20.152,19.726,20.152,19.556,398120
