,time,close,open,hight,low,volumes
0,1546387200,72.625,72.823,72.823,71.835,334420
1,1546473600,72.329,71.242,72.329,70.649,475210
2,1546560000,73.119,71.143,73.613,70.056,277640
3,1546819200,73.317,73.712,73.712,72.427,186030
4,1546905600,73.317,73.119,73.317,72.23,205460
5,1546992000,73.317,73.613,73.613,73.119,92720
6,1547078400,73.712,73.613,73.712,72.625,108550
7,1547164800,75.688,74.008,75.688,73.811,241490
8,1547424000,76.38,77.071,77.071,75.688,193920
9,1547510400,78.949,76.083,78.949,76.083,297510
10,1547596800,79.344,78.949,81.024,78.158,327390
11,1547683200,78.85,79.937,80.233,78.85,214330
12,1547769600,79.542,79.443,80.135,78.06,289350
13,1548028800,79.542,80.036,80.036,79.048,411510
14,1548115200,78.652,79.64,80.036,78.652,285720
15,1548201600,78.652,78.949,79.048,78.06,214610
16,1548288000,77.862,78.652,78.652,77.071,176750
17,1548374400,77.071,77.565,77.763,76.577,226260
18,1548633600,79.64,79.048,79.64,76.874,284550
19,1548720000,80.53,80.53,80.53,79.542,334250
20,1548806400,81.024,79.443,81.024,79.443,246940
21,1548892800,79.048,81.024,81.024,78.652,773010
22,1548979200,79.048,79.048,79.048,78.652,974540
23,1549843200,78.949,80.036,80.036,78.652,353110
24,1549929600,79.048,79.443,79.443,78.554,531210
25,1550016000,79.048,79.146,79.838,78.356,506510
26,1550102400,80.925,79.443,81.617,79.146,971710
27,1550188800,80.233,81.024,81.024,80.135,422250
28,1550448000,81.024,80.53,81.024,79.838,607000
29,1550534400,85.964,81.518,86.656,81.518,1244300
30,1550620800,89.324,85.964,89.719,85.964,815580
31,1550707200,95.549,89.423,95.549,88.138,1209870
32,1550793600,91.992,93.869,95.351,91.596,950950
33,1551052800,90.905,93.375,93.968,90.213,838040
34,1551139200,90.905,90.905,91.893,88.929,1103360
35,1551225600,91.596,91.893,92.189,90.411,896260
36,1551312000,86.458,91.004,91.201,86.458,1270190
37,1551398400,89.917,87.446,90.312,86.458,806340
38,1551657600,92.09,90.905,92.387,88.533,910620
39,1551744000,89.917,91.102,91.794,89.423,1152650
40,1551830400,90.707,89.917,90.806,89.719,592410
41,1551916800,90.905,90.905,94.165,90.806,1306970
42,1552003200,90.411,90.905,91.794,90.312,699850
43,1552262400,88.929,89.917,91.201,88.929,533740
44,1552348800,91.201,90.114,91.498,89.818,864570
45,1552435200,92.881,91.498,94.857,91.399,1654850
46,1552521600,92.881,93.177,93.474,91.695,708190
47,1552608000,92.189,92.881,92.881,91.399,2496760
48,1552867200,93.177,92.881,93.77,92.881,1056390
49,1552953600,92.881,93.869,94.067,92.387,1100900
50,1553040000,91.102,91.992,92.288,89.917,1061950
51,1553126400,87.15,91.893,91.893,87.15,1009930
52,1553212800,90.015,87.94,90.114,86.952,957080
53,1553472000,87.94,88.435,88.435,86.458,793070
54,1553558400,88.83,88.929,89.62,88.435,617980
55,1553644800,89.027,89.917,89.917,88.83,389620
56,1553731200,91.992,89.225,92.189,88.929,894540
57,1553817600,90.411,92.881,93.177,90.411,1054060
58,1554076800,91.3,91.3,92.683,90.707,334480
59,1554163200,91.102,92.288,92.585,90.905,359690
60,1554249600,90.905,91.102,91.102,90.015,281350
61,1554336000,90.905,91.596,91.695,90.213,489550
62,1554422400,91.498,91.399,92.09,91.004,454260
63,1554681600,93.474,91.893,93.474,91.596,657320
64,1554768000,92.683,93.869,94.857,91.893,973210
65,1554854400,91.399,92.683,92.683,91.201,328400
66,1554940800,92.387,91.695,92.683,91.102,233360
67,1555027200,92.189,92.288,92.486,90.905,299590
68,1555372800,89.917,88.929,90.806,86.755,913790
69,1555459200,88.731,89.917,90.806,88.632,761350
70,1555545600,87.94,88.83,89.423,87.051,609680
71,1555632000,87.94,87.94,89.324,87.94,258960
72,1555891200,88.929,88.632,88.929,87.545,211620
73,1555977600,87.94,88.632,88.929,87.842,494910
74,1556064000,88.632,88.632,89.126,88.632,629420
75,1556150400,89.126,88.435,89.126,88.336,680080
76,1556236800,90.905,89.126,90.905,88.83,1070350
77,1556755200,90.312,90.905,91.201,89.818,452510
78,1556841600,89.324,90.707,90.707,89.324,621150
79,1557100800,87.94,88.929,88.929,87.545,522550
80,1557187200,86.854,88.731,88.731,86.656,576290
81,1557273600,84.581,85.964,86.261,84.383,894240
82,1557360000,83.494,83.988,84.581,82.605,983320
83,1557446400,83.0,84.581,84.976,82.802,980260
84,1557705600,83.988,82.802,84.186,82.802,691670
85,1557792000,83.988,83.0,84.976,83.0,1322520
86,1557878400,84.976,84.186,85.47,84.186,1134300
87,1557964800,85.964,84.976,86.063,84.68,953330
88,1558051200,85.668,85.964,85.964,85.273,791790
89,1558310400,85.767,85.47,85.767,84.779,638340
90,1558396800,85.668,86.854,87.051,85.668,1056700
91,1558483200,85.47,85.174,86.854,85.174,702510
92,1558569600,85.47,85.569,85.569,85.075,377180
93,1558656000,83.494,85.668,85.668,83.494,854870
94,1558915200,83.395,83.494,83.889,83.395,487560
95,1559001600,82.506,83.395,83.593,82.506,1436600
96,1559088000,82.605,83.0,83.198,82.407,921510
97,1559174400,81.617,82.605,82.802,81.518,930290
98,1559260800,81.024,82.21,82.21,80.036,720930
99,1559520000,79.64,81.024,81.024,78.652,527220
100,1559606400,79.64,79.542,80.036,77.961,557890
101,1559692800,79.64,80.233,80.53,79.344,452630
102,1559779200,79.344,79.542,79.838,77.961,582690
103,1559865600,81.221,79.542,82.012,78.949,572380
104,1560124800,81.024,82.012,82.012,80.431,596360
105,1560211200,80.925,81.024,81.024,80.332,375370
106,1560297600,79.048,80.53,80.53,78.554,893930
107,1560384000,79.048,78.554,79.048,75.688,2022580
108,1560470400,78.949,77.862,78.949,77.664,482820
109,1560729600,77.071,78.949,78.949,76.676,458320
110,1560816000,77.071,76.874,77.071,75.392,1640620
111,1560902400,77.17,77.071,77.368,76.874,729570
112,1560988800,77.467,77.467,77.961,77.071,1561250
113,1561075200,77.565,77.664,78.356,77.565,3742200
114,1561334400,78.554,77.664,79.443,77.664,1452270
115,1561420800,78.554,78.85,79.146,78.554,866490
116,1561507200,78.06,78.356,78.652,77.763,1174210
117,1561593600,76.577,78.06,78.06,76.577,815110
118,1561680000,78.356,75.688,78.554,75.589,928700
119,1561939200,80.036,78.554,80.036,78.356,1090570
120,1562025600,80.135,80.036,80.233,79.048,1087630
121,1562112000,81.024,79.64,81.024,79.146,1517660
122,1562198400,83.988,81.024,83.988,80.925,2075630
123,1562284800,84.976,83.198,84.976,82.506,1234430
124,1562544000,82.012,83.988,84.186,82.012,666020
125,1562630400,82.111,82.012,82.802,81.518,579540
126,1562716800,82.407,82.111,82.802,82.111,321230
127,1562803200,82.111,82.704,82.901,82.111,392510
128,1562889600,82.111,82.111,82.704,81.419,626820
129,1563148800,81.024,82.012,82.012,80.332,713050
130,1563235200,82.901,81.024,83.0,81.024,833350
131,1563321600,83.0,82.901,84.482,82.901,816530
132,1563408000,83.0,82.012,83.0,82.012,513470
133,1563494400,83.494,83.0,84.285,82.407,1028110
134,1563753600,83.593,83.494,83.593,82.802,471720
135,1563840000,84.779,83.593,84.976,83.296,826210
136,1563926400,84.779,84.976,85.668,84.186,542990
137,1564012800,86.458,84.779,87.842,84.482,1379690
138,1564099200,86.458,86.458,86.854,85.569,473900
139,1564358400,86.755,86.458,86.952,85.767,423030
140,1564444800,83.0,88.336,88.336,83.0,987720
141,1564531200,87.15,83.988,88.138,83.988,991720
142,1564617600,89.423,87.94,89.719,86.952,913610
143,1564704000,89.126,87.545,89.126,87.051,627380
144,1564963200,84.186,87.94,88.929,84.186,902620
145,1565049600,82.506,83.494,83.692,81.913,960830
146,1565136000,83.0,83.988,84.285,82.308,724520
147,1565222400,84.5,84.0,85.5,82.7,556040
148,1565308800,84.0,85.0,85.0,83.6,352540
149,1565568000,84.2,83.4,84.3,83.3,229140
