,time,close,open,hight,low,volumes
0,1546387200,100.4,101.2,101.3,97.5,602450
1,1546473600,100.3,100.0,100.3,98.2,496950
2,1546560000,100.6,100.0,100.7,98.0,458000
3,1546819200,101.0,100.9,103.0,99.9,589150
4,1546905600,101.0,102.0,102.0,99.7,494300
5,1546992000,101.5,101.0,101.9,99.0,659210
6,1547078400,101.4,101.2,101.5,100.0,551980
7,1547164800,101.4,101.0,101.4,100.1,569030
8,1547424000,101.4,101.3,101.9,100.2,562930
9,1547510400,101.5,101.4,101.5,100.4,711450
10,1547596800,102.0,101.5,102.1,100.8,518160
11,1547683200,102.0,102.0,102.2,100.7,325130
12,1547769600,102.2,101.5,102.2,100.9,498290
13,1548028800,102.4,102.2,102.4,101.3,404250
14,1548115200,102.4,102.4,102.4,101.5,258070
15,1548201600,102.6,102.0,103.7,102.0,299570
16,1548288000,102.8,102.5,102.9,102.2,184720
17,1548374400,102.9,102.8,103.5,102.2,306670
18,1548633600,103.7,102.9,103.7,102.6,381260
19,1548720000,103.9,104.9,104.9,103.0,225310
20,1548806400,103.9,103.9,104.0,102.9,370040
21,1548892800,103.9,104.0,104.5,102.5,651020
22,1548979200,98.8,103.8,103.8,98.8,2095840
23,1549843200,104.0,101.8,104.0,101.2,527310
24,1549929600,109.1,104.9,109.1,104.0,769110
25,1550016000,109.0,108.0,109.3,107.2,822040
26,1550102400,112.9,109.0,113.0,109.0,995310
27,1550188800,112.0,113.0,113.0,112.0,670900
28,1550448000,113.7,112.5,113.7,111.7,829150
29,1550534400,116.0,113.5,116.6,113.5,1002020
30,1550620800,116.5,115.2,116.9,115.2,678800
31,1550707200,118.4,116.5,118.4,116.3,1162700
32,1550793600,117.0,118.0,118.4,116.6,720970
33,1551052800,116.3,117.0,117.9,115.9,624890
34,1551139200,115.5,116.0,116.6,113.5,792710
35,1551225600,117.4,115.5,117.9,115.5,824620
36,1551312000,114.0,117.0,117.4,113.1,1132410
37,1551398400,115.1,114.0,117.0,114.0,739260
38,1551657600,117.4,116.7,117.6,115.8,660550
39,1551744000,117.3,117.4,117.8,116.9,706060
40,1551830400,117.7,117.7,117.7,117.1,377280
41,1551916800,119.2,117.9,122.5,117.8,1797980
42,1552003200,118.1,119.0,119.6,118.1,845280
43,1552262400,118.3,117.0,118.3,117.0,429390
44,1552348800,118.6,119.0,119.4,118.2,902200
45,1552435200,117.5,118.5,120.0,117.0,1262350
46,1552521600,118.8,116.5,118.8,115.6,1155340
47,1552608000,118.7,119.3,119.3,117.9,1704580
48,1552867200,121.3,120.0,121.3,119.1,1114570
49,1552953600,121.0,121.3,122.4,120.7,1190080
50,1553040000,120.2,121.0,121.0,119.1,780190
51,1553126400,117.0,120.0,120.3,117.0,1208480
52,1553212800,118.6,117.0,118.9,117.0,1114660
53,1553472000,115.2,117.0,117.3,115.0,886800
54,1553558400,113.7,115.5,116.8,113.0,846570
55,1553644800,113.9,115.0,115.9,113.9,772080
56,1553731200,115.9,113.9,115.9,113.9,561880
57,1553817600,115.9,115.9,116.8,115.9,1099970
58,1554076800,116.5,116.4,116.5,115.8,828430
59,1554163200,116.3,116.9,117.2,116.2,1036350
60,1554249600,114.9,115.5,116.0,114.5,464270
61,1554336000,115.1,115.3,115.8,114.1,383730
62,1554422400,115.1,115.3,115.4,114.6,235790
63,1554681600,115.5,115.2,115.8,114.8,435190
64,1554768000,113.0,116.0,116.0,112.8,1156710
65,1554854400,111.8,113.0,114.0,110.9,696000
66,1554940800,115.0,111.8,115.0,111.8,350810
67,1555027200,113.2,115.0,115.0,113.0,551990
68,1555372800,113.1,109.5,113.1,108.0,1231190
69,1555459200,110.0,111.3,113.0,110.0,960220
70,1555545600,109.0,109.5,110.0,105.0,891240
71,1555632000,110.1,110.0,110.6,108.2,414050
72,1555891200,111.9,109.0,111.9,107.0,794060
73,1555977600,113.0,111.9,113.0,111.0,534660
74,1556064000,113.8,113.0,114.0,112.1,447820
75,1556150400,113.6,113.8,113.8,112.0,503490
76,1556236800,113.7,112.0,113.7,112.0,826050
77,1556755200,113.6,113.8,113.9,113.0,190970
78,1556841600,112.5,113.7,113.7,112.1,705500
79,1557100800,112.2,112.0,112.3,110.2,290580
80,1557187200,112.6,112.2,113.3,111.0,421350
81,1557273600,112.6,111.5,112.7,111.4,348500
82,1557360000,112.6,112.7,112.7,111.6,314140
