,time,close,open,hight,low,volumes
0,1514851200,118.846,118.201,120.377,118.201,980460
1,1514937600,119.49,118.927,119.733,117.96,1513290
2,1515024000,119.974,119.25,120.216,118.686,920310
3,1515110400,119.974,120.055,120.297,119.088,873240
4,1515369600,119.652,119.974,120.135,119.006,736320
5,1515456000,118.846,119.733,119.894,116.832,1143400
6,1515542400,118.122,118.846,119.168,117.799,714190
7,1515628800,124.003,118.524,124.003,118.443,1699720
8,1515715200,125.292,123.761,125.292,122.714,1191440
9,1515974400,129.643,125.292,129.723,124.084,1292970
10,1516060800,130.127,129.643,131.738,129.321,1099830
11,1516147200,128.917,130.288,132.383,127.387,1155210
12,1516233600,132.061,126.582,132.061,126.582,1298160
13,1516320000,141.246,132.302,141.246,132.222,1812660
14,1516579200,151.131,143.271,151.131,142.867,570120
15,1516838400,161.667,161.667,161.667,161.667,530560
16,1516924800,153.968,172.931,172.931,150.484,2152820
17,1517184000,153.563,153.158,160.451,149.916,1897530
18,1517270400,158.02,153.563,158.02,148.377,1871290
19,1517356800,156.4,158.02,158.425,155.427,990200
20,1517443200,155.589,153.968,156.804,153.968,971750
21,1517529600,157.615,154.778,158.425,152.104,1489490
22,1517788800,149.916,153.158,157.21,149.916,697110
23,1517875200,139.464,139.464,139.464,139.464,1108080
24,1517961600,149.187,141.003,149.187,141.003,1148220
25,1518048000,149.107,149.349,153.968,145.864,437070
26,1518134400,149.916,143.434,149.916,139.787,741110
27,1518393600,159.559,150.727,159.559,150.727,1243970
28,1518480000,161.261,159.641,161.991,158.02,1883320
29,1519171200,161.261,161.424,163.612,161.1,837950
30,1519257600,158.02,161.261,161.261,155.67,655290
31,1519344000,158.02,158.02,158.992,156.156,748690
32,1519603200,158.102,158.182,160.451,157.697,920690
33,1519689600,162.882,158.182,165.071,158.182,1123280
34,1519776000,162.072,162.153,162.882,160.126,500780
35,1519862400,162.477,161.261,165.232,160.046,639280
36,1519948800,163.693,161.667,164.26,160.126,593610
37,1520208000,164.504,163.693,172.606,163.693,1197870
38,1520294400,170.013,165.313,170.013,164.504,686330
39,1520380800,168.15,170.013,170.986,166.934,459640
40,1520467200,169.365,168.475,170.986,166.529,703940
41,1520553600,169.365,169.771,172.201,169.365,692510
42,1520812800,170.095,169.365,171.715,169.365,544480
43,1520899200,166.934,170.095,170.581,162.882,931120
44,1520985600,167.34,167.744,168.96,164.504,1047430
45,1521072000,166.529,167.34,168.554,165.395,594820
46,1521158400,165.313,166.773,167.744,165.232,796950
47,1521417600,168.15,166.529,169.284,165.881,909580
48,1521504000,166.043,167.744,168.554,165.313,840590
49,1521590400,164.504,166.125,166.529,164.504,916790
50,1521676800,169.284,165.232,169.852,165.232,1005970
51,1521763200,168.879,164.504,168.879,164.504,554530
52,1522022400,176.577,169.365,176.658,169.365,1686310
53,1522108800,179.901,178.279,180.468,177.874,785100
54,1522195200,182.331,179.901,182.898,178.684,630320
55,1522281600,179.901,182.331,182.979,179.494,566610
56,1522368000,181.439,179.901,182.737,179.819,721770
57,1522627200,184.843,181.683,185.897,181.683,620070
58,1522713600,182.331,184.843,185.491,179.901,863160
59,1522800000,179.09,182.737,183.951,179.09,935260
60,1522886400,176.658,179.09,180.629,175.848,916470
61,1522972800,176.658,177.064,179.09,174.308,1138030
62,1523232000,176.658,178.279,179.333,174.795,1170690
63,1523318400,175.848,176.983,178.279,174.633,960130
64,1523404800,172.606,176.658,176.658,163.612,1127450
65,1523491200,170.176,171.797,173.417,168.554,737770
66,1523577600,171.634,170.986,173.012,170.581,597990
67,1523836800,171.634,171.797,172.768,170.744,375480
68,1523923200,170.176,171.634,173.012,170.176,484220
69,1524009600,170.013,170.986,171.39,168.96,603200
70,1524096000,159.641,170.176,170.986,159.641,1016210
71,1524182400,158.587,159.641,162.315,157.21,862320
72,1524441600,159.641,160.451,166.852,159.641,831900
73,1524528000,158.02,160.126,161.261,148.539,1019230
74,1524700800,155.589,158.831,159.641,147.242,854670
75,1524787200,151.537,153.968,153.968,148.296,513380
76,1525219200,145.54,151.943,152.347,145.54,944470
77,1525305600,140.191,145.54,145.54,137.68,598900
78,1525392000,143.434,146.675,148.215,141.003,507250
79,1525651200,148.296,145.055,148.296,143.028,727630
80,1525737600,152.266,148.7,153.887,148.458,667910
81,1525824000,158.214,153.163,162.125,151.207,584740
82,1525910400,156.503,158.865,160.902,153.163,864480
83,1525996800,154.711,155.688,155.688,150.719,340050
84,1526256000,156.584,155.607,157.237,154.385,567850
85,1526342400,160.495,158.051,161.229,157.237,608830
86,1526428800,158.703,160.331,160.414,157.318,310720
87,1526515200,153.163,158.865,158.865,151.289,576390
88,1526601600,154.793,152.348,157.237,142.49,977940
89,1526860800,149.904,156.014,157.237,149.253,413480
90,1526947200,144.12,142.572,149.008,140.535,592970
91,1527033600,145.016,144.12,145.016,140.616,585560
92,1527120000,139.72,145.831,146.564,137.684,621940
93,1527206400,129.944,139.72,139.72,129.944,813960
94,1527465600,120.901,124.649,127.908,120.901,361800
95,1527552000,123.834,112.835,127.908,112.835,754060
96,1527638400,119.76,123.02,123.834,116.746,439930
97,1527724800,121.227,122.204,123.02,119.842,543160
98,1527811200,129.699,123.02,129.699,123.02,538240
99,1528070400,138.743,134.425,138.743,132.796,374270
100,1528156800,140.943,140.943,144.608,138.906,493730
101,1528243200,142.245,138.498,142.245,136.868,359580
102,1528329600,145.831,142.245,147.867,142.245,718930
103,1528416000,145.831,145.912,146.238,144.608,592360
104,1528675200,149.904,145.831,152.348,143.386,635790
105,1528761600,145.831,149.089,149.741,139.965,622950
106,1528848000,146.401,145.831,148.683,145.423,378700
107,1528934400,142.572,142.654,146.238,142.572,419150
108,1529020800,140.943,142.49,143.305,140.128,451400
109,1529280000,134.425,141.756,142.49,131.98,477110
110,1529366400,130.352,134.425,134.425,126.197,594620
111,1529452800,138.498,130.352,138.498,127.908,808530
112,1529539200,141.024,138.498,145.016,134.507,391470
113,1529625600,142.49,141.756,144.201,138.906,563210
114,1529884800,140.943,142.816,143.795,140.209,349460
115,1529971200,140.861,139.313,140.943,137.684,241050
116,1530057600,138.987,140.861,140.861,138.987,347200
117,1530144000,135.321,139.313,139.313,135.24,475360
118,1530230400,138.628,136.868,139.997,136.38,465340
119,1530489600,135.891,138.628,138.824,135.304,254710
120,1530576000,130.025,135.891,136.575,129.048,339540
121,1530662400,128.07,129.048,130.025,125.137,394580
122,1530748800,126.603,128.558,133.154,123.182,531600
123,1530835200,129.927,127.092,130.514,124.159,502440
