,time,close,open,hight,low,volumes
0,1483401600,95.487,94.657,95.712,94.657,652370
1,1483488000,95.638,96.089,96.164,95.562,659370
2,1483574400,95.487,95.788,95.788,95.11,822360
3,1483660800,94.958,95.487,96.164,94.958,1371760
4,1483920000,94.958,95.487,95.562,94.958,911300
5,1484006400,95.034,94.958,95.335,94.958,915320
6,1484092800,95.712,95.184,95.863,95.11,838220
7,1484179200,95.712,95.712,96.013,95.41,474780
8,1484265600,95.638,95.712,95.939,95.335,612600
9,1484524800,95.335,95.712,95.788,95.259,602630
10,1484611200,95.034,95.487,95.487,95.034,582380
11,1484697600,94.958,94.958,95.11,94.356,852000
12,1484784000,94.958,95.184,95.184,94.883,862790
13,1484870400,95.712,94.958,96.692,94.958,1594930
14,1485129600,96.466,95.712,97.295,95.712,1825560
15,1485216000,96.466,97.22,97.372,96.466,932170
16,1485302400,97.22,96.466,97.372,96.466,1485910
17,1485993600,100.234,97.598,100.536,97.22,1700550
18,1486080000,100.912,101.666,103.174,100.61,1608110
19,1486339200,100.384,101.064,101.138,100.084,1331990
20,1486425600,100.837,100.384,101.214,99.857,738710
21,1486512000,100.912,100.837,101.289,100.61,448850
22,1486598400,101.064,101.214,101.365,100.988,814060
23,1486684800,100.837,101.064,101.064,100.763,2093370
24,1486944000,100.837,100.837,100.988,100.536,694280
25,1487030400,100.158,100.837,100.912,100.007,673070
26,1487116800,100.234,100.234,100.384,100.084,862020
27,1487203200,99.481,100.234,100.536,99.178,666900
28,1487289600,97.974,99.481,99.555,97.823,953520
29,1487548800,97.974,97.974,98.426,97.974,484790
30,1487635200,98.201,97.974,98.952,97.445,817670
31,1487721600,98.274,98.201,98.877,98.124,590120
32,1487808000,98.201,98.274,98.349,97.295,613250
33,1487894400,99.404,97.974,99.404,97.598,1319730
34,1488153600,99.33,99.481,99.933,99.33,759760
35,1488240000,99.03,99.33,99.404,98.652,769690
36,1488326400,98.576,98.5,99.255,98.5,587180
37,1488412800,97.747,98.576,98.576,97.747,482040
38,1488499200,97.897,97.747,98.048,97.445,508470
39,1488758400,98.652,97.747,98.726,97.598,736590
40,1488844800,97.974,97.974,98.576,97.897,444700
41,1488931200,98.426,97.974,99.178,97.974,639360
42,1489017600,98.349,98.652,98.652,98.274,409260
43,1489104000,97.897,98.349,98.426,97.897,427360
44,1489363200,97.747,97.974,98.426,97.747,342480
45,1489449600,98.5,97.823,98.652,97.823,489770
46,1489536000,100.234,98.576,100.234,98.5,1182810
47,1489622400,100.988,100.234,101.289,100.234,905990
48,1489708800,100.988,101.064,101.44,100.686,1035520
49,1489968000,100.912,100.384,101.592,99.781,730260
50,1490054400,102.194,100.61,102.496,100.61,819240
51,1490140800,102.948,101.966,104.529,101.966,1472340
52,1490227200,105.659,102.948,105.812,102.948,2051790
53,1490313600,106.79,106.112,107.017,106.039,1083750
54,1490572800,107.017,107.695,108.375,106.64,1066240
55,1490659200,106.112,107.546,107.772,104.756,1026200
56,1490745600,106.867,105.585,107.017,105.509,773630
57,1490832000,108.524,106.867,108.524,106.867,1175100
58,1490918400,107.996,109.051,109.352,107.996,1382240
59,1491177600,108.751,107.996,108.977,107.996,802030
60,1491264000,108.524,108.751,108.751,108.222,1063990
61,1491350400,108.072,108.148,108.524,107.393,788830
62,1491523200,107.469,106.79,107.922,106.49,905370
63,1491782400,107.469,107.469,107.62,106.942,604270
64,1491868800,108.148,107.469,108.299,107.393,465400
65,1491955200,108.524,108.524,108.825,108.072,758300
66,1492041600,107.846,108.148,108.449,107.846,322970
67,1492128000,106.79,107.469,107.772,106.112,622350
68,1492387200,107.017,106.039,107.469,106.039,884170
69,1492473600,108.825,107.093,108.977,107.017,1900380
70,1492560000,109.579,108.825,109.956,108.825,968630
71,1492646400,109.204,109.655,109.655,108.977,427660
72,1492732800,109.051,109.204,109.504,108.675,445370
73,1492992000,108.524,108.675,109.051,108.148,562400
74,1493078400,108.072,108.375,108.375,107.695,472730
75,1493164800,108.449,108.072,108.449,107.393,272660
76,1493251200,110.408,108.675,110.408,108.375,1185660
77,1493337600,111.539,110.785,111.991,110.559,1414090
78,1493769600,111.766,111.613,112.066,111.613,879460
79,1493856000,113.445,112.3,113.827,111.994,999850
80,1493942400,111.994,112.682,113.292,111.994,524400
81,1494201600,111.459,111.994,112.071,110.849,813270
82,1494288000,110.007,111.382,111.382,109.472,937160
83,1494374400,110.313,109.702,111.152,109.472,643400
84,1494460800,110.389,110.618,110.618,109.932,465950
85,1494547200,110.618,110.389,111.002,110.084,594730
86,1494806400,109.932,110.773,111.002,109.55,820620
87,1494892800,109.625,110.007,110.313,109.625,531270
88,1494979200,112.3,109.625,112.682,109.625,1231010
89,1495065600,111.536,110.389,111.917,110.389,580440
90,1495152000,112.987,111.536,113.063,111.308,816280
91,1495411200,114.822,112.987,114.897,112.912,1210850
92,1495497600,115.737,114.822,116.12,114.822,730180
93,1495584000,115.737,115.737,116.043,114.591,702140
94,1495670400,114.591,115.737,115.737,114.362,619520
95,1495756800,116.12,114.21,116.12,114.21,427910
96,1496016000,115.89,116.12,116.348,115.659,356250
97,1496102400,114.362,115.659,115.814,114.056,460930
98,1496188800,114.362,114.591,116.348,114.286,1328060
99,1496275200,116.043,115.356,116.043,114.668,597180
100,1496361600,115.279,115.356,116.12,114.744,496020
101,1496620800,117.418,115.279,118.793,115.279,749080
102,1496707200,117.8,117.647,118.257,117.418,239400
103,1496793600,117.647,118.029,118.106,116.883,740420
104,1496880000,117.34,117.647,117.647,117.189,207740
105,1496966400,117.418,117.57,117.647,117.266,329670
106,1497225600,116.653,117.418,117.495,116.501,505720
107,1497312000,116.348,116.578,116.578,115.814,636190
108,1497398400,117.266,116.348,117.418,116.271,536000
109,1497484800,117.495,117.266,117.877,117.112,414540
110,1497571200,116.883,118.411,118.411,116.883,1161370
111,1497830400,117.954,117.037,117.954,116.96,740530
112,1497916800,116.883,117.954,117.954,116.653,894760
113,1498003200,117.495,116.578,117.495,115.737,912700
114,1498089600,116.808,116.96,117.495,116.73,244120
115,1498176000,116.883,116.808,116.96,116.578,344920
116,1498435200,117.189,116.883,117.266,116.348,267450
117,1498521600,117.266,117.189,117.418,117.112,542230
118,1498608000,118.716,117.266,118.793,117.266,918320
119,1498694400,118.257,118.793,119.098,118.257,312720
120,1498780800,120.397,118.257,120.627,118.257,1344660
121,1499040000,119.939,120.702,120.702,119.709,562340
122,1499126400,119.557,119.863,119.863,119.251,324350
123,1499212800,119.633,119.251,119.709,119.098,438550
124,1499299200,120.322,120.322,120.857,119.709,549800
125,1499385600,117.8,120.702,120.702,117.8,976360
126,1499644800,115.89,117.8,118.182,115.509,992910
127,1499731200,116.883,115.89,116.883,115.89,518150
128,1499817600,118.716,117.495,119.098,116.73,541660
129,1499904000,119.404,119.939,119.939,119.175,500840
130,1499990400,118.488,119.404,119.404,118.411,690430
131,1500249600,116.043,117.647,118.411,115.814,553330
132,1500336000,116.12,116.12,116.883,115.356,637870
133,1500422400,116.883,116.883,117.954,116.653,375820
134,1500508800,116.12,116.12,116.808,116.043,727990
135,1500595200,115.737,115.509,116.12,115.509,464940
136,1500854400,115.966,115.43,116.12,114.591,704570
137,1500940800,115.966,115.737,116.12,115.509,175170
138,1501027200,116.883,116.12,117.418,116.043,338260
139,1501113600,116.808,116.883,116.883,116.653,214220
140,1501200000,116.883,116.808,116.96,116.808,342150
141,1501459200,116.578,116.883,116.883,116.501,682960
142,1501545600,115.43,116.578,116.578,115.43,811580
143,1501632000,116.425,115.43,116.501,115.43,1066000
144,1501718400,117.647,117.037,117.877,116.883,702810
145,1501804800,117.647,117.647,117.877,117.495,290860
146,1502064000,117.418,117.647,117.647,116.883,384100
147,1502150400,116.12,117.418,117.418,115.966,1197600
148,1502236800,114.591,116.12,116.12,113.369,1116820
149,1502323200,115.737,114.591,115.966,114.591,392360
150,1502409600,115.737,115.737,116.12,114.591,691600
151,1502668800,115.892,116.124,116.124,115.583,927460
152,1502755200,114.962,115.892,116.124,114.962,537150
153,1502841600,114.189,114.731,114.731,113.104,427170
154,1502928000,115.194,114.189,115.426,113.801,842250
155,1503014400,115.505,114.653,115.658,114.653,355880
156,1503273600,115.273,115.583,115.583,115.273,247430
157,1503360000,114.962,115.35,115.35,114.731,418410
158,1503446400,114.962,114.885,114.962,114.421,403240
159,1503532800,114.809,114.653,114.962,114.653,244450
