,time,close,open,hight,low,volumes
0,1502928000,24.101,24.101,24.101,20.393,58299310
1,1503014400,22.989,23.483,23.792,22.989,1092840
2,1503273600,22.155,22.124,22.742,21.938,798670
3,1503360000,22.247,21.506,22.247,21.506,2295930
4,1503446400,22.371,22.247,22.742,22.093,520790
5,1503532800,22.402,22.464,22.464,22.124,678690
6,1503619200,22.433,22.185,22.433,22.124,615370
7,1503878400,22.433,22.247,22.433,22.185,761670
8,1503964800,22.433,22.309,22.433,22.216,990000
9,1504051200,22.433,22.433,22.433,22.247,830100
10,1504137600,22.433,22.309,22.433,22.309,1196380
11,1504224000,22.433,22.309,22.433,22.309,978060
12,1504569600,22.494,22.278,22.494,22.278,1274130
13,1504656000,23.576,22.494,23.607,22.433,1269010
14,1504742400,23.823,23.607,24.287,23.607,900290
15,1504828800,23.607,23.792,23.792,23.576,339640
16,1505088000,22.865,23.483,23.545,22.803,655570
17,1505174400,23.082,22.865,23.174,22.494,330150
18,1505260800,23.174,23.082,23.236,22.927,312470
19,1505347200,23.143,23.174,23.236,23.051,268880
20,1505433600,23.112,23.143,23.236,23.082,352480
21,1505692800,23.051,23.112,23.174,23.02,323580
22,1505779200,22.834,23.051,23.051,22.803,820020
23,1505865600,22.803,22.834,23.051,22.773,789670
24,1505952000,22.803,22.803,22.834,22.711,535570
25,1506038400,22.68,22.803,22.803,22.556,1288830
26,1506297600,22.649,22.68,22.773,22.649,504360
27,1506384000,22.618,22.803,22.803,22.618,718370
28,1506470400,23.02,22.618,23.143,22.618,1473820
29,1506556800,23.02,23.051,23.36,22.989,1238590
30,1506643200,23.174,23.02,23.329,23.02,752340
31,1506902400,23.02,23.174,23.236,22.865,634350
32,1506988800,22.803,22.989,23.051,22.711,659660
33,1507075200,22.803,22.803,22.865,22.711,457470
34,1507161600,22.773,22.927,22.958,22.773,219990
35,1507248000,22.989,22.896,22.989,22.742,409110
36,1507507200,23.143,23.236,23.236,23.02,936770
37,1507593600,23.483,23.143,23.607,23.082,869010
38,1507680000,24.41,23.607,24.41,23.576,3495690
39,1507766400,24.75,24.441,25.214,24.287,2362040
40,1507852800,24.843,24.657,25.368,24.657,1322500
41,1508112000,25.152,24.843,25.461,24.843,2217910
42,1508198400,25.461,25.152,25.646,25.152,1689100
43,1508284800,25.523,25.955,26.017,25.523,2362080
44,1508371200,25.399,25.461,25.77,25.214,1057180
45,1508457600,25.523,25.399,25.708,25.399,1480860
46,1508716800,25.214,25.523,25.893,25.152,1498490
47,1508803200,25.152,25.306,25.306,24.997,826280
48,1508889600,25.337,25.152,25.43,24.905,1275530
49,1508976000,25.152,25.337,25.523,25.028,757830
50,1509062400,25.244,25.09,25.337,25.059,738890
51,1509321600,25.399,25.244,25.832,25.244,1960480
52,1509408000,25.121,25.399,25.523,25.09,1027260
53,1509494400,24.905,25.09,25.275,24.812,994020
54,1509580800,23.298,24.843,25.09,23.236,2450520
55,1509667200,24.843,23.36,24.843,23.36,1257280
56,1509926400,24.657,24.843,24.843,24.41,490420
57,1510012800,24.41,24.596,24.596,24.348,579800
58,1510099200,24.843,24.41,24.905,24.194,826220
59,1510185600,24.534,24.905,24.905,24.41,537590
60,1510272000,24.441,24.503,24.534,24.41,503430
61,1510531200,23.916,24.472,24.472,23.854,734400
62,1510617600,24.132,23.916,24.348,23.916,777620
63,1510704000,24.287,24.256,24.379,23.978,775820
64,1510790400,24.41,24.287,24.966,24.132,916660
65,1510876800,24.41,24.596,24.719,24.379,561660
66,1511136000,24.163,24.472,24.472,24.132,629260
67,1511222400,24.07,24.101,24.318,23.947,1003180
68,1511308800,24.472,24.101,24.843,24.039,1542070
69,1511395200,24.719,24.719,25.275,24.163,1865520
70,1511481600,24.719,24.874,25.09,24.534,939760
71,1511740800,24.596,24.719,24.719,24.565,865430
72,1511827200,24.596,24.596,24.935,24.534,1532570
73,1511913600,24.781,24.596,24.997,24.596,1922690
74,1512000000,25.43,24.966,25.492,24.905,4526350
75,1512086400,25.43,25.708,25.708,25.399,3263090
76,1512345600,25.646,25.461,26.141,25.461,2860030
77,1512432000,25.368,25.77,25.924,25.152,3035500
78,1512518400,25.028,25.368,25.399,24.781,1964010
79,1512604800,24.472,25.028,25.09,24.472,1743680
80,1512691200,24.41,24.472,24.719,24.348,1251580
81,1512950400,23.823,24.101,24.379,23.823,1320400
82,1513036800,23.916,23.978,24.41,22.247,2982180
83,1513123200,23.421,23.916,23.947,23.421,1148350
84,1513209600,23.73,23.483,23.854,23.483,714430
85,1513296000,23.607,23.73,24.009,23.607,738630
86,1513555200,24.101,23.792,24.287,23.73,1219150
87,1513641600,24.225,24.379,24.379,23.792,1250790
88,1513728000,24.935,24.225,25.028,24.225,1292990
89,1513814400,24.997,24.966,25.275,24.935,1587340
90,1513900800,24.966,24.905,24.966,24.627,863870
91,1514160000,24.657,24.966,24.966,24.596,885840
92,1514246400,24.596,24.719,24.781,24.534,702040
93,1514332800,24.657,24.719,24.905,24.657,1096400
94,1514419200,25.028,24.843,25.214,24.843,1336360
95,1514505600,25.337,25.214,25.523,25.09,2133440
96,1514851200,26.759,25.368,27.098,25.368,6973030
