,time,close,open,hight,low,volumes
0,1514851200,37.544,37.346,37.821,37.346,596280
1,1514937600,37.584,37.663,38.416,37.584,1663590
2,1515024000,37.425,37.94,38.059,37.187,935370
3,1515110400,37.266,37.425,37.663,37.226,1664520
4,1515369600,36.79,37.266,37.385,36.632,1708070
5,1515456000,37.266,36.87,37.504,36.79,1945080
6,1515542400,39.487,37.266,39.803,37.266,3018830
7,1515628800,41.152,39.407,41.39,38.852,2676140
8,1515715200,43.61,41.39,44.006,41.31,4587910
9,1515974400,43.292,43.61,44.085,42.578,2874160
10,1516060800,42.738,43.53,43.53,42.658,2440360
11,1516147200,43.61,43.054,45.433,42.816,3459330
12,1516233600,45.591,43.292,46.623,43.213,2999350
13,1516320000,48.366,46.543,48.764,46.385,3426360
14,1516579200,47.178,47.653,48.366,46.385,3749050
15,1516838400,44.403,46.781,48.684,44.403,7105690
16,1516924800,43.61,45.195,46.385,43.61,4619400
17,1517184000,43.61,45.116,45.909,43.53,4390910
18,1517270400,43.768,43.61,44.64,43.213,2951010
19,1517356800,43.927,44.323,46.543,43.927,6251570
20,1517443200,43.61,44.006,44.006,42.024,3912850
21,1517529600,43.689,43.53,43.689,43.134,1375890
22,1517788800,40.676,42.816,43.213,40.676,3142830
23,1517875200,37.861,37.861,40.438,37.861,9071240
24,1517961600,40.438,39.962,40.438,38.931,3212830
25,1518048000,38.852,39.645,40.834,38.852,1062120
26,1518134400,37.861,36.314,37.861,36.156,3215790
27,1518393600,37.861,37.98,38.416,36.077,3845820
28,1518480000,38.099,37.98,38.218,37.821,3305870
29,1519171200,39.249,39.645,39.645,38.614,2928020
30,1519257600,39.565,38.852,39.565,38.852,3575630
31,1519344000,40.914,39.645,40.914,39.487,3430070
32,1519603200,43.61,42.816,43.768,41.786,5377610
33,1519689600,43.53,43.768,45.037,42.658,3097420
34,1519776000,42.658,42.816,44.323,42.658,5531320
35,1519862400,43.927,43.213,44.006,42.816,3196120
36,1519948800,43.768,43.134,44.006,43.134,3044310
37,1520208000,40.755,44.323,44.719,40.755,4686530
38,1520294400,43.53,41.944,43.53,41.31,3849780
39,1520380800,43.292,44.006,44.481,42.816,2847760
40,1520467200,44.165,43.61,44.403,43.213,2586890
41,1520553600,44.165,44.561,45.195,43.61,3884030
42,1520812800,44.244,45.591,45.671,44.244,5799900
43,1520899200,44.244,44.403,44.403,43.53,5678180
44,1520985600,42.42,44.323,44.561,42.262,4665300
45,1521072000,42.024,42.182,43.213,40.834,6265540
46,1521158400,41.39,42.024,42.896,41.39,15641390
47,1521417600,42.024,41.39,42.5,41.39,1745990
48,1521504000,41.865,42.024,42.262,41.627,1240830
49,1521590400,40.834,41.865,41.944,40.2,3173550
50,1521676800,41.072,40.834,41.627,40.834,1412140
51,1521763200,39.565,39.803,40.279,39.011,2521210
52,1522022400,38.535,39.249,39.645,38.455,2399520
53,1522108800,39.883,39.645,40.359,39.249,1625420
54,1522195200,40.279,40.2,40.834,39.883,710900
55,1522281600,40.438,40.755,40.755,39.327,1549830
56,1522368000,40.597,40.279,40.755,39.883,1682610
57,1522627200,39.565,40.597,40.755,39.527,2006810
58,1522713600,39.565,39.645,39.962,38.773,2078100
59,1522800000,39.249,39.645,39.883,39.09,1132560
60,1522886400,39.011,39.249,39.645,39.011,1075160
61,1522972800,41.627,38.852,41.706,38.852,3742930
62,1523232000,42.42,42.42,43.054,42.103,3921740
63,1523318400,42.024,42.42,42.816,41.706,2853710
64,1523404800,40.438,42.024,42.024,40.438,2465650
65,1523491200,41.072,40.438,41.627,40.2,2250890
66,1523577600,40.279,41.468,41.548,40.279,789100
67,1523836800,40.2,39.803,40.597,39.565,665980
68,1523923200,39.645,40.2,40.438,39.605,1233470
69,1524009600,38.059,39.803,40.041,38.059,2055070
70,1524096000,37.108,38.218,38.773,37.108,2471560
71,1524182400,38.059,37.108,38.059,36.87,1434640
72,1524441600,36.077,38.455,38.535,35.68,1661040
